Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687269050.501692
1687269050.6022022
1687269050.7026856
1687269050.803317
1687269050.9037256
1687269051.0041752
1687269051.1046784
1687269051.2052128
1687269051.3057857
1687269051.4063008
1687269051.506963
1687269051.6074407
1687269051.7080333
1687269051.8085513
1687269051.9089446
1687269052.0094903
1687269052.110185
1687269052.210665
