Time,Roll input,Pitch input,Yawrate input,Thrust input
1688552595.4760873,-0.903614342212677,-1.805625438690185,-0.03013610839846491,0
1688552595.4868662,-0.9036774039268494,-1.8045696020126345,0.07407665252691231,0
1688552595.497146,-0.9045224785804749,-1.8039380311965945,0.07481575012212716,0
1688552595.5081482,-0.9024478793144226,-1.8025387525558472,-0.014650821685805226,0
1688552595.5183527,-0.9013687372207642,-1.802273154258728,0.04038810729984732,0
1688552595.5285544,-0.9018939733505248,-1.804124116897583,-0.04434585571293326,0
1688552595.5387192,-0.9024816155433656,-1.8050729036331177,-0.11454820632944518,0
1688552595.5489898,-0.902460277080536,-1.8045557737350464,-0.06419420242315255,0
1688552595.5596445,-0.9028743505477904,-1.803678035736084,-0.09932518005381041,0
1688552595.5700984,-0.90272855758667,-1.804364562034607,-0.14028549194350148,0
1688552595.5813498,-0.9033501148223876,-1.804756760597229,-0.1177549362183612,0
1688552595.591725,-0.903896689414978,-1.8049955368041992,-0.10275840759284449,0
1688552595.6026337,-0.9045398235321044,-1.806490898132324,-0.15416145324721242,0
1688552595.6128573,-0.9047788977622986,-1.807517170906067,-0.05557537078863106,0
1688552595.6230698,-0.904921293258667,-1.8077735900878904,0.013017654418973734,0
1688552595.6332712,-0.9048472046852112,-1.808822512626648,-0.06585121154793683,0
1688552595.6435468,-0.9036523699760436,-1.8090357780456543,0.019049644470214844,0
1688552595.653909,-0.9047278761863708,-1.809116005897522,-0.03281831741333008,0
1688552595.6642401,-0.9046361446380616,-1.8091723918914795,-0.20028352737445232,0
1688552595.674864,-0.9051668643951416,-1.8101810216903689,-0.10594129562385035,0
1688552595.6850173,-0.9058319330215454,-1.8107539415359497,0.03458261489871006,0
1688552595.695225,-0.9058963060379028,-1.8116158246994016,0.010836124420151805,0
1688552595.7055767,-0.905215620994568,-1.812871336936951,-0.1161694526673358,0
1688552595.716444,-0.9056113362312316,-1.8120098114013672,-0.13109445571912204,0
1688552595.726605,-0.9057121872901917,-1.8119724988937376,-0.07940530776882326,0
1688552595.7375636,-0.9052063226699828,-1.81224262714386,0.004041194917761004,0
1688552595.747752,-0.9046480059623718,-1.8128623962402344,0.05416870117190342,0
1688552595.758042,-0.9054326415061952,-1.811032056808472,0.07699728012090645,0
1688552595.768225,-0.9053996205329896,-1.8100184202194212,0.03563165664678536,0
1688552595.7784,-0.9052743315696716,-1.809103012084961,-0.06537437438969107,0
1688552595.7885735,-0.9064542651176452,-1.8084139823913572,-0.05090236663824044,0
1688552595.79873,-0.9055224657058716,-1.806580901145935,-0.026929378509564117,0
1688552595.808879,-0.9055594801902772,-1.807450294494629,0.03083944320681553,0
1688552595.8190298,-0.9053072929382324,-1.8076419830322263,-0.018167495727553273,0
1688552595.829186,-0.905906617641449,-1.8089194297790527,-0.05856752395635567,0
1688552595.8396926,-0.9062002301216124,-1.8072774410247805,-0.06492137908942652,0
1688552595.8510325,-0.9065966606140136,-1.8076376914978027,-0.08279085159310284,0
1688552595.861208,-0.9064683318138124,-1.806675910949707,-0.00883340835571289,0
1688552595.8714206,-0.907582938671112,-1.8047493696212769,0.04985332489017935,0
1688552595.881779,-0.9083985090255736,-1.8067257404327397,-0.0043392181396484375,0
1688552595.892822,-0.9090290069580078,-1.8076379299163816,-0.0019431114196635235,0
1688552595.9031708,-0.909798502922058,-1.8056029081344604,0.05507469177250357,0
1688552595.9134004,-0.91019207239151,-1.8058704137802124,-0.0031113624573038123,0
1688552595.9235744,-0.911909282207489,-1.8056386709213257,0.025284290313749125,0
1688552595.9337485,-0.9123522639274596,-1.8070425987243648,0.055503845214929015,0
1688552595.9446151,-0.913681149482727,-1.807361364364624,-0.0558257102966877,0
1688552595.954939,-0.912818193435669,-1.8064547777175903,-0.0411748886109109,0
1688552595.965951,-0.9127113819122314,-1.8064032793045044,0.051355361938519195,0
1688552595.9761498,-0.9126026630401612,-1.806597590446472,0.07836818695078307,0
1688552595.9862924,-0.9139081239700316,-1.8046950101852417,-0.0058054923984229845,0
1688552595.996442,-0.9139997959136964,-1.80512273311615,-0.14761686324976608,0
1688552596.0066211,-0.915093183517456,-1.8056892156600952,-0.055110454559368804,0
1688552596.0171747,-0.9133951663970948,-1.8055154085159304,0.045502185821561625,0
1688552596.0277388,-0.9133265018463136,-1.8067868947982788,0.04178285598756304,0
1688552596.0379806,-0.9134931564331056,-1.8069069385528564,-0.026512145996136383,0
1688552596.048574,-0.913323700428009,-1.8065519332885744,-0.10577440261849347,0
1688552596.0590117,-0.91277676820755,-1.8068209886550903,-0.08134841918949576,0
1688552596.0691528,-0.9133528470993042,-1.806753754615784,-0.04221200942996006,0
1688552596.079434,-0.912764847278595,-1.8070005178451536,-0.037372112274212554,0
1688552596.0896125,-0.9131420850753784,-1.806995749473572,0.02926588058474522,0
1688552596.1004841,-0.912152111530304,-1.8076735734939573,0.0888109207154173,0
1688552596.1106606,-0.9134600758552552,-1.8061747550964355,0.009524822235107422,0
1688552596.1211271,-0.9137229323387146,-1.805016040802002,-0.04146099090580435,0
1688552596.131291,-0.9140828847885132,-1.8041523694992063,-0.05699396133427115,0
1688552596.1417613,-0.915158987045288,-1.80416476726532,-0.12054443359386369,0
1688552596.1525006,-0.9146324396133424,-1.802384614944458,-0.07547140121467066,0
1688552596.1626897,-0.9148591160774232,-1.802741289138794,0.03020763397219639,0
1688552596.1731477,-0.9156492948532104,-1.8030264377593996,0.0401735305786417,0
1688552596.1833699,-0.9161924719810486,-1.803562879562378,0.05160570144659005,0
1688552596.1935177,-0.9140653610229492,-1.8026607036590576,0.07110834121711207,0
1688552596.2037911,-0.9142856001853944,-1.8024982213974,0.013768672943129445,0
1688552596.21398,-0.9133681654930116,-1.8036024570465088,-0.05896091461187325,0
1688552596.224496,-0.9129355549812316,-1.8013200759887695,-0.0692963600159402,0
1688552596.234898,-0.913846790790558,-1.7999523878097534,-0.043213367462200836,0
