Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1686751371.7005308,23000.0,20220.0,26188.0,26044.0,19548.0
1686751371.7105772,23000.0,19976.0,25808.0,24352.0,21864.0
1686751371.7209525,23000.0,17945.0,22437.0,27491.0,24127.0
1686751371.7316363,23000.0,18682.0,23038.0,27734.0,22546.0
1686751371.7410734,23000.0,19661.0,24109.0,26993.0,23237.0
1686751371.7509072,23500.0,20215.0,22773.0,26831.0,24181.0
1686751371.7605653,23500.0,20067.0,23205.0,27731.0,22997.0
1686751371.7708545,23500.0,19539.0,19961.0,29513.0,24987.0
1686751371.7810605,23500.0,19913.0,20339.0,28009.0,25739.0
1686751371.790941,23500.0,18566.0,21720.0,29258.0,24456.0
1686751371.800901,23500.0,22858.0,25392.0,23968.0,21782.0
1686751371.8116271,23500.0,18728.0,25040.0,27304.0,22928.0
1686751371.8226612,23500.0,18262.0,24604.0,28892.0,22242.0
1686751371.8319075,23500.0,20884.0,24836.0,27100.0,21180.0
1686751371.8425179,23500.0,20636.0,20216.0,28716.0,26432.0
1686751371.8507328,24000.0,23099.0,20147.0,28945.0,23809.0
1686751371.8618731,24000.0,21080.0,21670.0,28212.0,25038.0
1686751371.872383,24000.0,18694.0,23758.0,30908.0,22640.0
1686751371.8814142,24000.0,19905.0,23417.0,29799.0,22879.0
1686751371.8915653,24000.0,21977.0,23415.0,27587.0,23021.0
1686751371.9008174,24000.0,20244.0,24324.0,28800.0,22632.0
1686751371.9129734,24000.0,19309.0,25885.0,30541.0,20265.0
1686751371.9212375,24000.0,20299.0,23971.0,29067.0,22663.0
1686751371.9318297,24000.0,20919.0,23601.0,28653.0,22827.0
1686751371.941557,24000.0,20048.0,26882.0,29968.0,21102.0
1686751371.9525282,24500.0,20285.0,24569.0,30009.0,23137.0
1686751371.961339,24500.0,20121.0,23305.0,30649.0,23925.0
1686751371.970747,24500.0,23179.0,23655.0,29161.0,22005.0
1686751371.9830647,24500.0,20469.0,23189.0,30501.0,23841.0
1686751371.990389,24500.0,19724.0,24596.0,32768.0,20912.0
1686751372.0008452,24500.0,23350.0,23494.0,28706.0,22450.0
1686751372.0111103,24500.0,23364.0,23278.0,29910.0,21448.0
1686751372.0202055,24500.0,20352.0,21496.0,32108.0,24044.0
1686751372.0302508,24500.0,23841.0,20463.0,31085.0,22611.0
1686751372.0399673,24500.0,20665.0,23881.0,34603.0,20851.0
1686751372.0504777,25000.0,22238.0,23540.0,35496.0,18726.0
1686751372.0607436,25000.0,23282.0,20574.0,31198.0,24946.0
1686751372.070671,25000.0,25774.0,23214.0,31428.0,19584.0
1686751372.0801687,25000.0,23652.0,24282.0,31906.0,20160.0
1686751372.0903866,25000.0,24285.0,19473.0,33583.0,22659.0
1686751372.10069,25000.0,22546.0,23888.0,33908.0,19658.0
1686751372.1110961,25000.0,23569.0,21075.0,35389.0,19967.0
1686751372.1205683,25000.0,24021.0,22113.0,31959.0,21907.0
1686751372.1316252,25000.0,25440.0,22148.0,33880.0,18532.0
1686751372.140808,25000.0,21760.0,22744.0,34522.0,18974.0
1686751372.150638,24500.0,24008.0,18308.0,35230.0,20454.0
1686751372.1617136,24500.0,24992.0,20734.0,31876.0,20398.0
1686751372.1708777,24500.0,26916.0,20446.0,30920.0,19718.0
1686751372.1807723,24500.0,21134.0,22796.0,34178.0,19892.0
1686751372.1905036,24500.0,22572.0,23836.0,35082.0,16510.0
1686751372.2012448,24500.0,25423.0,18835.0,31719.0,22023.0
1686751372.2113278,24500.0,26590.0,19666.0,35712.0,16032.0
1686751372.2212954,24500.0,25245.0,21201.0,34073.0,17481.0
1686751372.2315185,24500.0,26645.0,22485.0,35873.0,12997.0
1686751372.2403,24500.0,24710.0,17226.0,34024.0,20040.0
1686751372.2505972,24000.0,26182.0,15690.0,34860.0,19268.0
1686751372.2608206,24000.0,27992.0,18366.0,31586.0,18056.0
1686751372.2715206,24000.0,25987.0,18629.0,37637.0,13747.0
1686751372.2817,24000.0,23193.0,19687.0,35867.0,17253.0
1686751372.2907882,24000.0,27176.0,20690.0,34710.0,13424.0
1686751372.300804,24000.0,23292.0,21870.0,35710.0,15128.0
1686751372.310776,24000.0,24916.0,17972.0,36730.0,16382.0
1686751372.3208585,24000.0,24443.0,16247.0,34555.0,20755.0
1686751372.330791,24000.0,25915.0,17379.0,38739.0,13967.0
1686751372.3403983,24000.0,22874.0,16472.0,36900.0,17754.0
1686751372.3522573,23500.0,23884.0,16704.0,38688.0,14724.0
1686751372.3606591,23500.0,25276.0,16114.0,34426.0,18184.0
1686751372.370741,23500.0,23436.0,17222.0,36634.0,16708.0
1686751372.3804874,23500.0,23167.0,18357.0,36963.0,15513.0
1686751372.391366,23500.0,23723.0,18385.0,36031.0,15861.0
1686751372.401127,23500.0,25888.0,18822.0,34114.0,15176.0
1686751372.4107416,23500.0,24411.0,18195.0,35865.0,15529.0
1686751372.4213226,23500.0,25574.0,16672.0,35128.0,16626.0
1686751372.4313731,23500.0,23189.0,19099.0,37521.0,14191.0
1686751372.4419332,23500.0,25124.0,15048.0,34418.0,17410.0
1686751372.451182,23000.0,21552.0,18976.0,38332.0,13140.0
1686751372.4611735,23000.0,25138.0,13166.0,36464.0,17232.0
1686751372.4715602,23000.0,24172.0,17036.0,36198.0,14594.0
1686751372.4812639,23000.0,25302.0,16178.0,37062.0,13458.0
1686751372.4901671,23000.0,24684.0,15882.0,34880.0,16554.0
1686751372.5005841,23000.0,22017.0,17139.0,38697.0,14147.0
1686751372.5110548,23000.0,22556.0,14722.0,37276.0,17446.0
1686751372.5206761,23000.0,23023.0,16287.0,38233.0,14457.0
1686751372.530946,23000.0,23198.0,13826.0,36472.0,18504.0
1686751372.540343,23000.0,21289.0,20009.0,37707.0,10995.0
1686751372.550656,22500.0,25178.0,18212.0,33020.0,13590.0
1686751372.5614438,22500.0,23076.0,17164.0,34972.0,14788.0
1686751372.5706174,22500.0,21249.0,17687.0,36729.0,14335.0
1686751372.5804706,22500.0,24152.0,15926.0,33816.0,16106.0
1686751372.5904264,22500.0,23487.0,18725.0,35231.0,12557.0
1686751372.600072,22500.0,22947.0,14739.0,35935.0,16379.0
1686751372.6108158,22500.0,22047.0,17785.0,35683.0,14485.0
1686751372.6206048,22500.0,21751.0,13639.0,35969.0,18641.0
1686751372.6307983,22500.0,20557.0,18293.0,37277.0,13873.0
1686751372.6405625,22500.0,21428.0,16632.0,34566.0,15374.0
1686751372.6510346,22000.0,21397.0,16181.0,35139.0,15283.0
1686751372.6606276,22000.0,20854.0,17290.0,35598.0,14258.0
1686751372.6702604,22000.0,21902.0,15402.0,34688.0,16008.0
1686751372.681577,22000.0,21142.0,15758.0,34464.0,16636.0
1686751372.690215,22000.0,19732.0,17058.0,36358.0,14852.0
1686751372.700174,22000.0,19853.0,17855.0,35807.0,14485.0
1686751372.7103987,22000.0,21192.0,16654.0,35456.0,14698.0
1686751372.7203903,22000.0,21273.0,16663.0,34825.0,15239.0
1686751372.7303047,22000.0,20588.0,15604.0,35540.0,16268.0
1686751372.7402837,22000.0,20155.0,16493.0,34473.0,14879.0
1686751372.7512987,21500.0,20162.0,16708.0,35254.0,13876.0
1686751372.7603028,21500.0,19188.0,17054.0,35096.0,14662.0
1686751372.7702124,21500.0,20699.0,16857.0,34463.0,13981.0
1686751372.7803197,21500.0,18778.0,16764.0,34884.0,15574.0
1686751372.7916894,21500.0,20197.0,15931.0,34471.0,15401.0
1686751372.801119,21500.0,20329.0,17473.0,34501.0,13697.0
1686751372.8108208,21500.0,20910.0,17248.0,34358.0,13484.0
1686751372.8213475,21500.0,19144.0,17710.0,34402.0,14744.0
