Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687268848.7514462,0,0
1687268848.8523247,0,0
1687268848.9528987,0,0
1687268849.0534303,0,0
1687268849.1537635,0,0
1687268849.2542038,0,0
1687268849.3546674,0,0
1687268849.4551654,0,0
1687268849.555568,0,0
1687268849.6560655,0,0
1687268849.7565382,0,0
1687268849.8570108,0,0
1687268849.957556,0,0
1687268850.0581033,0,0
1687268850.1586132,0,0
1687268850.2591703,0,0
1687268850.3596358,0,0
1687268850.4601405,0,0
1687268850.5606601,0,0
1687268850.6612837,0,0
1687268850.7619503,0,0
1687268850.8624854,0,0
1687268850.962986,0,0
1687268851.0634303,0,0
1687268851.163942,0,0
1687268851.26445,0,0
1687268851.365153,0,0
1687268851.4656878,0,0
1687268851.5662212,0,0
1687268851.6667285,0,0
1687268851.7672582,0,0
1687268851.8677402,0,0
1687268851.9681377,0,0
1687268852.0685906,0,0
1687268852.1691155,0,0
1687268852.2696433,0,0
1687268852.3703644,0,0
1687268852.470863,0,0
