Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
22,702.3349,559.74536,1028.4583,-1033.2996,494.55594,-200.4053,-2384.5383,-1039.0537,497.82782,-206.533,-2435.604,18.842365,8.204286,43.44236,6.849634,-7.15499,81.477806,319.63226,-488.51215,-1.382616,1.1158769,2.0,-3.2072535
23,379.93634,552.36957,979.63513,-978.8518,422.98627,-223.0215,-2416.6682,-980.3621,427.45505,-225.53992,-2412.9502,21.179647,9.368921,45.442677,8.491527,-10.202566,68.57058,242.79231,-346.9303,-1.256803,1.2590324,2.0,-3.9185004
24,11018.896,8942.789,1139.0492,-1117.9746,547.9642,-199.26465,-2994.329,-1132.7291,600.0891,-209.13083,-3707.4934,19.410572,8.481745,46.53664,9.480476,-5.619899,61.54497,257.96704,-544.5796,-1.5623446,1.1036562,2.0,-3.9187446
25,1207.48,1519.0392,1076.7556,-1090.887,507.074,-275.26523,-2556.2761,-1088.0157,512.68494,-289.36078,-2564.6848,20.636917,8.193344,42.522446,7.6558104,-11.3148985,65.55278,96.00526,-430.8047,-1.1154795,1.1453696,2.0,-3.4830437
26,744.5873,1173.9661,1013.3143,-1002.3638,501.71857,-177.61215,-2901.167,-1004.4198,502.7084,-173.23468,-2865.47,20.319115,7.293589,41.92044,9.85183,-1.3153971,3.591574,9.063311,-11.258091,-1.55206,0.90350246,2.0,-3.794862
27,591.646,469.23248,1109.9641,-1107.69,532.9553,-186.68181,-2934.6692,-1118.4778,541.26984,-185.34601,-2957.6902,19.72646,7.5326023,48.40091,6.896807,-2.6986525,42.97607,232.86235,-549.9657,-1.8209453,0.88854563,2.0,-4.2355523
28,1113.9187,971.52747,1149.0002,-1162.5526,575.04865,-298.27496,-2903.1812,-1160.2598,565.0784,-285.1962,-2989.0798,18.559286,9.856998,43.054012,7.4897957,-3.70906,95.869095,327.05975,-398.80597,-1.360175,1.3195773,2.0,-4.112395
29,775.7844,727.5259,1284.003,-1282.0417,587.74493,-357.34784,-3057.744,-1275.8759,579.0242,-344.8137,-3067.41,22.400398,9.335111,42.981117,7.516276,-7.081934,54.48442,101.676735,-435.004,-1.2852548,1.2409098,2.0,-4.1639714
30,939.32837,818.4667,1018.976,-996.6289,488.16083,-167.18375,-2830.729,-1010.8422,495.18784,-175.6739,-2799.845,26.386545,8.988704,44.301155,8.46449,-12.206384,85.51407,261.97647,-526.633,-1.3330348,1.4352788,2.0,-4.948502
31,1132.4218,862.2799,997.9874,-994.5757,446.33292,-337.35645,-2473.52,-1008.85986,451.67377,-372.173,-2503.1455,23.480137,10.126407,48.476192,6.5674944,-6.01526,82.76307,316.14337,-642.23047,-1.4295335,1.1508294,2.0,-4.053291
32,925.8727,1300.8265,1220.4667,-1201.1177,653.7074,-232.44379,-3501.859,-1198.0347,646.01794,-250.88855,-3416.5044,23.485611,10.494355,52.8052,7.2333555,-10.116377,112.4483,452.77264,-861.8362,-1.2086182,1.2900155,2.0,-4.2092705
33,946.9253,607.0736,1016.37585,-1010.69836,552.76764,-273.50388,-3336.5854,-1014.3567,564.47797,-264.79294,-3366.1042,25.966238,9.293308,48.646088,12.893421,-11.140284,120.1754,449.866,-801.01196,-1.1096892,1.2266027,2.0,-3.3357477
34,819.64825,769.21094,964.5083,-948.25433,443.7893,-229.35782,-1969.971,-961.63574,445.96817,-251.7356,-1949.4279,27.648838,9.831082,51.319927,12.183085,-6.416786,88.67638,300.5635,-646.59924,-1.1026654,1.2549402,2.0,-4.4109106
35,3567.8403,1553.8374,1083.6311,-1095.783,569.19696,-315.93335,-2987.3794,-1060.5988,554.17505,-302.73236,-3021.3416,27.549837,10.951009,49.878384,8.622664,-11.458917,119.67278,269.2221,-555.3483,-1.2119409,1.4517564,2.0,-4.2540655
36,2658.5784,2148.4216,1039.6223,-1034.2173,523.27637,-165.92722,-3561.8938,-1025.8384,508.73117,-163.25687,-3582.0222,31.034702,8.7005205,49.293816,11.399052,-21.01078,87.36557,48.1743,-601.05634,-0.9735589,1.3594391,2.0,-6.7603855
