Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
0,2.058063,2.0940962,52.904213,-49.75405,9.342489,-22.97923,-75.55851,-50.291176,9.514584,-22.583773,-71.27605,5.5280313,2.9974453,17.703861,-2.6447306,-0.5058236,1.4291769,3.64308,-4.642548,-1.4934973,0.4497041,-0.6365128,-3.0835612
1,4.9840393,4.667657,99.53674,-96.29166,16.59664,-52.73675,-150.30278,-95.83194,16.248322,-52.473606,-148.48189,5.149496,2.1167116,13.478033,0.04893273,-0.4049774,1.3944519,3.5970922,-3.86686,-1.3244735,0.4804813,-0.04835111,-2.393539
2,6.713661,6.0105805,136.51541,-130.99045,31.631464,-52.430088,-214.70358,-131.64578,31.812893,-52.68857,-210.52106,8.181915,3.4015357,26.905241,0.27119398,-0.6489829,1.5731335,4.655123,-4.4894366,-1.8522713,0.51463675,-0.6743423,-3.4493556
3,3.8946567,4.1712403,163.63889,-160.36234,33.44094,-85.08641,-246.68272,-160.14905,33.616337,-86.23208,-249.44867,4.5795355,3.5542827,17.705135,-3.1532698,-0.30510998,0.903707,2.9573488,-4.137836,-2.035355,0.5097892,-0.8442341,-3.772887
4,4.617196,5.679057,188.77155,-184.2687,39.077103,-80.124435,-314.05884,-183.05484,38.740498,-81.00794,-308.44516,7.1112356,3.8245292,20.767658,-0.18484199,-0.60330814,1.5713159,5.0286913,-5.2417393,-1.6237923,0.5034634,-0.34586424,-2.8779721
5,7.3300524,13.0277605,222.34976,-218.34918,44.786835,-103.66563,-330.92172,-217.2419,44.868374,-106.28262,-328.53473,4.397266,2.053214,10.632881,-2.3905418,-0.17112444,0.7445348,2.9934018,-2.5148294,-2.1181064,0.7155325,-0.37734354,-4.213693
6,7.182826,7.7400084,229.50513,-225.81696,47.60435,-101.670044,-362.1232,-227.03384,48.117653,-100.42321,-368.31198,7.737908,3.3483055,14.541621,-1.9967959,-0.6267936,1.8778778,3.6316433,-5.192197,-1.4821249,0.64321935,0.47108412,-3.2312207
7,718.3116,689.15094,239.15002,-231.3569,55.062534,-112.7933,-370.786,-237.61646,60.7376,-114.728935,-427.02866,7.464132,4.4150386,33.473778,2.048236,-0.680087,1.6679478,5.644145,-5.8637795,-1.4055408,0.57466733,0.7463211,-3.713362
8,29.993557,18.02938,253.30226,-244.37265,46.547413,-122.2926,-366.18823,-248.24867,47.466694,-125.47685,-379.69382,8.29451,5.7536836,38.077557,0.4561392,-0.19398649,2.120198,13.572701,-9.250153,-1.6179695,0.61882967,0.8856443,-4.750455
9,8.321571,10.813982,286.6668,-279.80304,61.62095,-136.81165,-469.8778,-280.29102,61.575443,-139.80571,-462.56937,8.587733,4.8372054,26.049438,-1.6105565,-0.5208668,1.9410365,7.242735,-5.5842457,-1.4973303,0.65310436,0.5805092,-4.204669
10,13.4362545,9.019982,281.88837,-275.28036,53.80223,-133.94983,-400.8979,-277.13843,54.759773,-132.75099,-406.59195,9.658251,5.2966137,25.13356,-0.3958342,-1.0263375,1.9918416,4.432352,-6.287663,-1.3474059,0.6944567,0.6549792,-3.5408998
11,12.050705,15.225508,297.21838,-285.7425,41.07211,-162.73322,-383.944,-287.23035,40.76726,-160.13495,-373.3248,11.777744,4.6674447,22.1178,1.5572333,-1.1902574,2.712093,5.9222503,-10.035243,-0.9470573,0.80283797,2.0,-3.0424201
12,15.160938,13.423901,335.97348,-330.7786,72.81566,-192.50148,-534.37445,-331.80515,72.3777,-190.99736,-522.3279,5.9661927,3.3074067,16.68621,-5.081854,-0.338404,1.1856809,4.5093646,-4.357129,-1.9342697,0.7902667,0.096374154,-4.466607
13,8.315485,9.343194,332.55566,-325.38437,53.413296,-190.63242,-395.74637,-323.5948,53.117615,-187.86865,-399.3725,9.723998,5.0364065,25.26004,1.5994661,0.038346127,2.2566586,6.8745513,-4.471576,-1.3234322,0.76118124,0.23686159,-3.611389
14,11.977856,16.462654,331.44376,-322.60394,52.442913,-177.43852,-422.41898,-323.40906,52.38351,-179.56287,-423.73645,12.125241,5.203318,32.84742,0.61696804,-1.1925453,2.2506387,6.258419,-7.126449,-1.304793,0.8043312,1.2151908,-5.947575
15,33.26427,12.846521,342.37808,-338.41898,70.56113,-191.98665,-571.8167,-333.57776,69.6679,-191.33693,-567.55536,12.717642,5.171758,33.822987,1.1700709,-1.2910004,2.4538996,8.382668,-6.9570475,-1.381213,0.68018407,0.2702602,-2.7351663
16,19.189087,20.719055,318.86182,-311.38156,59.169685,-205.7934,-431.55203,-310.4715,58.81663,-208.56429,-429.60196,11.613037,5.5259433,28.628395,2.563883,-0.24923193,2.3577833,5.552536,-4.5973377,-1.3883276,0.8870075,0.6393583,-5.879263
17,20.990154,20.46196,332.22388,-324.8346,77.0616,-194.82669,-532.71747,-325.5584,77.514114,-199.64153,-535.35046,10.458042,5.4021115,29.493103,2.1309106,-0.12982412,2.209744,6.429165,-5.412367,-1.4991865,0.7430397,0.95095134,-3.8330214
18,5421.072,5425.296,331.4199,-322.9909,127.57234,-171.0951,-1178.616,-311.9408,75.73499,-178.66234,-590.511,11.070356,5.6340065,30.784313,2.3951044,-1.233548,2.256324,15.974634,-9.244599,-1.395231,0.7736942,2.0,-4.895969
19,21.175417,13.032135,317.8604,-306.05334,74.13828,-166.20319,-530.96405,-305.9455,73.72814,-161.57904,-531.58203,16.543432,8.421975,35.355137,3.6689997,-1.5922412,2.8370628,10.749345,-8.006209,-1.209936,0.74282557,0.3231132,-3.6258023
20,32.827713,20.572313,297.66443,-288.41385,77.43565,-138.18741,-522.72107,-291.04926,78.554695,-137.25085,-517.0117,11.863478,5.4011188,33.09783,0.23430985,-1.5820597,2.0520453,6.952052,-7.339189,-1.1311269,0.59625566,1.1698017,-3.1322527
21,12.105127,12.06218,272.96548,-263.15457,57.66979,-133.60992,-386.61545,-263.63882,57.265774,-134.46211,-384.46796,13.183516,5.320002,29.06012,4.6848054,-1.4714893,2.305098,9.000874,-6.93816,-1.2336437,0.7336317,1.1918077,-3.702981
22,13.563699,13.500852,269.70593,-262.50638,102.11466,-118.05684,-539.8014,-261.88593,101.927864,-119.62711,-540.00757,11.537285,5.7217474,28.966991,-2.1181092,-1.3566601,2.082071,8.292819,-5.9533715,-1.3907359,0.87648845,1.031099,-4.7567444
23,15.519275,16.172413,262.43143,-255.22151,99.58445,-117.73955,-573.8612,-254.76062,99.84596,-120.17064,-586.0327,12.060762,5.741058,30.104076,3.3182602,-1.5131038,3.6526334,20.817951,-31.828556,-1.1749525,0.7201107,2.0,-2.665426
24,11.98142,11.497728,253.0826,-248.7534,89.99809,-131.83311,-581.8889,-247.35596,90.14264,-129.16364,-582.13605,8.828331,4.605307,24.489162,-0.18355131,-0.9147506,1.8589429,6.2512326,-6.385518,-1.4166238,0.64945567,0.7977278,-3.418874
25,8.985536,25.22612,255.8449,-249.33517,67.401344,-132.21681,-446.54245,-249.49686,67.45843,-131.81386,-435.20343,8.757805,5.1858087,32.06186,-0.5278618,-0.7545378,1.8263391,4.456218,-6.221921,-1.5818977,0.78470767,0.88324726,-3.5383468
26,19.498138,25.479046,269.02087,-266.5286,99.855995,-158.1224,-599.19354,-265.2403,98.75248,-156.5295,-612.34863,8.619048,4.6926646,23.03319,1.4334157,-0.7864532,1.8760222,5.337566,-8.53746,-1.5554553,0.72202855,1.9999988,-4.4447813
27,15.228298,15.536106,294.79303,-284.15137,91.37421,-188.666,-608.9712,-283.22858,91.47361,-184.0756,-613.51935,14.674261,6.612537,32.347748,2.8437624,-1.1965553,2.7253616,6.171066,-9.189238,-1.2724473,0.9236227,1.663497,-4.0186377
28,19.678738,27.965128,277.1138,-268.41565,84.08107,-185.95969,-608.7136,-271.0239,84.695335,-186.61441,-614.7398,13.315284,6.678913,33.598835,-3.841898,-0.5428009,2.6384351,6.323926,-5.2655163,-1.405648,0.79268944,0.51211023,-4.5560417
29,29.050282,14.905998,263.75208,-259.61795,87.41311,-160.83116,-704.85345,-256.3091,86.24276,-161.52382,-700.7305,10.446662,3.704037,23.624863,0.6225536,-1.0584285,2.0041568,4.2778697,-5.959014,-1.5547588,0.64679,-0.09047079,-4.4906664
30,14.308678,20.168146,260.9898,-251.11096,77.18067,-147.70557,-690.3917,-251.76718,77.61199,-148.146,-692.69745,13.180982,5.453867,39.94969,3.1086538,-1.0357591,3.0657597,5.777475,-21.809357,-1.297513,0.7859584,2.0,-4.366776
31,9.828132,11.544345,265.9519,-258.5867,62.279144,-158.68112,-462.7421,-257.0077,61.806965,-161.4517,-458.32166,10.885888,4.3018003,21.81881,3.4532366,-0.2904702,2.1377242,5.6467605,-4.9995008,-1.6870434,1.0762256,0.15366983,-4.68905
32,18.047337,13.767595,244.24399,-236.42485,82.35868,-100.87675,-681.9144,-236.27646,81.843765,-101.12381,-682.99457,11.7109585,4.663101,24.631353,3.9852881,-0.7606604,2.2182574,3.9924319,-5.3557644,-1.4223999,0.807742,0.24103999,-4.6480837
33,14.102054,15.7130375,275.51617,-267.3147,102.48504,-93.42746,-612.8136,-266.02158,101.91927,-93.45604,-618.2315,11.502646,6.8704023,41.065083,2.5102253,-1.1723833,4.4188514,19.034864,-26.135834,-1.5112772,1.1595563,2.0,-4.7196026
34,13.238192,14.4741745,259.49408,-250.41623,81.478355,-121.30171,-614.522,-250.09453,81.51844,-123.78117,-621.7438,12.607321,6.3951387,43.458336,4.208927,-1.349234,8.453105,33.412872,-72.40681,-1.726824,1.1286744,2.0,-4.613724
35,28.873304,21.101883,281.1724,-270.47803,117.51589,-137.27342,-730.53534,-273.1594,119.62821,-133.94556,-741.5828,12.014647,6.135971,38.0507,3.4147348,-0.7714162,4.2289824,18.415762,-29.221334,-1.5975728,1.1501626,2.0,-4.9033437
36,65.79817,74.77526,270.65353,-261.61203,91.86475,-145.87276,-665.72784,-262.4754,92.02932,-147.75476,-658.21466,12.228961,3.6218967,28.556822,5.378804,-0.34677142,2.54589,4.917855,-14.188011,-1.5758595,0.92600214,0.41842556,-4.6945543
37,38.05184,76.70088,279.60776,-270.96204,87.390335,-151.60547,-661.41925,-266.94534,87.08408,-153.07278,-641.3199,12.445128,4.851359,35.697468,5.6747093,-0.3927681,2.4508834,5.566591,-13.422125,-1.7964115,1.0712961,1.035809,-5.000951
38,37.492035,21.855618,270.90466,-263.115,84.69313,-140.5295,-617.6853,-265.81805,86.93351,-139.6189,-624.6037,10.731775,5.537487,41.609356,2.1335428,-0.49138492,2.9435906,8.82763,-33.50139,-1.8324974,0.989689,2.0,-4.3543744
39,38.373016,44.29362,291.16473,-284.67566,104.36127,-156.17009,-631.53674,-284.71872,103.814476,-157.90068,-629.319,10.080158,4.881746,29.238602,0.74608076,-0.5832039,2.516421,11.72043,-20.554695,-1.6637421,1.0398794,2.0,-4.422267
40,13.989946,24.069714,290.3324,-282.69177,103.06803,-156.27304,-591.1296,-281.91714,103.35434,-152.31133,-586.0809,10.731034,4.880765,30.895752,1.2567114,-0.40165317,2.4221845,9.129024,-17.653944,-1.8112935,1.0312712,1.9359694,-4.392713
41,33.359734,41.022785,282.12082,-277.56934,111.86051,-164.73367,-651.2845,-277.5649,113.35771,-160.83702,-676.23914,13.239292,4.9131074,31.250772,4.990786,-0.7324943,2.9710808,5.9739122,-21.293613,-1.7596306,1.0689443,2.0,-4.337948
