Folder,Battery end,Motors end,Stab end,Motors start,Stab start
20230706T15-54-53,15:56:23.923419973,15:56:23.311435335,15:56:22.543454624,15:55:06.829420202,15:55:05.885445548
20230706T15-56-55,16:00:27.337845045,16:00:26.585860864,16:00:25.881875680
20230706T16-03-59,16:10:21.242970731,16:10:20.326985805,16:10:19.486999630
20230706T16-15-00,16:20:33.369431426,16:20:34.005421887,16:20:34.749410730
