Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
22,18.213505,20.951395,309.36578,-300.418,119.231544,-149.9529,-876.7204,-299.25153,118.62673,-147.17307,-875.79645,12.9772005,6.0254045,32.5148,3.169255,-0.86934924,2.7215948,7.9343357,-4.8003607,-0.92787784,0.38803092,0.07705796,-2.6981153
23,31.812157,42.32956,307.28482,-298.63367,92.38065,-167.43132,-633.67944,-299.62927,92.819405,-163.78755,-638.45575,11.326193,4.7255435,23.092121,2.818529,-1.1293426,2.199738,3.785644,-5.7058754,-1.0563223,0.61180395,0.059871435,-4.5424824
24,95.68831,51.70082,322.91663,-311.83005,131.90222,-120.219,-866.65216,-305.00433,127.86541,-116.723915,-860.96466,14.713845,5.2770977,28.105179,4.4763484,-1.3328791,2.7767522,6.61508,-7.0427866,-0.8901389,0.56171733,0.85563767,-2.9010565
25,43.79159,35.00366,336.00897,-324.52606,116.39153,-125.65782,-877.7147,-327.9466,117.860985,-125.95188,-875.94147,13.046366,5.925648,30.955515,0.13526022,-1.1450567,2.5434027,6.8033967,-6.507886,-0.9982985,0.580429,1.0680556,-3.4718738
26,28.099503,36.678036,286.6762,-276.66718,88.23009,-115.99295,-461.96173,-274.1849,86.48865,-117.14476,-450.51288,14.961362,6.4708343,33.72083,2.6069775,-1.0974116,2.8801599,7.8837295,-5.551756,-0.91607714,0.51538116,0.39367175,-3.1655421
27,22.237034,21.411358,335.22684,-323.73325,168.31078,-138.65108,-857.4778,-322.86276,166.73521,-137.88187,-849.8555,15.041839,4.7839785,27.687841,4.313819,-0.84073853,3.0335245,7.232815,-5.4262676,-0.8009745,0.50566286,1.0333587,-2.7287054
28,17.108803,18.868063,350.243,-337.89523,153.22525,-122.32473,-864.3638,-338.34702,154.6562,-121.48768,-872.61456,14.138838,5.622649,27.055294,2.181967,-1.1144204,2.8856392,8.298157,-14.718944,-1.1931517,1.010804,2.0,-4.144359
29,35.932312,27.080315,363.46213,-348.1349,158.73537,-125.4699,-916.1485,-350.54865,160.40027,-126.01411,-911.04034,14.02078,5.8796835,26.592781,-1.8125906,-0.8618082,2.725964,7.5272536,-6.3254533,-1.3313692,1.1396428,0.783895,-4.307044
30,40.118954,32.503933,380.20007,-366.1875,185.52177,-118.209305,-994.20404,-368.66254,187.24539,-121.15741,-974.32983,12.257896,4.3953757,26.816195,4.3298507,-0.6857959,2.4714427,6.472357,-7.475482,-1.2912312,1.163495,0.8743893,-4.748599
31,21.242805,37.376686,337.69974,-328.4937,172.0988,-99.32433,-1090.6287,-329.35034,170.8188,-98.061775,-1090.5186,11.915262,5.6350217,36.48491,4.3408914,-0.59502506,2.4591389,7.6929655,-6.572228,-1.4466778,1.1643174,0.94289756,-5.137592
32,112.929596,22.35904,385.39008,-379.00287,234.8236,-107.735466,-1189.4856,-370.76965,229.23526,-105.577805,-1178.0466,13.556661,5.8838077,26.410131,3.5123963,-0.8965214,2.7801917,9.450647,-6.077716,-1.1515507,0.9825693,0.4445889,-4.5860167
33,29.059582,32.79866,364.97092,-350.04828,178.36032,-84.21995,-1225.9146,-351.21146,178.93394,-83.92942,-1219.3186,16.596592,8.382711,34.427444,2.4006286,0.040672183,3.436535,9.921296,-5.470057,-1.0476222,0.9564116,1.6716015,-4.689453
34,24.598871,19.103111,360.3061,-348.31427,207.33556,-126.24247,-1305.0334,-350.41357,207.25955,-130.41806,-1308.7086,15.108042,6.439682,40.01986,6.0726643,-1.0203943,4.1151013,32.30379,-21.239616,-0.98981154,0.83227193,2.0,-4.2775593
35,27.295202,73.9056,319.90295,-312.63983,178.8293,-98.328865,-904.0456,-312.55246,179.72227,-97.02499,-917.7913,13.1693325,8.336418,42.748535,0.9114175,-0.79148394,6.993543,32.116596,-39.040077,-0.9039851,0.89573467,2.0,-3.2535667
36,41.749065,30.05665,327.6505,-317.0607,145.68008,-140.70439,-827.6272,-316.0947,145.20755,-139.1485,-836.4756,15.083508,7.6367598,41.783085,0.8663182,-0.16238634,6.349682,50.35302,-25.292728,-1.0378627,0.93088615,2.0,-3.6006227
37,96.79419,110.10683,355.57077,-340.65985,189.69589,-92.55965,-1099.0317,-342.93185,190.94208,-94.15581,-1081.8,13.0607815,8.771986,42.74289,2.7737253,-0.69966686,14.304777,106.30794,-58.758587,-1.0209434,0.98023224,2.0,-3.493575
38,15.450976,15.615976,322.42343,-311.62128,147.88028,-55.035557,-859.37506,-311.31104,147.52112,-54.173298,-872.38654,15.387012,8.290201,43.22327,0.35646963,-0.8396189,7.6234426,68.536156,-55.67424,-0.9753953,0.655013,2.0,-2.7633283
39,45.19388,20.216118,334.4198,-321.72903,148.68512,-82.798996,-838.2938,-318.38904,145.61461,-81.38364,-841.94916,16.145727,7.636695,42.620575,3.0257,-1.6459022,20.054794,141.11534,-91.9607,-0.84435403,0.8274122,2.0,-3.3573422
40,22.506716,32.963512,321.73746,-311.88214,172.2667,-52.2005,-849.8739,-311.63892,171.59267,-51.898552,-859.7195,16.835426,8.611816,41.577103,3.7716012,-1.6079687,17.744549,101.45517,-109.718216,-0.8501091,0.88344437,2.0,-2.5576155
41,20.300795,36.31192,349.1385,-334.76004,171.45428,-83.73521,-923.8136,-336.4765,172.1777,-88.04205,-929.2766,17.210663,9.277835,42.409107,1.9735217,-3.3724103,30.433563,160.19029,-143.63159,-0.8103939,1.0362025,2.0,-3.282876
42,34.113865,23.235794,318.45108,-306.69525,166.56639,-88.37578,-980.86456,-309.51016,167.43394,-92.34632,-976.60175,14.05986,8.2683525,43.116447,2.9928753,-1.5732999,17.49974,113.13639,-124.679504,-1.0299435,1.0296259,2.0,-3.748198
43,16.639889,52.936974,313.94498,-297.87787,154.12799,-88.53566,-1171.1111,-297.39725,155.26779,-87.21298,-1142.5303,16.37704,7.844638,39.225677,3.7391222,-0.6310222,9.912842,76.34773,-87.128426,-0.9708141,0.8276191,2.0,-3.2747154
44,17.636057,17.802916,304.46072,-294.35315,167.88889,-87.49239,-1044.5187,-295.41687,167.43451,-83.76074,-1040.2528,13.379656,6.163191,37.527164,2.441781,-2.2732725,18.498596,119.59758,-125.17952,-1.2147517,1.0491502,2.0,-4.1092215
45,23.500015,29.183456,392.11432,-380.21515,250.96234,-80.407104,-1080.6617,-379.98495,249.09964,-77.782585,-1090.6177,15.851492,9.662578,43.263527,2.5917006,-2.589482,27.581865,126.61195,-110.81866,-0.9802078,1.3645221,2.0,-4.3366117
46,42.677544,20.793833,370.85144,-358.66266,226.2318,-77.83615,-1274.9297,-362.78802,228.50569,-81.71618,-1282.37,12.412452,8.009483,43.541313,2.2545094,-1.0581772,16.101048,100.99861,-91.554596,-1.3850985,1.3435237,2.0,-5.126265
47,37.70037,69.205154,384.18552,-372.85797,167.04298,-78.16741,-1144.4996,-369.0761,166.59727,-76.49541,-1130.7825,15.741435,6.9209895,42.53588,0.891973,-1.800161,8.342484,68.88015,-89.84497,-1.1630993,1.1602259,2.0,-3.9047081
48,20.22279,17.97551,347.0998,-335.01282,162.19888,-69.163574,-823.4693,-335.3791,161.82343,-69.396126,-823.99945,15.029581,6.1596575,32.113636,3.9720302,-0.41724178,3.1641793,9.168341,-10.115649,-1.2396557,1.0873575,1.3084657,-4.900585
49,55.946476,22.221447,351.1771,-335.0882,210.7063,-60.31543,-1092.5409,-340.5473,213.03691,-64.05174,-1086.3231,15.690219,7.3965755,40.6789,3.4681067,-1.6106827,13.082108,104.25138,-112.506256,-1.0481219,0.99118966,2.0,-3.8789563
50,19.925995,95.01908,429.05164,-408.50537,244.4258,-88.18911,-1124.4036,-407.6681,245.33253,-87.30027,-1112.3033,19.90836,9.328027,43.385242,3.9620957,-3.8164947,26.737791,115.38487,-155.35614,-0.7545041,1.1359705,2.0,-3.7084312
51,94.22518,137.35674,410.54916,-395.83325,189.98643,-141.07875,-1247.7296,-388.02982,186.33786,-142.50305,-1226.256,16.790169,7.9889216,43.06938,4.3301625,-3.1287496,17.343227,13.451316,-171.9974,-1.1047425,1.0918151,2.0,-4.6358066
52,21.213707,29.665527,359.66672,-343.8898,179.86475,-60.39182,-1272.2076,-343.46692,179.7976,-60.17618,-1270.0378,17.5985,8.686572,43.250645,0.33034444,-1.5421435,14.401756,11.187049,-188.26373,-1.1170938,1.1630987,2.0,-5.6931763
53,34.210754,27.648659,361.12903,-345.46823,179.66513,-52.564156,-1281.4855,-348.90656,181.03593,-52.195057,-1274.9095,14.525433,7.9464316,42.72705,2.7576604,-2.8423479,18.29822,7.383347,-210.7127,-1.3110161,1.40145,2.0,-5.053552
54,156.59288,160.16725,381.31573,-368.14847,155.11444,-51.36266,-758.06464,-369.77307,155.0857,-54.55592,-762.45905,14.911048,6.187786,30.274212,2.922392,-0.087744065,3.1042929,10.700145,-10.8554535,-1.5716316,1.1849473,2.0,-4.954673
55,55.34545,19.82529,402.26245,-387.16296,184.14388,-83.78451,-1281.0029,-392.94037,185.90024,-86.68387,-1283.0128,17.632912,8.048248,41.28201,-0.21259868,-1.5847571,8.391297,12.042314,-81.98638,-1.153476,1.0949183,2.0,-5.154065
56,16.467113,63.093525,373.6145,-358.01755,207.7559,-89.940674,-1252.7335,-358.89474,209.11206,-90.67387,-1234.6781,16.950487,8.817223,42.846634,3.0904076,-2.3994281,14.318818,13.403617,-100.28878,-1.0191686,1.183578,2.0,-4.961957
57,23.230545,31.096867,383.2186,-367.34756,125.92049,-125.79759,-804.7336,-368.18524,127.23449,-125.722305,-812.1297,18.36243,7.105286,42.205345,4.779504,-1.177333,7.976851,11.857433,-67.544525,-1.0555813,1.2112038,2.0,-5.1488132
58,18.692278,21.878452,401.82455,-381.776,174.57883,-120.96166,-1383.298,-380.77304,174.54953,-116.760025,-1382.827,21.409555,8.177062,43.500237,7.378772,-1.0963924,16.260202,16.341803,-154.63948,-1.7476071,1.6839023,2.0,-6.1380033
59,47.89128,28.589258,482.48047,-456.68176,296.9886,-131.11905,-1398.7651,-459.85968,301.12292,-121.90836,-1402.5012,30.266754,8.697088,44.07157,2.0930688,-8.788035,25.134024,17.688187,-145.88846,-0.6991767,1.4180317,2.0,-6.257905
60,54.16665,61.281265,425.74866,-398.35266,247.78552,-103.55037,-1439.771,-402.50098,249.54228,-110.58936,-1423.0527,23.666729,9.637413,43.317566,1.0994666,0.7855156,13.259914,47.570747,-71.559,-0.83294404,1.4449121,2.0,-4.492798
