Time,motor.m1,motor.m2,motor.m3,motor.m4,RB ID,Pos x,Pos y,Pos z,Quat w,Quat x,Quat y,Quat z
1688558794.5765142
1688558794.5967762
1688558794.617046
1688558794.6373513
1688558794.6577358
1688558794.677992
1688558794.6986785
1688558794.7190077
1688558794.7396567
1688558794.760386
1688558794.7810874
1688558794.801809
1688558794.8225467
1688558794.843198
1688558794.864754
1688558794.8876753
1688558794.90901
1688558794.934235
1688558794.9562647
1688558794.9770467
1688558794.9987125
1688558795.0195963
1688558795.0404851
1688558795.0619226
1688558795.0832775
1688558795.104289
1688558795.1250803
1688558795.1463032
1688558795.1679337
1688558795.188387
1688558795.2087417
1688558795.229316
1688558795.2498052
1688558795.270063
1688558795.2903495
1688558795.3106103
1688558795.3314037
1688558795.3518221
1688558795.373091
1688558795.393835
1688558795.4141624,0.0,0.0,0.0,0.0
1688558795.434432,0.0,0.0,0.0,0.0
1688558795.4546068,0.0,0.0,0.0,0.0
1688558795.4748282,0.0,0.0,0.0,0.0
1688558795.4950533,0.0,0.0,0.0,0.0
1688558795.515265,0.0,0.0,0.0,0.0
1688558795.5358298,0.0,0.0,0.0,0.0
1688558795.5561,0.0,0.0,0.0,0.0
1688558795.5763638,0.0,0.0,0.0,0.0
1688558795.5965734,0.0,0.0,0.0,0.0
1688558795.6167552,0.0,0.0,0.0,0.0
1688558795.6381028,0.0,0.0,0.0,0.0
1688558795.6586773,0.0,0.0,0.0,0.0
1688558795.678922,0.0,0.0,0.0,0.0
1688558795.699177,0.0,0.0,0.0,0.0,10,2.6000232696533203,0.02217956632375717,2.5210981369018555,0.0037062193732708693,-0.8314573168754578,-0.040684644132852554,-0.5540847778320312
1688558795.7194045,0.0,0.0,0.0,0.0,10,2.600008726119995,0.022165048867464066,2.5210747718811035,0.003809274174273014,-0.8315728306770325,-0.04092170298099518,-0.5538930892944336
1688558795.7396178,0.0,0.0,0.0,0.0,10,2.599982500076294,0.022103777155280113,2.521042585372925,0.0042612310498952866,-0.8317916393280029,-0.04040931910276413,-0.5535988807678223
1688558795.7599432,0.0,0.0,0.0,0.0,10,2.600026845932007,0.02217845804989338,2.5210347175598145,0.0033016405068337917,-0.8318101167678833,-0.04215354472398758,-0.5534476637840271
1688558795.780482,0.0,0.0,0.0,0.0,10,2.600019931793213,0.022177565842866898,2.521061897277832,0.0035325107164680958,-0.8316650986671448,-0.04148348793387413,-0.5537147521972656
1688558795.8007271,0.0,0.0,0.0,0.0,10,2.600008964538574,0.022157130762934685,2.5210723876953125,0.0038400141056627035,-0.8315926194190979,-0.04103429242968559,-0.5538549423217773
1688558795.82096,0.0,0.0,0.0,0.0,10,2.6000211238861084,0.022162575274705887,2.5211031436920166,0.003896360984072089,-0.8314432501792908,-0.040663644671440125,-0.5541059374809265
1688558795.8412335,0.0,0.0,0.0,0.0,10,2.6000359058380127,0.022188255563378334,2.521071195602417,0.0032606604509055614,-0.8316701650619507,-0.04185944423079491,-0.5536805391311646
1688558795.8614986,0.0,0.0,0.0,0.0,10,2.6000003814697266,0.022130945697426796,2.521076202392578,0.004065434914082289,-0.8316049575805664,-0.04057324677705765,-0.5538687705993652
1688558795.8818524,0.0,0.0,0.0,0.0,10,2.600048065185547,0.022205883637070656,2.5211195945739746,0.003797738114371896,-0.8312708139419556,-0.041270315647125244,-0.5543203949928284
1688558795.9024596,0.0,0.0,0.0,0.0,10,2.600022315979004,0.022180253639817238,2.521066427230835,0.0035042734816670418,-0.8316946029663086,-0.04167863354086876,-0.5536558032035828
1688558795.9229295,0.0,0.0,0.0,0.0,10,2.5999915599823,0.022126464173197746,2.521080493927002,0.0042482540011405945,-0.8315362930297852,-0.04016292095184326,-0.5540003776550293
1688558795.9431772,0.0,0.0,0.0,0.0,10,2.6000380516052246,0.02219768986105919,2.5211222171783447,0.003639458678662777,-0.8313705921173096,-0.040786851197481155,-0.5542076826095581
1688558795.9635286,0.0,0.0,0.0,0.0,10,2.600052833557129,0.022215405479073524,2.5211403369903564,0.003602448618039489,-0.8311945199966431,-0.0408240482211113,-0.5544692277908325
1688558795.9839952,0.0,0.0,0.0,0.0,10,2.6000516414642334,0.02222456969320774,2.5211284160614014,0.0032800137996673584,-0.8313442468643188,-0.041173793375492096,-0.554220974445343
1688558796.0044343,0.0,0.0,0.0,0.0,10,2.60006046295166,0.022228220477700233,2.5211362838745117,0.0033848623279482126,-0.8312609195709229,-0.04117802157998085,-0.5543449521064758
1688558796.0248282,0.0,0.0,0.0,0.0,10,2.5999984741210938,0.022132201120257378,2.521069049835205,0.003890169318765402,-0.8316919803619385,-0.04048440232872963,-0.5537458062171936
1688558796.0450163,0.0,0.0,0.0,0.0,10,2.60003662109375,0.022193538025021553,2.5210859775543213,0.0034342962317168713,-0.8315883278846741,-0.041299108415842056,-0.5538442730903625
1688558796.0655572,0.0,0.0,0.0,0.0,10,2.6000030040740967,0.02214975655078888,2.521034002304077,0.0034893997944891453,-0.8318987488746643,-0.041333477944135666,-0.5533751845359802
1688558796.0857928,0.0,0.0,0.0,0.0,10,2.60003662109375,0.02220383659005165,2.5210893154144287,0.0032786985393613577,-0.8316213488578796,-0.04167860746383667,-0.5537673830986023
1688558796.106021,0.0,0.0,0.0,0.0,10,2.6000304222106934,0.02219586819410324,2.521127700805664,0.0036546909250319004,-0.8314065933227539,-0.04071666672825813,-0.5541588068008423
1688558796.1264358,0.0,0.0,0.0,0.0,10,2.600043773651123,0.022195948287844658,2.5211451053619385,0.003805250860750675,-0.8312037587165833,-0.040553558617830276,-0.5544739365577698
