Time,motor.m1,motor.m2,motor.m3,motor.m4,RB ID,Pos x,Pos y,Pos z,Quat 1,Quat 2,Quat 3,Quat 4
1687769784.511529
1687769784.53203
1687769784.552421
1687769784.5729034
1687769784.5933378
1687769784.6138723
1687769784.63439
1687769784.654918
1687769784.6753495
1687769784.6958532
1687769784.7163374
1687769784.736877
1687769784.757407
1687769784.778053
1687769784.79887
1687769784.8242488
1687769784.8504124
1687769784.8718848
1687769784.901171
1687769784.921952
1687769784.94318
1687769784.9645534
1687769784.98508
1687769785.0064738
1687769785.0270844
1687769785.0477257
1687769785.0685685
1687769785.089178
1687769785.1098275
1687769785.1300733
1687769785.150337
1687769785.1708493
1687769785.1912224
1687769785.2115617
1687769785.2322679
1687769785.253237
1687769785.2746792
1687769785.2953053
1687769785.3158169
1687769785.3363044
1687769785.3569155
1687769785.3796647
1687769785.4004653
1687769785.421618,0.0,0.0,0.0,0.0
1687769785.4421287,0.0,0.0,0.0,0.0
1687769785.462466,0.0,0.0,0.0,0.0
1687769785.482697,0.0,0.0,0.0,0.0
1687769785.5028822,0.0,0.0,0.0,0.0
1687769785.5232346,0.0,0.0,0.0,0.0
1687769785.5434477,0.0,0.0,0.0,0.0
1687769785.563774,0.0,0.0,0.0,0.0
1687769785.5841117,0.0,0.0,0.0,0.0
1687769785.60436,0.0,0.0,0.0,0.0
1687769785.6251168,0.0,0.0,0.0,0.0,10,2.811591625213623,0.02526787295937538,1.8662896156311035,-0.018263237550854683,-0.9914441704750061,-0.02454173006117344,-0.1268964409828186
1687769785.6466575,0.0,0.0,0.0,0.0,10,2.811570644378662,0.02528318017721176,1.8662676811218262,-0.018166597932577133,-0.9914018511772156,-0.02432609535753727,-0.1272815465927124
1687769785.6671238,0.0,0.0,0.0,0.0,10,2.811561346054077,0.02528948150575161,1.86626136302948,-0.01809997856616974,-0.9913991093635559,-0.02420373074710369,-0.12733638286590576
1687769785.6885192,0.0,0.0,0.0,0.0,10,2.8116817474365234,0.025206658989191055,1.8663712739944458,-0.019148623570799828,-0.9915635585784912,-0.025687918066978455,-0.12559939920902252
