Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687267341.1966658,"[0, 0]"
1687267341.2973623,"[0, 0]"
1687267341.3978813,"[0, 0]"
1687267341.498383,"[0, 0]"
1687267341.5987275,"[0, 0]"
1687267341.6992953,"[0, 0]"
1687267341.7998157,"[0, 0]"
1687267341.9003475,"[0, 0]"
1687267342.000983,"[0, 0]"
1687267342.1014547,"[0, 0]"
1687267342.201923,"[0, 0]"
1687267342.3024313,"[0, 0]"
1687267342.4030397,"[0, 0]"
1687267342.50358,"[0, 0]"
1687267342.6042151,"[0, 0]"
1687267342.70491,"[0, 0]"
1687267342.8056037,"[0, 0]"
1687267342.9063087,"[0, 0]"
1687267343.0070286,"[0, 0]"
1687267343.1074739,"[0, 0]"
1687267343.2079997,"[0, 0]"
1687267343.30851,"[0, 0]"
1687267343.4092572,"[0, 0]"
