Time,motor.m1,motor.m2,motor.m3,motor.m4,RB ID,Pos x,Pos y,Pos z,Quat w,Quat x,Quat y,Quat z
1688392472.2312715
1688392472.2515905
1688392472.2720106
1688392472.2926128
1688392472.313224
1688392472.3340902
1688392472.3548026
1688392472.3754494
1688392472.3959975
1688392472.4167428
1688392472.437296
1688392472.458246
1688392472.478822
1688392472.5004673
1688392472.5221384
1688392472.548531
1688392472.56897
1688392472.5943296
1688392472.615517
1688392472.6361053
1688392472.657077
1688392472.6775644
1688392472.6983564
1688392472.7196846
1688392472.7404294
1688392472.761282
1688392472.7820067
1688392472.8028626
1688392472.8233237
1688392472.844933
1688392472.8651757
1688392472.8856575
1688392472.9060721
1688392472.9266505
1688392472.9471307
1688392472.9673965
1688392472.9877086
1688392473.0079293
1688392473.0283163
1688392473.048843
1688392473.0690446,0.0,0.0,0.0,0.0
1688392473.089411,0.0,0.0,0.0,0.0
1688392473.1099317,0.0,0.0,0.0,0.0
1688392473.1302464,0.0,0.0,0.0,0.0
1688392473.1504812,0.0,0.0,0.0,0.0
1688392473.171511,0.0,0.0,0.0,0.0
1688392473.1924384,0.0,0.0,0.0,0.0
1688392473.2137897,0.0,0.0,0.0,0.0
1688392473.2342975,0.0,0.0,0.0,0.0
1688392473.2550864,0.0,0.0,0.0,0.0
1688392473.2753372,0.0,0.0,0.0,0.0
1688392473.295608,0.0,0.0,0.0,0.0
1688392473.3159664,0.0,0.0,0.0,0.0
1688392473.3368979,0.0,0.0,0.0,0.0
1688392473.357313,0.0,0.0,0.0,0.0
1688392473.379052,0.0,0.0,0.0,0.0,10,2.4686405658721924,0.023345064371824265,2.2882120609283447,-0.006763517390936613,-0.9601972699165344,-0.03167043998837471,-0.2774391174316406
1688392473.3995955,0.0,0.0,0.0,0.0,10,2.468445301055908,0.023429060354828835,2.288221597671509,-0.010092326439917088,-0.96002197265625,-0.029670145362615585,-0.2781650424003601
1688392473.4207573,0.0,0.0,0.0,0.0,10,2.468357563018799,0.023480627685785294,2.288219690322876,-0.010420304723083973,-0.9598734974861145,-0.028729215264320374,-0.2787635028362274
1688392473.4416244,0.0,0.0,0.0,0.0,10,2.4683218002319336,0.02350444160401821,2.288224220275879,-0.010785410180687904,-0.9597957134246826,-0.02822054922580719,-0.2790690064430237
1688392473.4621918,0.0,0.0,0.0,0.0,10,2.4683151245117188,0.023514527827501297,2.2882285118103027,-0.010716846212744713,-0.9597971439361572,-0.028196217492222786,-0.27906912565231323
1688392473.4831886,0.0,0.0,0.0,0.0,10,2.4683549404144287,0.023477794602513313,2.2882299423217773,-0.01104761566966772,-0.9598866701126099,-0.02859318070113659,-0.27870771288871765
1688392473.5036297,0.0,0.0,0.0,0.0,10,2.4684700965881348,0.02336898073554039,2.2882306575775146,-0.012219966389238834,-0.9601433277130127,-0.029972461983561516,-0.27762800455093384
1688392473.5238981,0.0,0.0,0.0,0.0,10,2.4684982299804688,0.02334185689687729,2.288227081298828,-0.012532634660601616,-0.960175096988678,-0.030153749510645866,-0.27748414874076843
1688392473.5441592,0.0,0.0,0.0,0.0,10,2.4683969020843506,0.02343885228037834,2.2882235050201416,-0.011396070942282677,-0.9599571824073792,-0.02911931462585926,-0.2783963978290558
1688392473.5643938,0.0,0.0,0.0,0.0,10,2.468414068222046,0.023420199751853943,2.2882275581359863,-0.011626535095274448,-0.9599968194961548,-0.02924039214849472,-0.2782374918460846
1688392473.584788,0.0,0.0,0.0,0.0,10,2.468632698059082,0.023351086303591728,2.288221836090088,-0.0066940663382411,-0.9601608514785767,-0.031548649072647095,-0.2775808572769165
1688392473.6058342,0.0,0.0,0.0,0.0,10,2.4684858322143555,0.02339724265038967,2.2882237434387207,-0.010488898493349552,-0.9600673913955688,-0.030051548033952713,-0.27795255184173584
1688392473.6275527,0.0,0.0,0.0,0.0,10,2.4685187339782715,0.02333994023501873,2.28822660446167,-0.011899689212441444,-0.9602006673812866,-0.030447546392679214,-0.27739137411117554
1688392473.649509,0.0,0.0,0.0,0.0,10,2.4684600830078125,0.02347945049405098,2.288217306137085,-0.007552173919975758,-0.9598947167396545,-0.029580093920230865,-0.2786935567855835
1688392473.670251,0.0,0.0,0.0,0.0,10,2.4684553146362305,0.023427756503224373,2.2882280349731445,-0.010228581726551056,-0.9600152969360352,-0.02966105006635189,-0.27818387746810913
1688392473.6907563,0.0,0.0,0.0,0.0,10,2.4684064388275146,0.023444512858986855,2.2882251739501953,-0.011117139831185341,-0.9599620699882507,-0.029270147904753685,-0.2783750593662262
1688392473.711385,0.0,0.0,0.0,0.0,10,2.468428134918213,0.023405637592077255,2.2882304191589355,-0.011992041021585464,-0.9600294232368469,-0.02932431548833847,-0.27810049057006836
1688392473.7319233,0.0,0.0,0.0,0.0,10,2.468423843383789,0.023411860689520836,2.288226842880249,-0.011916955932974815,-0.9600316286087036,-0.02923435904085636,-0.2781057059764862
1688392473.75225,0.0,0.0,0.0,0.0,10,2.468416452407837,0.023417681455612183,2.2882277965545654,-0.01173830684274435,-0.9600096344947815,-0.029189055785536766,-0.2781935930252075
1688392473.7728386,0.0,0.0,0.0,0.0,10,2.4683947563171387,0.023434331640601158,2.2882256507873535,-0.011674128472805023,-0.9599750638008118,-0.028970494866371155,-0.2783384919166565
1688392473.7931893,0.0,0.0,0.0,0.0,10,2.4683492183685303,0.023480653762817383,2.2882275581359863,-0.010822808369994164,-0.9598672389984131,-0.028615625575184822,-0.27878111600875854
