Time,motor.m1,motor.m2,motor.m3,motor.m4,RB ID,Pos x,Pos y,Pos z,Quat 1,Quat 2,Quat 3,Quat 4
1687780724.1961002
1687780724.21649
1687780724.2369044
1687780724.2574627
1687780724.2780025
1687780724.2985501
1687780724.3190422
1687780724.3395643
1687780724.3601327
1687780724.3807065
1687780724.4012935
1687780724.421847
1687780724.442517
1687780724.4630625
1687780724.4849017
1687780724.5156615
1687780724.5369334
1687780724.5609887
1687780724.5816941
1687780724.6022506
1687780724.6227117
1687780724.6431737
1687780724.6650007
1687780724.6864767
1687780724.7072766
1687780724.7280467
1687780724.7489784
1687780724.7696426
1687780724.7900343
1687780724.8107257
1687780724.8310933
1687780724.8514233
1687780724.8728483
1687780724.893359
1687780724.9143052
1687780724.9348488
1687780724.9553597
1687780724.9766128
1687780724.997118
1687780725.017953
1687780725.0386364
1687780725.0649476
1687780725.0862777
1687780725.107937,0.0,0.0,0.0,0.0
1687780725.1286178,0.0,0.0,0.0,0.0
1687780725.149117,0.0,0.0,0.0,0.0
1687780725.1696396,0.0,0.0,0.0,0.0
1687780725.1916723,0.0,0.0,0.0,0.0
1687780725.212212,0.0,0.0,0.0,0.0
1687780725.2342103,0.0,0.0,0.0,0.0
1687780725.2550004,0.0,0.0,0.0,0.0
1687780725.275548,0.0,0.0,0.0,0.0
1687780725.2957926,0.0,0.0,0.0,0.0,10,2.509326219558716,0.024575483053922653,1.902295470237732,-0.01659192144870758,0.9961684346199036,0.029302287846803665,0.08071349561214447
1687780725.316351,0.0,0.0,0.0,0.0,10,2.509366273880005,0.02450200729072094,1.902271032333374,-0.017055798321962357,0.996130645275116,0.030373094603419304,0.08068695664405823
1687780725.33716,0.0,0.0,0.0,0.0,10,2.50933575630188,0.024559330195188522,1.9022842645645142,-0.016597770154476166,0.9961666464805603,0.02919072099030018,0.08077364414930344
1687780725.3597302,0.0,0.0,0.0,0.0,10,2.509331226348877,0.0245765782892704,1.9022889137268066,-0.016568537801504135,0.9961723685264587,0.029061399400234222,0.08075715601444244
1687780725.3812952,0.0,0.0,0.0,0.0,10,2.509328842163086,0.02458265796303749,1.902297854423523,-0.016423627734184265,0.9961744546890259,0.029077647253870964,0.0807541012763977
1687780725.402245,0.0,0.0,0.0,0.0,10,2.509331226348877,0.02458447404205799,1.9022936820983887,-0.016515789553523064,0.996172308921814,0.029077008366584778,0.08076219260692596
1687780725.4236667,0.0,0.0,0.0,0.0,10,2.5093276500701904,0.024574153125286102,1.9022973775863647,-0.01643747091293335,0.9961739778518677,0.02912255749106407,0.08074048906564713
1687780725.4454749,0.0,0.0,0.0,0.0,10,2.509326696395874,0.02457309328019619,1.9022897481918335,-0.01652052067220211,0.9961641430854797,0.029209079220891,0.0808149054646492
1687780725.4683943,0.0,0.0,0.0,0.0,10,2.509329080581665,0.024577416479587555,1.9022921323776245,-0.016454560682177544,0.996169924736023,0.029242463409900665,0.08074426651000977
1687780725.4896317,0.0,0.0,0.0,0.0,10,2.5093283653259277,0.024579085409641266,1.9023009538650513,-0.01650560460984707,0.9961758852005005,0.02900473028421402,0.08074715733528137
1687780725.5109122,0.0,0.0,0.0,0.0,10,2.5093579292297363,0.024537470191717148,1.9022815227508545,-0.016857700422406197,0.9961504936218262,0.029736196622252464,0.08072150498628616
1687780725.5318863,0.0,0.0,0.0,0.0,10,2.5093343257904053,0.024570990353822708,1.902289867401123,-0.016538867726922035,0.9961659908294678,0.029311973601579666,0.08075118809938431
1687780725.5543272,0.0,0.0,0.0,0.0,10,2.509370803833008,0.024577347561717033,1.9023213386535645,-0.016053298488259315,0.9962018132209778,0.029475774616003036,0.08034665882587433
1687780725.5753253,0.0,0.0,0.0,0.0,10,2.5093495845794678,0.024578191339969635,1.9023100137710571,-0.016288498416543007,0.9961859583854675,0.0292417760938406,0.0805807113647461
1687780725.5961385,21814.0,20702.0,19700.0,20880.0,10,2.5093371868133545,0.02458334155380726,1.9022963047027588,-0.016409488394856453,0.9961830973625183,0.029048549011349678,0.08066163212060928
1687780725.617885,21382.0,20520.0,20160.0,21034.0,10,2.5093271732330322,0.024418607354164124,1.9025628566741943,-0.0164954736828804,0.9963729977607727,0.028692936524748802,0.07839447259902954
1687780725.639541,20966.0,20786.0,20964.0,20380.0,10,2.5093283653259277,0.024676678702235222,1.902592658996582,-0.014194666408002377,0.9964169263839722,0.028072651475667953,0.0785093754529953
1687780725.6612618,21841.0,21225.0,19429.0,20601.0,10,2.5092804431915283,0.0243960153311491,1.9026906490325928,-0.015696393325924873,0.9964529871940613,0.027351954951882362,0.07802019268274307
1687780725.682715,20525.0,20379.0,21277.0,20915.0,10,2.5093371868133545,0.024439001455903053,1.902585744857788,-0.014439353719353676,0.9963806867599487,0.026709480211138725,0.07939565926790237
1687780725.7033,22110.0,21506.0,20712.0,21452.0,10,2.5092573165893555,0.024747328832745552,1.9023329019546509,-0.009812269359827042,0.996303915977478,0.028479386121034622,0.08044390380382538
1687780725.724723,22733.0,20965.0,19969.0,22113.0,10,2.509272336959839,0.024579640477895737,1.9025371074676514,-0.01299135573208332,0.9963639378547668,0.029398789629340172,0.07890396565198898
1687780725.7465818,21676.0,21652.0,20274.0,22178.0,10,2.509258508682251,0.02431769110262394,1.9026415348052979,-0.017016848549246788,0.9963563680648804,0.029993312433362007,0.07800605893135071
1687780725.7680647,22200.0,21908.0,19810.0,21862.0,10,2.509219169616699,0.02437007427215576,1.9027314186096191,-0.016156252473592758,0.9964193105697632,0.029323266819119453,0.0776381641626358
