Time,motor.m1,motor.m2,motor.m3,motor.m4,RB ID,Pos x,Pos y,Pos z,Quat 1,Quat 2,Quat 3,Quat 4
1687780617.617166
1687780617.6374512
1687780617.6578414
1687780617.6782963
1687780617.698662
1687780617.7191453
1687780617.7395978
1687780617.760011
1687780617.7803237
1687780617.8007634
1687780617.821276
1687780617.841821
1687780617.8623242
1687780617.883186
1687780617.9044104
1687780617.9321177
1687780617.9532094
1687780617.9752462
1687780617.9957483
1687780618.0170736
1687780618.0382504
1687780618.059333
1687780618.0801296
1687780618.1009102
1687780618.1219764
1687780618.1423378
1687780618.1629822
1687780618.1835418
1687780618.2038777
1687780618.2250392
1687780618.2468684
1687780618.2676692
1687780618.2886682
1687780618.3100052
1687780618.330512
1687780618.3516827
1687780618.3726912
1687780618.394036
1687780618.4147274
1687780618.4361827
1687780618.4654126
1687780618.4868155
1687780618.5079365
1687780618.528599,0.0,0.0,0.0,0.0
1687780618.548879,0.0,0.0,0.0,0.0
1687780618.569493,0.0,0.0,0.0,0.0
1687780618.5900927,0.0,0.0,0.0,0.0
1687780618.610867,0.0,0.0,0.0,0.0
1687780618.6313589,0.0,0.0,0.0,0.0
1687780618.6519845,0.0,0.0,0.0,0.0
1687780618.6732202,0.0,0.0,0.0,0.0
1687780618.6938837,0.0,0.0,0.0,0.0
1687780618.7145433,0.0,0.0,0.0,0.0,10,2.614590883255005,0.025645559653639793,1.9462510347366333,-0.012609326280653477,0.9824476838111877,0.016931993886828423,0.1853400021791458
1687780618.7351072,0.0,0.0,0.0,0.0,10,2.6145951747894287,0.02564692497253418,1.9462460279464722,-0.012760685756802559,0.9824623465538025,0.016576742753386497,0.18528378009796143
1687780618.7561255,0.0,0.0,0.0,0.0,10,2.6145753860473633,0.025618281215429306,1.9462629556655884,-0.012948752380907536,0.9824575185775757,0.01721612550318241,0.18523788452148438
1687780618.7768536,0.0,0.0,0.0,0.0,10,2.6144986152648926,0.025396373122930527,1.9461239576339722,-0.014741395600140095,0.982157289981842,0.019036920741200447,0.18651379644870758
1687780618.797677,0.0,0.0,0.0,0.0,10,2.6143898963928223,0.02504291944205761,1.9459115266799927,-0.017633575946092606,0.9816853404045105,0.02138606831431389,0.18848255276679993
1687780618.818294,0.0,0.0,0.0,0.0,10,2.6145315170288086,0.02550150826573372,1.9461655616760254,-0.01403605006635189,0.9822613596916199,0.017962301149964333,0.18612642586231232
1687780618.8387084,0.0,0.0,0.0,0.0,10,2.614551067352295,0.025578076019883156,1.9462369680404663,-0.013290122151374817,0.9823905229568481,0.01764724589884281,0.1855289191007614
1687780618.860074,0.0,0.0,0.0,0.0,10,2.614499092102051,0.025411412119865417,1.9461421966552734,-0.014675506390631199,0.9821943044662476,0.018910421058535576,0.1863372027873993
1687780618.8829927,0.0,0.0,0.0,0.0,10,2.614412546157837,0.02510077692568302,1.9459099769592285,-0.017151638865470886,0.9817251563072205,0.02097056433558464,0.18836623430252075
1687780618.9038155,0.0,0.0,0.0,0.0,10,2.6145665645599365,0.025546902790665627,1.9461517333984375,-0.013447325676679611,0.98227858543396,0.017457367852330208,0.18612739443778992
1687780618.924837,0.0,0.0,0.0,0.0,10,2.6145870685577393,0.025629790499806404,1.9462110996246338,-0.012802119366824627,0.9824037551879883,0.016844460740685463,0.18556739389896393
1687780618.9463387,0.0,0.0,0.0,0.0,10,2.6145739555358887,0.02562807686626911,1.9462648630142212,-0.012874242849647999,0.9824608564376831,0.017305126413702965,0.18521760404109955
1687780618.967401,0.0,0.0,0.0,0.0,10,2.6145644187927246,0.02561471424996853,1.9462722539901733,-0.012942199595272541,0.9824522733688354,0.01765548624098301,0.18522539734840393
1687780618.988746,0.0,0.0,0.0,0.0,10,2.6145589351654053,0.025599505752325058,1.9462734460830688,-0.012937434017658234,0.9824403524398804,0.017875315621495247,0.18526723980903625
1687780619.0104246,21244.0,20824.0,20310.0,20718.0,10,2.614474296569824,0.0253919530659914,1.9460983276367188,-0.01408736314624548,0.9821472764015198,0.019326068460941315,0.18658728897571564
1687780619.0331352,21651.0,20637.0,19883.0,20925.0,10,2.6143319606781006,0.02496972121298313,1.9458997249603271,-0.01804020255804062,0.9817062616348267,0.021648768335580826,0.1883053183555603
1687780619.0541904,21976.0,20528.0,20498.0,20094.0,10,2.6143569946289062,0.025372887030243874,1.9457333087921143,-0.010528277605772018,0.9806476831436157,0.04436798021197319,0.1903962939977646
1687780619.0751333,20944.0,20918.0,19908.0,21326.0,10,2.614492893218994,0.025000013411045074,1.9458448886871338,-0.007265735883265734,0.9807818531990051,0.024660373106598854,0.19340619444847107
1687780619.0956917,22437.0,22499.0,20571.0,20273.0,10,2.614473581314087,0.025346923619508743,1.9460655450820923,-0.008903932757675648,0.9814965128898621,0.016916008666157722,0.1905234158039093
1687780619.1167881,21803.0,21897.0,20749.0,21331.0,10,2.614320755004883,0.024545814841985703,1.945878267288208,0.0072480556555092335,0.9821544885635376,0.018417002633213997,0.1870318204164505
1687780619.137582,22216.0,21210.0,20520.0,21834.0,10,2.6147518157958984,0.024919716641306877,1.945853590965271,-0.005586286075413227,0.9811937808990479,0.03583504259586334,0.1895877718925476
1687780619.159346,21783.0,21769.0,20553.0,21675.0,10,2.614624261856079,0.024928998202085495,1.9456160068511963,0.01292890403419733,0.9813681244850159,0.03518235683441162,0.18844538927078247
1687780619.179766,21874.0,21666.0,20480.0,21760.0,10,2.6146557331085205,0.02473624423146248,1.945756196975708,0.00018344011914450675,0.9816622138023376,0.027980919927358627,0.18856382369995117
