Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
19,8.799858e-06,8.772979e-06,-5.0650387,2.3465288,0.0,2.3465288,2.346538,2.3479788,0.0025879156,2.354968,2.343025,-2.7185097,0.20474009,-2.2127542,-3.361169,-0.006730427,0.0021475938,-0.0035755618,-0.009350335,-0.13060942,0.0067190956,-0.12277249,-0.14127253
20,6.3324205e-06,5.9932495e-06,-5.137433,2.3833456,0.0,2.3833456,2.3832197,2.3819356,0.0020842429,2.387146,2.377069,-2.754213,0.2494329,-2.306284,-3.6894698,-0.0041541234,0.0038284103,0.0006533225,-0.009244579,-0.13172606,0.0077939997,-0.120280996,-0.13937907
21,3.9977444e-06,3.997604e-06,-5.1151867,2.4134169,0.0,2.4134169,2.413542,2.41348,0.0019984385,2.420678,2.4099553,-2.7017696,0.20343293,-2.3140895,-3.3021398,-0.006990672,0.005031121,-0.0009919967,-0.012782307,-0.12854879,0.0037205755,-0.12293119,-0.13336153
22,2.4727622e-06,2.4488575e-06,-5.1814747,2.440855,0.0,2.440855,2.440899,2.4411492,0.0015446993,2.4451697,2.437141,-2.74062,0.28133678,-2.1909437,-4.2914715,0.0017395837,0.0040264353,0.00589327,-0.0048778313,-0.13731594,0.0041206637,-0.13145249,-0.14310692
23,9.022644e-06,8.432293e-06,-5.184166,2.4688003,0.0,2.4688003,2.4686577,2.4666586,0.0021062098,2.4756138,2.4623554,-2.715508,0.22519948,-2.319088,-3.7832034,-0.0008522871,0.0026085635,0.0027036518,-0.004608407,-0.13508007,0.009721532,-0.12774932,-0.15178704
24,3.9234064e-06,4.0631303e-06,-5.2027044,2.4913313,0.0,2.4913313,2.4913855,2.4900675,0.0015252052,2.492957,2.4862282,-2.7113733,0.18664175,-2.2418647,-3.071467,-0.0030493527,0.0031309694,0.00033145852,-0.006294113,-0.13322961,0.0024097892,-0.13096172,-0.13728757
25,1.7297618e-05,1.650357e-05,-5.2189894,2.509033,0.0,2.509033,2.5092065,2.5114074,0.003414789,2.5302796,2.506825,-2.709957,0.21216404,-2.2902355,-3.131688,-0.0007348927,0.010630846,0.009238461,-0.01838407,-0.13040023,0.007436964,-0.12167301,-0.14019735
26,8.781946e-06,1.0422784e-05,-5.2438984,2.5320723,0.0,2.5320723,2.5324059,2.5297794,0.0018773784,2.5334523,2.524945,-2.7118254,0.28019962,-2.2995749,-4.33381,0.00084297976,0.004347675,0.005593861,-0.006147071,-0.13211897,0.00097104494,-0.1311643,-0.1336659
27,3.7246828e-06,3.7631487e-06,-5.3067765,2.5469291,0.0,2.5469291,2.5471895,2.5469854,0.0019291223,2.5531054,2.5425103,-2.7598476,0.21630727,-2.4122038,-3.9758427,0.0043935506,0.0066682505,0.012029767,-0.0027410104,-0.12780757,0.0064231902,-0.11689322,-0.13273963
28,6.977893e-06,6.909303e-06,-5.3574963,2.562947,0.0,2.562947,2.5628502,2.5625443,0.0026106955,2.5782611,2.5582414,-2.7946458,0.23583944,-2.408402,-3.8939812,-0.0034662723,0.0061741183,0.0034359898,-0.010814878,-0.13212731,0.009850786,-0.1227124,-0.14776559
29,5.8868027e-06,5.5465603e-06,-5.2965555,2.576844,0.0,2.576844,2.5765853,2.576057,0.002295095,2.5814748,2.571306,-2.7199707,0.30729368,-2.2598827,-4.436587,0.008608438,0.004882089,0.016369633,0.0038856755,-0.13211538,0.008792337,-0.12303774,-0.14621143
30,5.9547438e-06,4.749533e-06,-5.3252907,2.590429,0.0,2.590429,2.5898411,2.5891104,0.0020530983,2.5994372,2.5849836,-2.7354496,0.23666084,-2.139851,-3.7057302,-0.0019306222,0.004284264,0.0028895123,-0.008584349,-0.12978214,0.004297596,-0.12364893,-0.13549645
31,2.1760123e-05,2.3089395e-05,-5.3178816,2.5978553,0.0,2.5978553,2.5976405,2.600842,0.003583356,2.6186166,2.5964322,-2.720241,0.20000373,-2.327261,-3.381999,-0.005888435,0.0034440455,-0.0013988875,-0.011087259,-0.12519476,0.009558653,-0.11474896,-0.14049861
32,4.4244166e-06,4.420845e-06,-5.3432283,2.6109972,0.0,2.6109972,2.6110873,2.611062,0.002102429,2.6166158,2.6064463,-2.7322314,0.22367404,-2.2457423,-3.33078,0.002249857,0.007604799,0.015298555,-0.0037853087,-0.12797935,0.0053986167,-0.11942019,-0.13427314
33,6.5660424e-06,6.4992278e-06,-5.366249,2.6181905,0.0,2.6181905,2.6182082,2.6200929,0.0017167107,2.6252978,2.6157722,-2.7480588,0.21349263,-2.1344352,-3.3331466,0.002277217,0.0055777524,0.009779808,-0.0039791996,-0.13064161,0.006983604,-0.11951331,-0.13798866
34,1.6232638e-05,9.959521e-06,-5.341922,2.631962,2.3841858e-07,2.6319623,2.6307683,2.6287384,0.00241638,2.6377876,2.6239266,-2.7111533,0.23836213,-2.202826,-3.5231023,0.00046093971,0.0048645623,0.005752793,-0.006708625,-0.13902311,0.0046492484,-0.13427442,-0.14656825
35,1.3331657e-05,1.5628419e-05,-5.381586,2.6392944,0.0,2.6392944,2.6396701,2.636426,0.0022592149,2.64546,2.6320894,-2.7422917,0.29518783,-2.3127747,-4.473632,-0.0027118647,0.0074552437,0.006933847,-0.012381587,-0.13239875,0.0052579963,-0.124271326,-0.13716891
36,1.5749407e-05,1.5720425e-05,-5.474947,2.6424606,0.0,2.6424606,2.6424785,2.64328,0.0038830515,2.664627,2.6393478,-2.8324862,0.5743741,-2.258718,-7.139122,-0.0005141103,0.007530673,0.008231345,-0.010895053,-0.13717857,0.00736772,-0.1253489,-0.1451965
37,5.481167e-06,3.793241e-06,-5.374219,2.6475809,0.0,2.6475809,2.6483269,2.6490853,0.0017939429,2.6548347,2.6450586,-2.7266378,0.2107052,-2.3005767,-3.654177,0.0024392488,0.0018321718,0.00487437,0.00017711234,-0.13941608,0.009799155,-0.12984437,-0.15577988
38,3.7544276e-06,3.8408716e-06,-5.3683558,2.6550055,0.0,2.6550055,2.6545913,2.6549027,0.001934911,2.6603305,2.6504078,-2.7137644,0.21304318,-2.2375321,-3.5898933,0.00044726953,0.008405758,0.007360551,-0.013794685,-0.12927675,0.009600086,-0.11911288,-0.13974401
39,1.2564811e-05,1.7400494e-05,-5.395116,2.661069,0.0,2.661069,2.662521,2.6601298,0.00341799,2.6812854,2.6545093,-2.734047,0.18642029,-2.2774816,-3.4883797,-0.00039299973,0.004574933,0.005847607,-0.0056542032,-0.13501197,0.00391966,-0.12920135,-0.13972016
40,2.1604563e-05,1.3127266e-05,-5.3937426,2.6597826,2.3841858e-07,2.659783,2.6609187,2.6640825,0.0017655699,2.6683486,2.6603932,-2.7339597,0.27140212,-2.2246184,-4.213373,-0.0033879871,0.006420217,0.0035948427,-0.013124694,-0.13450062,0.005824891,-0.12779722,-0.14384036
41,3.986218e-06,3.9834404e-06,-5.3416653,2.66798,0.0,2.66798,2.6679902,2.6681204,0.0019915954,2.6719232,2.6628118,-2.6736856,0.2086356,-2.216975,-3.224372,-0.0051223235,0.0033505652,-0.0011361138,-0.01039744,-0.12855773,0.003427244,-0.1235341,-0.13285677
42,6.7149185e-06,4.6622e-06,-5.4472327,2.6703146,2.3841858e-07,2.6703143,2.6709952,2.672162,0.0018167767,2.6783578,2.6684692,-2.7769184,0.2370868,-2.3488693,-3.591897,-0.0044212975,0.0049520344,0.0008397162,-0.011049661,-0.1385904,0.0031478794,-0.1357908,-0.14390944
43,2.0780753e-05,1.4174195e-05,-5.365923,2.6710832,2.3841858e-07,2.671083,2.6719549,2.6753075,0.0017128445,2.6805277,2.6725874,-2.6948402,0.20371038,-2.1906939,-3.2150028,-0.0035109818,0.00589319,0.0035928227,-0.011232724,-0.13906637,0.0024177476,-0.1365542,-0.14165244
44,5.1434185e-06,4.889638e-06,-5.386256,2.6790895,0.0,2.6790895,2.67875,2.6785462,0.002201823,2.688988,2.6748977,-2.707506,0.21375974,-2.2313771,-3.233853,0.0035629026,0.006981741,0.014445383,-0.0037017856,-0.13732365,0.0065684556,-0.12611306,-0.14227957
45,1.7273329e-05,2.0223215e-05,-5.390051,2.6834414,2.3841858e-07,2.6834416,2.684052,2.6813302,0.0035798657,2.6958723,2.6762786,-2.7066092,0.20295902,-2.2969677,-3.4138253,0.0023628068,0.0040307725,0.009117293,-0.001393517,-0.131264,0.0018632688,-0.12870592,-0.1332834
46,4.0402892e-06,6.649796e-06,-5.393423,2.6843548,0.0,2.6843548,2.685406,2.683639,0.0018783426,2.6914566,2.6790605,-2.7090683,0.18026508,-2.339454,-3.35707,-0.0021386333,0.0020901333,0.00078301854,-0.0051080575,-0.13848455,0.0028122736,-0.13520868,-0.14215942
47,4.125145e-06,4.4594863e-06,-5.412897,2.6869588,2.3841858e-07,2.686959,2.6871204,2.6860042,0.0017925234,2.6909447,2.682607,-2.7259376,0.23353699,-2.2971265,-3.5616589,0.0025683497,0.0058138673,0.01109455,-0.0035859717,-0.13748813,0.0042006667,-0.13084927,-0.14156026
48,9.540853e-06,1.0279473e-05,-5.425598,2.687744,0.0,2.687744,2.6873841,2.6885905,0.0029705365,2.7034461,2.6841009,-2.738214,0.26798406,-2.33297,-4.020853,0.009881847,0.0076368153,0.017459504,-0.002301596,-0.13674085,0.008259367,-0.12527148,-0.14807682
49,6.1328255e-06,4.440631e-06,-5.43925,2.6918144,0.0,2.6918144,2.6911507,2.6902077,0.0018845961,2.6985755,2.6863496,-2.7480996,0.15489754,-2.2972314,-3.0215058,-0.0017214611,0.0034176449,0.00390366,-0.004880274,-0.13532817,0.007299445,-0.1274912,-0.14587817
50,1.1628578e-05,1.7408438e-05,-5.4697785,2.6926553,0.0,2.6926553,2.6943367,2.6917772,0.0032950551,2.7123518,2.6874614,-2.777123,0.31996313,-2.14039,-4.58714,0.0007012773,0.004496405,0.008309504,-0.0031086307,-0.13197997,0.0021879477,-0.12940507,-0.13542235
51,5.378657e-06,6.5813233e-06,-5.4745207,2.6916242,2.3841858e-07,2.6916244,2.6911936,2.6928048,0.0019963428,2.7006989,2.688443,-2.7833269,0.2985719,-2.3884187,-4.251828,0.0015753132,0.0059197033,0.0075202165,-0.007911068,-0.1381532,0.009189228,-0.13058576,-0.15321617
52,7.690338e-06,8.804269e-06,-5.4038534,2.6952765,2.3841858e-07,2.6952767,2.695831,2.6945493,0.002675991,2.7102659,2.6902676,-2.7085772,0.18088156,-2.3492744,-3.1390924,-0.0018266871,0.003979684,0.0023385896,-0.008116995,-0.13000189,0.0024216694,-0.12718973,-0.13352212
53,8.049083e-06,6.243764e-06,-5.406641,2.694479,0.0,2.694479,2.6951323,2.6961875,0.0022650533,2.7028158,2.6902158,-2.7121618,0.2428377,-2.257644,-3.554671,0.003660495,0.0071673086,0.011878445,-0.007740101,-0.13239357,0.005086965,-0.12730503,-0.13984849
54,2.5678619e-05,2.5664756e-05,-5.4145966,2.6930315,2.3841858e-07,2.6930318,2.6930335,2.6971865,0.0029015408,2.713284,2.6936471,-2.7215643,0.15174413,-2.2605171,-3.0257874,-0.0065505016,0.008950291,0.0034504246,-0.01866918,-0.13849044,0.004126621,-0.13426471,-0.14298296
55,4.074247e-06,3.3642211e-06,-5.4704695,2.6974432,2.3841858e-07,2.6974435,2.6983829,2.698291,0.0018318847,2.7043214,2.6941142,-2.7730265,0.3152526,-2.2436929,-4.3498597,0.003377003,0.009107773,0.012896028,-0.010085234,-0.1339742,0.003796069,-0.12884364,-0.13894185
56,2.5287038e-05,2.1760863e-05,-5.4658747,2.6960871,2.3841858e-07,2.6960874,2.6967025,2.6992612,0.0039005093,2.7211947,2.6939955,-2.7697873,0.20363925,-2.2805655,-3.3137982,-0.0030364767,0.0010058957,-0.0019203745,-0.004644278,-0.13278976,0.0106525775,-0.11473659,-0.14156073
57,4.371028e-06,3.9746024e-06,-5.4274015,2.700703,2.3841858e-07,2.7007031,2.7003322,2.6999834,0.0019628897,2.7055087,2.6950798,-2.7270694,0.17376335,-2.2598116,-3.058497,0.0031821677,0.0038772991,0.009684581,-0.00046518852,-0.13544858,0.010692152,-0.120770805,-0.15098524
58,1.2203704e-05,1.510232e-05,-5.4246826,2.6974523,0.0,2.6974523,2.696982,2.700298,0.0020260932,2.7093194,2.6961906,-2.7277012,0.21167386,-2.3556309,-3.6858397,0.0035903668,0.00830101,0.015470287,-0.0064125066,-0.13704258,0.002883985,-0.13324727,-0.14088677
59,7.429266e-06,5.9458544e-06,-5.439712,2.700138,0.0,2.700138,2.700746,2.701662,0.0022598254,2.7116578,2.696949,-2.739574,0.25238144,-2.4050627,-4.1527576,0.0027440824,0.0052438146,0.0115910955,-0.0018561295,-0.13903472,0.0028319445,-0.13610733,-0.1428403
60,1.0200864e-05,1.38849555e-05,-5.392894,2.6993234,2.3841858e-07,2.6993232,2.69869,2.7019155,0.0018656983,2.7066836,2.6970236,-2.6942036,0.16105126,-2.3477793,-3.0428374,-0.0038456907,0.0041391114,0.0015476948,-0.0086692665,-0.13270329,0.006093163,-0.12256896,-0.1388583
61,5.2813157e-06,4.5233364e-06,-5.36363,2.7012177,0.0,2.7012177,2.701838,2.702139,0.0021054447,2.710392,2.6991365,-2.6624122,0.1908599,-2.23575,-3.207935,0.0012617513,0.0049408204,0.009002048,-0.004368963,-0.13153698,0.0032446657,-0.12617216,-0.13487467
62,9.748313e-06,4.2798397e-06,-5.497402,2.701052,2.3841858e-07,2.7010522,2.7026134,2.7035842,0.0018268381,2.708599,2.7001166,-2.79635,0.4373641,-2.1988878,-5.6429405,-0.002047522,0.010360655,0.007701871,-0.017414989,-0.12926605,0.0031476691,-0.12479947,-0.13299565
63,1.4285717e-05,1.23121445e-05,-5.417557,2.7009947,0.0,2.7009947,2.701351,2.7039433,0.0023648336,2.7154512,2.7000124,-2.7165618,0.19349512,-2.250042,-3.5192845,-0.00592869,0.0057491018,0.0038441615,-0.010329851,-0.12862542,0.0072313575,-0.11914428,-0.13941422
64,6.5497798e-06,4.0461396e-06,-5.43869,2.7055216,0.0,2.7055216,2.7041957,2.7039146,0.0019917432,2.7091124,2.6991255,-2.7344947,0.17564517,-2.2377603,-3.1915064,0.0018707826,0.002363002,0.0043086708,-0.0014067182,-0.1317804,0.0069173556,-0.120224506,-0.13857813
65,4.9727323e-06,4.805295e-06,-5.4304857,2.704088,2.3841858e-07,2.7040877,2.7042499,2.7046852,0.0021484387,2.7141013,2.701042,-2.726398,0.1999516,-2.2142553,-3.1815104,0.002796849,0.006476632,0.009216555,-0.0053733597,-0.12809151,0.005775927,-0.12050317,-0.13497159
66,2.0540603e-05,1.2852257e-05,-5.4669952,2.7092383,0.0,2.7092383,2.7080948,2.7053046,0.0022510532,2.7153037,2.700533,-2.758901,0.35597715,-2.1308684,-4.3430085,0.0009303766,0.005620244,0.0064292853,-0.0075061033,-0.12822114,0.009287377,-0.1188675,-0.14364266
67,7.870325e-06,7.2794614e-06,-5.411833,2.7031004,0.0,2.7031004,2.7032483,2.7051728,0.001890775,2.7130005,2.701654,-2.7087321,0.18103887,-2.2547183,-3.0968688,-0.007682657,0.0056758304,0.0019118725,-0.0128881,-0.13042147,0.008314526,-0.12248768,-0.14414771
68,1.0664368e-05,8.020429e-06,-5.4612174,2.7081442,0.0,2.7081442,2.7075322,2.7056782,0.0021408217,2.7136166,2.7007442,-2.7536852,0.18481474,-2.3250978,-3.1231914,0.0008900971,0.007893584,0.014083507,-0.0063722497,-0.13386837,0.010125278,-0.1213652,-0.14765768
