State means,State stds
-0.17219213575754228,0.27307497248810325
0.23360100824135688,0.21082229395028154
-0.14733002701144005,0.4237137816058687
1.959388020553432e-05,0.18272825998145467
-0.0031364465853146494,0.2589645792502651
-0.009752327198902006,0.023862025583996964
0.8744036307362132,0.0510097069484573
0.018348488898689848,0.034320840116380744
0.4736760705661636,0.07917224344739576
0.0007649188255786149,0.27648118191661036
0.00023414171984924065,0.3614641809095497
-0.00035672862082040214,0.43547899772012194
-1.2648686765448614e-05,0.7648888876975789
31803.60918556743,6311.455147439577
32054.15829394701,5779.024270640129
31455.0015827511,6199.712632722143
32933.72369377436,5939.685958920791
3.4037441489527263,0.1630165335432791
