Time,Roll,Pitch,Yawrate,Thrust
1690876431.7805064,[-3.5067253e+00 -2.3226240e+00 -2.0595016e+00  2.8130463e+04]
1690876431.802987,[-2.9783762e+00 -6.2477505e-01 -1.5223712e-01  3.1855287e+04]
1690876431.8258762,[-7.2842818e-01 -4.9147692e+00 -2.8868859e+00  2.8216912e+04]
1690876431.8497198,[-1.7349148e-01 -8.3056962e-01  1.4713018e+00  2.9438971e+04]
1690876431.8722854,[-3.6594286e+00 -2.5837157e+00  1.5155882e+00  2.8319082e+04]
1690876431.8977354,[-6.0333031e-01 -1.6402550e+00  2.0405722e-01  3.4395391e+04]
1690876431.922424,[-2.5779024e-01  4.0608349e-01 -4.0549226e+00  3.3000512e+04]
1690876431.9465177,[-9.8360038e-01 -6.9135106e-01  2.0806243e+00  3.4386270e+04]
1690876431.9693038,[ 4.1722757e-01 -3.3835599e+00  4.2851038e+00  2.8850422e+04]
1690876431.992959,[-3.7290671e+00  5.3453618e-01 -2.7316849e+00  3.5017098e+04]
1690876432.015114,[-4.1768229e-01 -1.7117926e-01  3.0417736e+00  3.5974059e+04]
1690876432.0376155,[-2.5159711e-02 -7.7372015e-01 -1.4448565e+00  2.9179922e+04]
1690876432.0610294,[-2.7851231e+00 -1.1300304e+00  2.3694832e+00  2.8575703e+04]
1690876432.0843449,[ 1.2517728e-01 -2.1832933e+00  3.8724847e+00  3.2591873e+04]
1690876432.1072655,[ 2.7506751e-01 -9.7589016e-01  4.3403897e+00  2.7578156e+04]
1690876432.1306589,[-2.7305212e+00 -2.6981668e+00 -9.4673532e-01  3.6101816e+04]
1690876432.153543,[-2.3833768e+00 -4.3474016e+00  3.5847205e-01  3.1678916e+04]
1690876432.1760426,[-4.3817911e-01 -2.6294916e+00  6.2382907e-01  3.3673480e+04]
1690876432.1991427,[-2.4392319e+00 -1.8219489e+00 -2.1197014e+00  2.9220318e+04]
1690876432.2216563,[-3.1932702e+00 -1.3133525e+00  1.5342257e+00  3.1433439e+04]
1690876432.2442122,[-2.9817061e+00 -3.2160351e+00 -1.5549649e+00  3.3963027e+04]
1690876432.2673044,[ 1.4157298e-01 -4.2445598e+00  4.1916170e+00  3.5148301e+04]
1690876432.2902691,[ 5.3989762e-01 -2.5509570e+00 -4.1542811e+00  3.3577387e+04]
1690876432.3143344,[-2.4359094e-01  6.1781460e-01 -3.7171254e+00  3.3724215e+04]
1690876432.3376985,[-3.0392983e+00 -1.3782128e+00  4.0617366e+00  2.9832605e+04]
1690876432.3602574,[ 4.9874437e-01 -4.7214923e+00  4.0138278e+00  3.2664344e+04]
1690876432.3827875,[6.5244466e-01 3.6435643e-01 3.5359173e+00 3.5579270e+04]
1690876432.4053743,[-2.0415010e+00 -1.6129146e+00 -2.8339055e+00  2.8085119e+04]
1690876432.4296281,[-3.0613596e+00  3.2831353e-01  3.1442840e+00  2.9846852e+04]
1690876432.4521434,[-2.8080568e+00 -2.0825729e+00 -4.7972938e-01  3.5458082e+04]
1690876432.4746587,[-3.3560607e+00 -3.9729624e+00  1.1148366e+00  3.5603668e+04]
1690876432.4982123,[-2.9380603e+00 -2.6853137e+00 -3.6242523e+00  3.5510141e+04]
1690876432.5214565,[-8.1319535e-01  8.7323613e-02  7.3193364e-02  2.7968146e+04]
1690876432.5439248,[-3.7169204e+00 -9.2207074e-01  4.3805069e-01  2.8878877e+04]
1690876432.5667899,[-3.2896371e+00  3.1003517e-01  3.4039497e+00  2.8481625e+04]
1690876432.5894864,[-3.6448183e+00 -5.2137790e+00  2.0226581e+00  3.3735441e+04]
1690876432.6138735,[-3.6213861e+00  2.8586581e-01  3.9712384e+00  3.6578160e+04]
1690876432.6364176,[-3.2685683e+00  2.5976199e-01 -4.1699061e+00  2.7871848e+04]
1690876432.658952,[-3.3634114e+00  1.3870910e-01 -3.3372960e+00  3.3100176e+04]
1690876432.682013,[4.2432964e-01 2.7020189e-01 2.0088789e+00 3.0908420e+04]
1690876432.7051766,[-3.3288331e+00 -3.4760954e+00 -1.7577825e+00  3.2956691e+04]
1690876432.7298424,[-3.0537072e-01 -2.9593813e+00 -4.2688284e+00  3.0260033e+04]
1690876432.752279,[ 4.8161530e-01 -2.3306639e+00  2.5602882e+00  3.5817582e+04]
1690876432.7744875,[-1.0469923e+00 -3.3218157e+00  2.6006477e+00  3.4485121e+04]
1690876432.7974966,[-3.1851454e+00 -1.3958223e+00 -6.3079983e-01  2.8217996e+04]
1690876432.8217347,[-1.7513864e+00 -3.4231467e+00 -2.4804327e+00  3.0247016e+04]
1690876432.8453057,[ 4.6942618e-01 -4.1708794e+00  2.0568104e+00  3.2732123e+04]
1690876432.868264,[-3.6753647e+00 -4.3769732e+00 -3.3328667e+00  2.7832965e+04]
1690876432.8905182,[ 2.8037116e-01 -1.1203141e+00 -1.6942604e+00  3.1485656e+04]
1690876432.9136207,[ 3.3049759e-01 -1.0030376e+00  1.8170351e-01  3.0590781e+04]
1690876432.9360847,[-3.1461406e+00 -1.2101920e+00 -3.5899191e+00  3.4828625e+04]
1690876432.959027,[ 7.6840287e-01 -4.9332461e+00  2.4409049e+00  3.2704209e+04]
1690876432.9821205,[-2.6346939e+00 -1.1697587e+00 -2.7155373e+00  3.5863199e+04]
1690876433.0051625,[-2.4730532e+00 -5.2758491e-01  3.4859285e+00  3.1607842e+04]
1690876433.0289063,[-3.5915463e+00 -4.3852482e+00  3.3236079e+00  3.6472902e+04]
1690876433.0518832,[-1.05063915e-02  4.00894135e-02  3.80157852e+00  3.65753398e+04]
1690876433.074589,[-1.8274499e+00  5.6935459e-01 -4.0370841e+00  3.6188305e+04]
1690876433.0982203,[ 2.4968912e-01 -3.7784705e+00  1.0213786e+00  3.4323930e+04]
1690876433.1220174,[-2.3341809e-01 -1.5882241e+00 -3.0536811e+00  3.4390781e+04]
1690876433.1446178,[ 8.4438592e-01 -4.9407058e+00 -3.7494369e+00  2.8960809e+04]
1690876433.1675613,[-2.6327074e+00 -5.3416858e+00  2.6409907e+00  3.6133117e+04]
1690876433.1903656,[-1.5124053e+00 -1.4101429e-01 -1.3141500e+00  3.0893375e+04]
