Time,motor.m1,motor.m2,motor.m3,motor.m4,RB ID,Pos x,Pos y,Pos z,Quat w,Quat x,Quat y,Quat z
1688624526.5846515
1688624526.6049113
1688624526.6251712
1688624526.6454434
1688624526.6657498
1688624526.6861808
1688624526.7065575
1688624526.727156
1688624526.7475922
1688624526.7681386
1688624526.788846
1688624526.80942
1688624526.8301957
1688624526.850762
1688624526.8713386
1688624526.9010346
1688624526.9218268
1688624526.945258
1688624526.9661381
1688624526.9878943
1688624527.0093844
1688624527.0300875
1688624527.0509825
1688624527.0716872
1688624527.0930378
1688624527.113725
1688624527.1342678
1688624527.1545055
1688624527.174817
1688624527.19512
1688624527.2153108
1688624527.2358346
1688624527.2562482
1688624527.2765138
1688624527.2968822
1688624527.3174417
1688624527.338352
1688624527.3591888
1688624527.3837981
1688624527.4061425
1688624527.427358
1688624527.4478397,0.0,0.0,0.0,0.0
1688624527.4681132,0.0,0.0,0.0,0.0
1688624527.4884,0.0,0.0,0.0,0.0
1688624527.508701,0.0,0.0,0.0,0.0
1688624527.5289803,0.0,0.0,0.0,0.0
1688624527.5493283,0.0,0.0,0.0,0.0
1688624527.569597,0.0,0.0,0.0,0.0
1688624527.5898263,0.0,0.0,0.0,0.0
1688624527.6100526,0.0,0.0,0.0,0.0
1688624527.6303108,0.0,0.0,0.0,0.0
1688624527.6508043,0.0,0.0,0.0,0.0
1688624527.6711128,0.0,0.0,0.0,0.0
1688624527.6914122,0.0,0.0,0.0,0.0
1688624527.7116327,0.0,0.0,0.0,0.0,10,3.3792922496795654,0.017872817814350128,2.3917572498321533,-0.0028743534348905087,0.8131677508354187,0.025119736790657043,0.5814800262451172
1688624527.731878,0.0,0.0,0.0,0.0,10,3.379422664642334,0.017752382904291153,2.391796112060547,-0.0037316863890737295,0.8132811784744263,0.02828821912407875,0.5811710357666016
1688624527.7523525,0.0,0.0,0.0,0.0,10,3.379218816757202,0.017894377931952477,2.391756534576416,-0.001918744295835495,0.813001275062561,0.023699430748820305,0.5817761421203613
1688624527.772813,0.0,0.0,0.0,0.0,10,3.379232406616211,0.017917463555932045,2.3917627334594727,-0.0026827584952116013,0.8130381107330322,0.023535916581749916,0.5817283987998962
1688624527.79319,0.0,0.0,0.0,0.0,10,3.3791377544403076,0.017956623807549477,2.391756057739258,-0.0015981666510924697,0.8129245042800903,0.021171031519770622,0.5819820165634155
1688624527.813565,0.0,0.0,0.0,0.0,10,3.379389524459839,0.017797129228711128,2.391817092895508,-0.00414343411102891,0.8132906556129456,0.026713915169239044,0.5812294483184814
1688624527.8338985,0.0,0.0,0.0,0.0,10,3.3792803287506104,0.01786470226943493,2.3917670249938965,-0.0027191496919840574,0.813133716583252,0.024744555354118347,0.5815443396568298
1688624527.8542192,0.0,0.0,0.0,0.0,10,3.3791708946228027,0.01792263239622116,2.3917603492736816,-0.0016560417134314775,0.8129701018333435,0.022147521376609802,0.5818817615509033
1688624527.8744557,0.0,0.0,0.0,0.0,10,3.3790669441223145,0.018038032576441765,2.3916220664978027,-0.0025015876162797213,0.8136488199234009,0.021015822887420654,0.580971360206604
1688624527.894783,0.0,0.0,0.0,0.0,10,3.379349946975708,0.017774760723114014,2.391749858856201,-0.002878026105463505,0.8134009838104248,0.027332499623298645,0.5810537338256836
1688624527.9150407,0.0,0.0,0.0,0.0,10,3.3790013790130615,0.018104566261172295,2.3916125297546387,-0.0027907025068998337,0.8136717677116394,0.019107315689325333,0.5810037851333618
1688624527.9352589,0.0,0.0,0.0,0.0,10,3.3790884017944336,0.017981788143515587,2.391719102859497,-0.0016777924029156566,0.8130664229393005,0.020603181794285774,0.5818038582801819
1688624527.9554925,0.0,0.0,0.0,0.0,10,3.3789048194885254,0.018145278096199036,2.391693353652954,-0.00039404755807481706,0.8127210140228271,0.016062302514910698,0.5824315547943115
1688624527.9757273,0.0,0.0,0.0,0.0,10,3.37923526763916,0.017884358763694763,2.3917412757873535,-0.0018036749679595232,0.8131032586097717,0.024461165070533752,0.5816027522087097
1688624527.9959612,0.0,0.0,0.0,0.0,10,3.3790314197540283,0.018061049282550812,2.391728401184082,-0.0011855318443849683,0.8127851486206055,0.01885671354830265,0.5822570323944092
1688624528.016204,0.0,0.0,0.0,0.0,10,3.378885507583618,0.018157755956053734,2.391721725463867,-0.00024776640930213034,0.812553346157074,0.015053634531795979,0.5826925039291382
1688624528.0365002,0.0,0.0,0.0,0.0,10,3.3793187141418457,0.017798084765672684,2.391782283782959,-0.002237907610833645,0.813091516494751,0.02611284703016281,0.5815456509590149
1688624528.0569398,0.0,0.0,0.0,0.0,10,3.3791720867156982,0.017909033223986626,2.3917641639709473,-0.0015990114770829678,0.8129286766052246,0.022378738969564438,0.581930935382843
1688624528.077379,0.0,0.0,0.0,0.0,10,3.3790550231933594,0.018042705953121185,2.3917040824890137,-0.0009833411313593388,0.8128814101219177,0.020061930641531944,0.5820828080177307
1688624528.0979445,0.0,0.0,0.0,0.0,10,3.3791770935058594,0.017957109957933426,2.3917577266693115,-0.0024978022556751966,0.8130174875259399,0.02215106040239334,0.5818125605583191
1688624528.1182103,0.0,0.0,0.0,0.0,10,3.3792383670806885,0.01787792704999447,2.3917722702026367,-0.002116145333275199,0.8130320310592651,0.023881055414676666,0.5817251801490784
1688624528.138446,0.0,0.0,0.0,0.0,10,3.3791415691375732,0.017963789403438568,2.391740322113037,-0.001507104025222361,0.8129408955574036,0.02179957926273346,0.5819362998008728
