Time,Roll,Pitch,Yawrate,Thrust
1690877584.506567,[-2.4427509e+00 -3.0129638e+00 -3.4289074e+00  3.4139605e+04]
1690877584.5298238,[-3.2844377e+00 -3.3046442e-01  1.6093495e+00  2.7830170e+04]
1690877584.5526807,[-3.6481030e+00 -1.6384495e+00 -3.8573022e+00  3.1738980e+04]
1690877584.5762465,[ 7.2801018e-01 -1.5331174e+00 -1.6908904e+00  3.4230391e+04]
1690877584.6009007,[-2.9599884e+00  1.9455394e-01 -1.5232301e+00  3.4190152e+04]
1690877584.624013,[-2.3086278e+00 -3.7343073e+00 -8.1250966e-01  2.8285131e+04]
1690877584.6481373,[-9.1319245e-01 -4.1139193e+00  1.0687772e+00  3.3388270e+04]
1690877584.6710856,[-9.7251308e-01 -4.2528749e+00  2.6471035e+00  3.3066734e+04]
1690877584.6950815,[-2.3296486e-01  5.0229919e-01 -4.2503800e+00  3.0694176e+04]
1690877584.7206614,[-3.3286436e+00 -1.6718955e+00 -2.5115445e+00  3.1136816e+04]
1690877584.7434738,[2.5292227e-01 9.5055187e-03 7.7641827e-01 3.2652281e+04]
1690877584.7678585,[-1.9797322e+00 -9.1406822e-01 -3.5159335e+00  2.9672590e+04]
1690877584.7912312,[-1.6377662e+00 -5.4868627e+00 -2.9332900e+00  2.8925047e+04]
1690877584.8144472,[-1.6964573e-01 -3.8603668e+00  1.3945284e+00  3.5627625e+04]
1690877584.8377037,[-3.3516085e+00 -6.1359006e-01  2.4829142e+00  2.7190564e+04]
1690877584.861235,[ 5.7083809e-01 -4.8973613e+00 -1.7543515e+00  3.5388871e+04]
1690877584.8843443,[-2.7884095e+00 -4.5085001e+00 -3.9421332e+00  3.5639930e+04]
1690877584.9074178,[-3.1161361e+00 -8.3251107e-01  1.8709490e+00  3.4155551e+04]
1690877584.9312556,[-1.2871908e+00 -5.0354209e+00 -3.1298091e+00  2.8324193e+04]
1690877584.9543064,[ 1.3212261e-01 -1.2397996e+00  2.0654778e+00  3.2688422e+04]
1690877584.9779925,[-1.8600678e+00 -5.3381538e+00  1.0172288e+00  3.0112643e+04]
1690877585.0020216,[-1.3087950e+00  3.9453185e-01 -3.1007097e+00  3.0363484e+04]
1690877585.0248666,[-1.9708850e+00 -3.7718058e+00  2.3210468e+00  3.4828930e+04]
1690877585.0480242,[ 7.7675390e-01 -2.6443510e+00  8.0680496e-01  3.1587643e+04]
1690877585.0711021,[-2.1830499e-01 -3.7815392e+00  2.9037127e+00  3.5099449e+04]
1690877585.093926,[-7.5163537e-01  5.8578283e-02  2.5688496e+00  3.1852041e+04]
1690877585.1172528,[-3.5669045e+00 -1.5514158e+00 -2.9782388e+00  2.8623754e+04]
1690877585.141019,[-3.5439227e+00 -4.5615382e+00 -6.5230030e-01  3.6542555e+04]
1690877585.164617,[-2.8729718e+00 -4.3038025e+00  4.3193660e+00  3.0997812e+04]
1690877585.1885846,[-3.4274905e+00 -2.1181095e+00  2.2427320e+00  2.7648404e+04]
1690877585.212449,[-5.5394471e-01 -4.3812094e+00  4.1132598e+00  3.4623664e+04]
1690877585.235728,[ 4.4705763e-01 -4.0770941e+00  2.7567730e+00  3.5509242e+04]
1690877585.258424,[-2.0865545e+00 -1.4626559e+00  3.6159449e+00  2.8048652e+04]
1690877585.2823362,[-3.0946336e+00 -1.2813346e+00  4.4911814e+00  2.8915107e+04]
1690877585.305305,[-8.3389026e-01 -1.4825027e+00 -3.0989568e+00  2.9706373e+04]
1690877585.3277907,[ 5.1549023e-01 -5.2047215e+00  4.1826153e+00  3.4250754e+04]
1690877585.3519518,[-2.5708418e+00 -4.4649005e+00  3.0051441e+00  2.7546139e+04]
1690877585.377319,[-1.9717139e+00 -3.1704085e+00 -4.3767142e+00  2.9580859e+04]
1690877585.4010298,[-5.1975447e-01 -2.3069437e+00  4.4121418e+00  2.7716637e+04]
1690877585.4250498,[-3.4416633e+00 -4.7855778e+00  2.5042484e+00  2.7638699e+04]
1690877585.4489796,[ 8.0642641e-01 -3.0833834e-01  3.4998913e+00  3.4269973e+04]
1690877585.4738588,[-2.9112225e+00 -1.8081182e+00  2.8462558e+00  3.0798686e+04]
1690877585.4973726,[-2.4638655e+00 -3.5447915e+00 -3.0803840e+00  2.9472383e+04]
1690877585.5206358,[-1.5321724e+00 -1.0807639e+00  2.7883273e-01  3.5563957e+04]
1690877585.5449417,[-2.2082653e+00 -5.1386914e+00 -3.9097733e+00  3.1620912e+04]
1690877585.5691578,[-2.9411094e+00 -4.2410216e+00  3.2755145e-01  2.7875928e+04]
1690877585.5922947,[-3.7860210e+00 -1.8657032e+00  1.3808435e+00  3.4628820e+04]
1690877585.6172147,[ 8.8292301e-01 -2.4670368e-01 -6.8943286e-01  2.9163443e+04]
1690877585.6401277,[-2.2214830e+00 -3.1149080e+00 -3.2777815e+00  2.7799018e+04]
1690877585.6632338,[-2.9489887e+00 -3.7247236e+00  3.9163728e+00  2.8116629e+04]
1690877585.6868532,[-3.5451705e+00 -1.2977803e+00 -4.6434836e+00  3.6519055e+04]
1690877585.7100787,[-2.3467290e+00 -2.2911808e+00  1.5540677e-01  3.2244006e+04]
1690877585.733679,[-1.4523501e+00 -3.9829328e+00  6.0850179e-01  3.3628082e+04]
1690877585.7579606,[-3.3696711e+00 -3.5188603e+00 -5.5497074e-01  3.5635125e+04]
1690877585.7812343,[-3.6174018e+00 -4.6540265e+00  2.4678950e+00  2.8209098e+04]
1690877585.8051372,[-3.4895077e-01 -3.5866976e+00  2.0948153e+00  3.4061422e+04]
1690877585.828878,[ 6.1668521e-01 -2.2203367e+00 -4.0213671e+00  3.2823613e+04]
1690877585.8528585,[-3.4123223e+00 -2.7665985e-01  3.9836147e-01  2.9538787e+04]
1690877585.8761508,[-1.7377079e+00 -1.8476317e+00  2.4723005e+00  2.9911967e+04]
1690877585.9007134,[-1.8653109e+00 -3.8928900e+00  3.7685986e+00  3.2088465e+04]
1690877585.9243762,[-2.2939212e+00 -3.2966316e-01  4.2244577e+00  3.1759457e+04]
1690877585.949363,[-6.9969350e-01 -5.3084774e+00 -3.2495489e+00  3.3859359e+04]
1690877585.9732993,[-3.4088018e+00 -5.1819215e+00 -3.0044541e+00  3.5769418e+04]
1690877585.9971528,[-8.5715079e-01 -2.4336529e+00 -2.4712231e+00  3.4448711e+04]
1690877586.020372,[-7.0685446e-01 -5.2969556e+00 -2.1240754e+00  2.9668133e+04]
1690877586.0445883,[-3.6256435e+00 -2.7526951e+00 -4.2805166e+00  3.0397506e+04]
1690877586.0682373,[-7.2242093e-01 -6.5182364e-01  3.8182595e+00  3.4769320e+04]
1690877586.0916448,[-1.0823913e+00 -4.7680278e+00  3.2021425e+00  3.2363248e+04]
1690877586.115587,[-1.6658127e+00 -4.0200095e+00 -3.8710246e+00  2.9328168e+04]
1690877586.13988,[-1.3954102e-01 -3.1066999e+00  1.8748444e+00  2.9723002e+04]
1690877586.1629777,[ 5.3574407e-01 -4.2892337e+00 -8.5368019e-01  3.0483111e+04]
1690877586.1860802,[-3.1313336e+00 -4.2797556e+00  1.9906913e+00  2.7331412e+04]
1690877586.208847,[-1.6128258e+00 -4.0118688e-01  8.2159686e-01  3.2444393e+04]
1690877586.2334085,[ 2.6709881e-01 -5.1319118e+00  2.2222049e+00  2.7988758e+04]
1690877586.2566652,[-3.2966788e+00 -4.3610435e+00 -3.2644560e+00  3.3944504e+04]
1690877586.2799199,[-2.9779825e+00 -3.5633037e+00  2.6696997e+00  3.0457307e+04]
1690877586.3041666,[ 8.9403784e-01 -3.3769190e+00 -4.2909517e+00  2.7962344e+04]
1690877586.3273828,[ 4.3007848e-01 -1.3244538e+00 -2.6169024e+00  3.4169641e+04]
1690877586.3511298,[-1.4280728e+00  3.5731769e-01 -5.1223451e-01  3.2838797e+04]
1690877586.3738875,[-9.3701833e-01  2.6371717e-01  8.6862519e-02  2.9939846e+04]
1690877586.3969996,[-3.7465196e+00 -2.3109941e+00  4.2650776e+00  3.2522160e+04]
1690877586.4203515,[-2.0068226e+00  5.9943134e-01  2.8402252e+00  2.7807830e+04]
1690877586.4436905,[-3.0398772e+00 -6.5972537e-01 -1.7118613e+00  3.4862898e+04]
1690877586.4677587,[-2.7354271e+00 -5.4005504e+00  3.6107764e+00  3.3796949e+04]
1690877586.4919074,[-2.1499047e+00 -3.0126154e+00 -3.5403218e+00  3.3495621e+04]
1690877586.516974,[-3.6849227e+00 -4.3547859e+00  2.0804746e+00  3.6029281e+04]
1690877586.5403638,[ 4.7386521e-01 -2.8023803e+00  3.3900833e+00  3.3480699e+04]
1690877586.5636249,[-3.6409030e+00 -2.2115169e+00  1.6702877e+00  2.8109941e+04]
1690877586.587724,[-2.4629719e+00 -4.5965104e+00  3.6805887e+00  3.1916812e+04]
1690877586.6113656,[ 3.7181014e-01 -7.1607703e-01 -1.9515883e+00  3.5856324e+04]
1690877586.6344473,[-2.7421994e+00 -1.2594169e-01  4.4069600e-01  3.2341221e+04]
1690877586.6575975,[-1.4278889e+00 -2.5197623e+00 -2.7843082e+00  3.1632699e+04]
1690877586.6822925,[-1.2740095e+00 -1.7931705e+00  4.5589790e-01  3.4143051e+04]
1690877586.7053323,[-1.5822499e+00 -1.9888955e+00 -1.5405008e+00  2.7393215e+04]
1690877586.7277682,[-2.5753877e+00 -4.3480692e+00 -3.4327762e+00  3.3643793e+04]
1690877586.7511694,[-9.0558988e-01 -3.9594378e+00 -3.8271928e+00  2.9119938e+04]
1690877586.7740746,[-2.5408192e+00  8.9256600e-02 -3.9334066e+00  3.6536375e+04]
1690877586.7971592,[ 3.9933839e-01 -1.1858997e+00  2.8668315e+00  3.3593141e+04]
1690877586.8206363,[-2.8139448e-01 -2.4777656e+00  2.1476109e+00  3.0313580e+04]
1690877586.844391,[-3.6302679e+00 -5.0261750e+00  1.8711712e+00  3.3647121e+04]
1690877586.868144,[-2.4694850e+00 -1.7595665e+00 -4.0973177e+00  2.7873059e+04]
1690877586.891294,[-3.0511570e+00 -5.1745067e+00 -3.0749497e+00  3.6175262e+04]
1690877586.9149022,[-2.9756567e+00 -2.8633780e+00 -4.1510072e+00  2.9869760e+04]
1690877586.937676,[-4.5340976e-01 -2.3378849e+00 -4.4193742e-01  2.8210047e+04]
1690877586.9617238,[ 4.4805783e-01  1.5056621e-01 -3.1780648e+00  3.3364871e+04]
1690877586.9851913,[ 4.1953519e-01 -3.3823967e-01 -3.9770362e+00  2.8920869e+04]
1690877587.00824,[-1.1037134e+00 -1.2012494e+00  3.6861384e+00  2.8471865e+04]
1690877587.0324671,[ 3.1995457e-01 -1.5691680e+00 -3.0783737e+00  3.2045240e+04]
1690877587.056707,[-3.4613934e+00  3.2456737e-02 -2.2715504e+00  3.6200652e+04]
1690877587.079686,[ 9.4155324e-01 -4.1939712e+00 -1.4656082e+00  2.7668287e+04]
1690877587.1028311,[ 2.4327716e-01 -3.8121688e+00 -8.8701236e-01  3.1564873e+04]
1690877587.1258712,[-2.7134862e+00 -5.1505780e+00  1.2899163e+00  2.8463578e+04]
1690877587.1498585,[-2.1684486e-02  3.9896098e-01  2.8891041e+00  2.9436336e+04]
1690877587.1731827,[-2.8625911e-01 -1.9197010e+00  3.8378935e+00  3.3145141e+04]
1690877587.196977,[-3.0486839e+00 -2.5479655e+00 -4.4016013e+00  3.3012418e+04]
1690877587.220189,[-3.6584225e+00 -2.0901988e+00 -4.2322321e+00  2.7460381e+04]
1690877587.2437146,[ 8.4304619e-01 -3.4098785e+00  1.6730998e+00  3.2463625e+04]
1690877587.267155,[-3.7526637e-01 -1.0381851e+00 -3.2517722e-01  3.6601047e+04]
1690877587.29032,[-2.6052151e+00 -5.8882976e-01 -2.5849385e+00  3.6392820e+04]
1690877587.3144915,[-2.1153076e+00 -1.2136277e+00  3.5800889e+00  2.8976068e+04]
1690877587.337609,[ 2.3336624e-01 -1.2620076e+00  3.5446131e+00  3.0495180e+04]
1690877587.3618178,[ 4.4084993e-01 -2.2245559e-01 -1.1884813e+00  3.0052086e+04]
1690877587.3858693,[-2.7247219e+00 -4.5384221e+00 -1.8671056e+00  3.1799781e+04]
1690877587.409227,[-1.6398231e+00 -3.3928430e+00  1.9368867e+00  3.4067336e+04]
1690877587.4334939,[4.8463047e-02 6.0221744e-01 3.8779531e+00 2.8406176e+04]
1690877587.4570944,[-7.3331577e-01 -2.9877295e+00  1.6126152e+00  3.3291988e+04]
1690877587.4802682,[-3.2279944e+00 -2.4594390e+00 -4.5172289e-01  3.4099980e+04]
1690877587.5029175,[ 5.6748319e-01 -9.4660836e-01  3.4190485e+00  3.5362723e+04]
1690877587.525716,[-1.9571052e+00 -5.2715678e+00  3.8653522e+00  3.2434664e+04]
1690877587.5499043,[-2.2358923e+00  2.2519924e-01 -2.3211510e-01  3.2446170e+04]
1690877587.5731952,[-1.2806817e+00 -5.0170808e+00  4.1764495e-01  3.2369742e+04]
1690877587.5964699,[ 1.4667679e-01 -5.2539945e-01  1.1848993e+00  2.8115240e+04]
1690877587.6200173,[-2.8255334e+00 -4.2856283e+00  2.2253075e+00  3.3718848e+04]
1690877587.643146,[-7.1760422e-01 -5.5404263e+00 -2.5758348e+00  2.8939660e+04]
1690877587.6678922,[-2.5545743e+00 -2.6672640e-01  2.6913712e+00  2.7866586e+04]
1690877587.6924522,[-2.7075415e+00 -4.1584614e-01  1.5977637e+00  3.2807078e+04]
1690877587.7172182,[-2.8024657e+00  3.9565948e-01 -4.1062822e+00  3.6883855e+04]
1690877587.7410877,[-2.8751729e+00 -1.1387883e+00  1.0198272e+00  3.1752711e+04]
1690877587.7648654,[-3.6244330e+00 -3.7226219e+00 -4.5556206e-01  3.1146533e+04]
1690877587.7873452,[ 2.0525722e-01  2.7051443e-01 -1.1036026e+00  2.9736496e+04]
1690877587.8110898,[-3.1333408e+00 -2.0269871e+00 -1.4994659e+00  3.4764453e+04]
1690877587.8342955,[-1.9885960e+00 -1.5997920e+00  2.5674422e+00  3.2423729e+04]
1690877587.8578782,[-1.0105140e+00 -2.0798759e+00 -2.4851842e+00  3.6097988e+04]
