Time,Pos x,Pos y,Pos z,Vel x,Vel z,Quat x,Quat y,Quat z,Quat w,Ang vel x,Ang vel y,Ang vel z,Ang vel w,motor.m1,motor.m2,motor.m3,motor.m4,battery,goal pos x,goal pos y,goal pos z,goal vel x,goal vel z,goal quat x,goal quat y,goal quat z,goal quat w
1691136628.5479736,1.382268998349868,-5.0,-5.0,-5.0,-5.0,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-2.510870678474082,5.0,5.0,5.0,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1691136629.1037161,1.382268998349868,-5.0,-5.0,0.01120652012194389,0.06055744369355465,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-0.013833108283827212,-0.003238795601545233,0.004095818887799338,8.268316463272794e-05,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1691136629.1318142,1.382268998349868,-5.0,-5.0,0.01120652012194389,0.06055744369355465,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-0.013833108283827212,-0.003238795601545233,0.004095818887799338,8.268316463272794e-05,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1691136629.1561596,1.382268998349868,-5.0,-5.0,0.01120652012194389,0.06055744369355465,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-0.013833108283827212,-0.003238795601545233,0.004095818887799338,8.268316463272794e-05,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1691136629.1793246,1.382268998349868,-5.0,-5.0,0.01120652012194389,0.06055744369355465,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-0.013833108283827212,-0.003238795601545233,0.004095818887799338,8.268316463272794e-05,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1691136629.2020037,1.382268998349868,-5.0,-5.0,0.01120652012194389,0.06055744369355465,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-0.013833108283827212,-0.003238795601545233,0.004095818887799338,8.268316463272794e-05,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1691136629.2249906,1.382268998349868,-5.0,-5.0,0.01120652012194389,0.06055744369355465,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-0.013833108283827212,-0.003238795601545233,0.004095818887799338,8.268316463272794e-05,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1691136629.2476263,1.382268998349868,-5.0,-5.0,0.01120652012194389,0.06055744369355465,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-0.013833108283827212,-0.003238795601545233,0.004095818887799338,8.268316463272794e-05,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1691136629.2703707,1.382268998349868,-5.0,-5.0,0.01120652012194389,0.06055744369355465,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-0.013833108283827212,-0.003238795601545233,0.004095818887799338,8.268316463272794e-05,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1691136629.2931921,1.382268998349868,-5.0,-5.0,0.01120652012194389,0.06055744369355465,1.4510407077724272,-5.0,-0.7600092634235822,5.0,-0.013833108283827212,-0.003238795601545233,0.004095818887799338,8.268316463272794e-05,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
