Time,Roll,Pitch,Yawrate,Thrust
1690893175.7677977,-2.1165679,0.31185582,1.4668655,32747.574
1690893175.79013,-0.1472116,-1.4847167,-3.270482,34501.246
1690893175.812496,-0.8261553,-4.143549,1.0123987,32020.854
1690893175.83499,0.3318636,-4.5148387,-0.82668865,33852.64
1690893175.8577092,-3.05879,-0.4250858,-1.4295685,33155.3
1690893175.8803926,-3.7572205,-0.05815483,1.5801947,34720.56
1690893175.9030912,-0.59321845,-0.38680133,-2.4742832,28147.186
1690893175.9256108,-3.208623,-0.32621142,-3.873917,33372.746
1690893175.9482217,-1.0643991,-4.3915987,-0.8955856,29897.42
1690893175.9707148,-2.7164142,0.13398346,4.3108463,35099.117
1690893175.9943435,-2.7611082,-3.9218302,4.2295246,33153.625
1690893176.017581,-1.0117766,0.3453206,1.2154232,29941.283
1690893176.0405867,-0.5223376,-0.55404645,-4.4177456,32405.943
1690893176.06444,-3.096945,-4.3893313,-1.7900859,29092.652
1690893176.0870585,-1.3827063,0.2695779,-0.47881216,35252.05
1690893176.111575,-3.3621006,0.041618973,-3.5404289,31562.664
1690893176.1343815,-1.6866773,-1.0153631,-0.5410816,29225.432
1690893176.1567008,-0.986042,-2.157278,-1.7223722,35784.652
1690893176.1800008,0.8013951,-5.044362,-2.326564,29503.771
1690893176.2091854,0.017332528,0.05607971,-4.148396,29800.082
1690893176.2319086,0.5087961,-3.4183369,1.1206541,27553.244
1690893176.2544882,-2.2486198,-2.7650483,-3.7604136,30019.086
1690893176.2834442,0.0052134064,-2.283417,1.7955686,32154.633
1690893176.3064709,-2.584377,-1.1240668,2.7191172,33485.293
1690893176.329346,-2.8258858,-2.204029,1.0635829,28680.46
1690893176.3517528,-0.76115113,-1.3928763,4.376601,31215.37
1690893176.373986,-2.944793,0.42555705,-0.91822577,34619.746
1690893176.3967555,-1.2159752,-4.0952096,-1.6909534,30124.96
1690893176.4207275,-1.2170715,-1.979162,-4.0596323,33805.363
1690893176.4453368,0.2597622,0.20886391,0.7382625,33334.9
1690893176.4679615,0.7065987,-2.118381,3.0896492,31167.896
1690893176.491017,-0.040590204,-0.44839028,-2.2147212,33506.777
1690893176.5137868,0.10460443,-5.221921,3.3959413,27431.4
1690893176.5372546,-1.7753209,-3.874032,-0.50698614,30172.695
1690893176.5602715,0.011503743,0.10955698,3.7245207,29955.715
1690893176.5841417,-0.16688637,-5.452309,4.374156,29228.51
1690893176.6071758,-3.0045662,-3.3006556,0.7824486,33581.94
1690893176.6294832,-2.036445,0.13048209,0.5025256,34397.344
1690893176.6517482,-2.1841996,-1.166567,-2.5559971,36889.64
1690893176.6740294,-0.31269297,-4.892124,1.370339,27438.006
1690893176.6968496,-3.0508385,-0.08113963,3.7516217,35013.79
1690893176.719286,0.10918553,0.22247879,-0.68776727,32575.578
1690893176.7423217,-2.8377235,-4.5985312,0.48775125,35652.48
1690893176.7644997,0.7216654,-1.2573358,-0.52570724,35952.836
1690893176.787052,-1.3523942,-4.333697,-1.980056,30203.932
1690893176.8112714,-0.10254387,-4.2675686,-1.0564086,30169.77
1690893176.8408172,-3.5437472,-3.1459758,-3.4211066,36051.273
1690893176.8651264,-0.2684378,-2.9734695,-0.78598404,31973.916
1690893176.8876839,-2.7190838,-2.74529,-1.779009,33273.324
1690893176.9105887,-2.9194922,-5.331284,-1.8271817,33397.0
1690893176.9344974,-2.292705,-4.5308824,3.4487154,30516.27
1690893176.9576273,-0.46293262,-5.4836593,-2.8187885,30384.799
1690893176.9802377,0.80818856,-4.885218,-1.6571985,27328.164
1690893177.0026698,0.6482436,-3.7733667,-3.1548376,27686.908
1690893177.0250628,-2.274852,-0.9893142,-2.0136843,27207.166
1690893177.0475316,-3.171692,-0.7504894,1.8268846,30875.938
1690893177.06975,-0.6283426,-2.5571465,2.7850692,31443.29
1690893177.0923765,0.2873734,-4.5241265,3.4758909,32350.957
1690893177.114387,0.33582455,-2.5395703,-0.9237674,31566.998
1690893177.13661,0.2812358,-0.30979213,-3.2425063,34920.5
1690893177.160104,0.357989,0.08351754,3.2823586,35146.547
1690893177.183204,-3.2442298,0.01626547,-1.8215293,28555.918
1690893177.205386,-2.2462287,-4.709502,1.3792691,27627.129
1690893177.2285001,-1.6863112,-4.0592713,-2.9041188,36694.38
1690893177.2510674,0.7368225,-3.815246,0.70033544,28257.023
1690893177.2737367,-0.47979212,-4.7624736,-2.6306956,27564.92
1690893177.2969472,-0.48407176,0.5674533,-0.5481258,34367.29
1690893177.3198256,-0.7985564,-1.2488787,-2.1546023,32044.316
1690893177.3445215,-3.4033759,-3.1406674,3.2382638,31641.084
1690893177.3673348,-1.967947,-1.0604886,-0.71920186,34580.844
1690893177.3902638,0.21933164,-3.3250327,-3.9633415,27840.0
1690893177.4132185,-2.1587746,-0.8735031,2.0799646,33176.56
1690893177.4357626,0.33402216,0.11733745,2.8829205,28653.568
1690893177.459297,0.12965056,-0.68793166,-3.4166558,28263.002
1690893177.4830046,0.39420402,-0.8286143,-0.29554287,32179.283
1690893177.5067613,-0.055635806,-2.4515984,1.7246718,32911.746
1690893177.5305164,-3.5390015,-4.490843,0.11925941,31368.922
1690893177.5528836,-0.2455121,-5.2413206,3.732021,28702.514
1690893177.5757532,-1.3485026,-3.8349764,1.4777058,33894.77
1690893177.5992572,-0.1281507,-0.7394315,-3.4094067,35162.68
1690893177.6215856,0.57809293,-0.40470725,-3.6511574,32946.62
1690893177.6436923,-1.3067312,-2.1193035,-1.4084475,29259.842
1690893177.6658692,-2.6410663,0.18333706,-0.80164355,28170.861
1690893177.688183,-0.62362254,-3.1864696,-1.9800063,36446.543
1690893177.711363,-1.9386146,-5.1146417,-2.014195,27442.406
1690893177.7339725,-0.9658686,-1.0597026,-4.1208973,32817.484
1690893177.756524,-0.8083492,-2.1255465,4.391906,29889.28
1690893177.7792206,0.0834194,-0.3797346,2.0452588,32582.672
1690893177.8019986,-2.876336,-1.7823794,-3.2619205,34259.92
1690893177.827331,-0.9551627,-2.0708504,2.0186715,30416.453
1690893177.849911,-0.6869801,-1.4555897,2.8857548,35753.0
1690893177.872466,-2.824445,-1.3371414,-1.0064862,28712.713
1690893177.8949215,-2.46853,-2.2069504,0.81418073,33743.453
1690893177.917682,0.8267647,-4.3847423,3.255811,36002.49
1690893177.940067,-2.9323716,-4.3823247,0.09738492,36548.605
1690893177.9626956,-2.430416,-2.3345265,3.3799326,28759.785
1690893177.996471,-1.0360311,-0.23466893,-3.9854586,27856.914
1690893178.0204315,0.753319,-4.6428237,1.6299633,31061.807
1690893178.0430212,-2.1388888,-0.3029193,-0.7790532,31384.908
1690893178.0658023,0.22725925,0.25095037,1.7302945,31012.844
1690893178.0879962,0.70988435,-0.0118624,-2.9912739,36220.04
1690893178.1103992,-1.3882896,-0.43047968,0.4499707,29410.547
1690893178.1330905,-3.657757,-2.415263,3.3639512,27613.693
1690893178.1556315,-3.3677285,-3.9144058,1.9399741,32766.256
1690893178.1788852,-3.0505908,-0.40749022,-4.2317643,27423.283
1690893178.2023644,-0.46226603,-1.4342703,-1.7848374,28737.098
1690893178.2256312,-0.9083035,-4.92977,-1.6545441,28538.486
1690893178.2486973,-2.038743,-2.9319704,2.6648347,29204.03
1690893178.2713213,-3.583485,-3.2684653,-3.9349542,36917.402
1690893178.2941763,-3.1639886,-2.3053303,-1.546947,35126.777
1690893178.3173847,-2.3234773,-0.32271287,0.6615899,34599.617
1690893178.3407323,0.8021962,0.042960625,-2.3402596,29201.688
1690893178.363047,-2.9046016,-1.8047755,-2.1057856,33261.15
1690893178.385882,0.7598813,-5.2278132,3.8143487,34074.754
1690893178.4088342,-1.7137445,0.06744009,-3.0929255,33936.723
1690893178.4311116,-3.4839518,-4.983993,3.5779262,29503.895
1690893178.4533465,0.10880064,0.18343987,-3.1956468,30011.34
1690893178.4772778,-2.361796,-4.6965146,1.6567532,36507.34
1690893178.4998095,-3.1168942,-5.043069,3.8154662,31672.43
1690893178.5295029,-3.673641,-5.2309723,4.060728,33171.25
1690893178.5530562,-1.494397,-1.0650522,-0.465548,29287.945
1690893178.5759068,-0.40109608,0.2961898,1.1057855,35274.152
1690893178.5982442,-2.7217488,-4.696679,2.4067159,29389.959
1690893178.6210299,0.85257804,-2.2946527,2.5423634,29168.38
1690893178.6434584,-2.078408,-2.162899,-0.44140545,29342.56
1690893178.6680737,-0.81079847,0.60280955,0.19447333,31623.771
1690893178.6905787,-1.6763343,-1.2670169,0.4520447,31337.004
1690893178.7132807,-0.9932094,-3.3254411,-2.5990727,32917.938
1690893178.7356393,-2.1408467,-3.9242551,-4.204955,31353.0
1690893178.7585378,-3.1826477,-1.6389979,3.091788,27954.662
1690893178.782942,-0.3784367,-2.9431963,-3.511767,33151.273
1690893178.805381,0.79840523,-2.2866805,-3.5812833,29811.93
1690893178.8300304,-3.479814,-2.0493572,4.2292504,32550.385
1690893178.8523088,-2.970875,-1.9200343,-1.8754667,35806.863
1690893178.878551,-0.6691015,-4.6310573,2.9159217,35615.094
1690893178.9011955,-2.9406943,-1.2480419,-4.560507,28435.717
1690893178.925439,0.70362175,-2.6503074,0.1035388,27963.102
1690893178.9485776,0.6041475,-3.6499825,0.14006437,33880.383
1690893178.9726071,-1.8391134,-3.9332833,1.6696174,36174.83
1690893178.995929,-2.613615,-1.6762787,0.53527874,34611.258
1690893179.0191193,-0.5119503,-0.91568905,-3.5860772,29543.129
1690893179.0421195,-3.3892846,-2.9848967,2.5138948,31249.928
1690893179.0655093,0.18542896,-5.020436,-3.7869434,34725.496
1690893179.0884197,-3.4337058,-3.9579763,1.2997457,35796.28
1690893179.1109524,-3.026677,-4.1008844,4.081966,31632.49
1690893179.1332629,-0.6728713,-5.4498715,-4.527882,33079.484
1690893179.1556075,-0.8721947,-4.3138113,3.5901113,31948.098
1690893179.1788552,-3.3477325,-5.369343,-3.6357312,34525.48
1690893179.2017803,-3.3379743,-4.4931874,-3.0032873,30294.824
1690893179.223918,-2.1598983,-0.54674894,-2.7304683,27260.088
1690893179.2461946,-1.4927462,-2.1585042,-1.0381926,29974.777
1690893179.2689345,-1.1698003,-2.3302162,2.3835866,28388.629
1690893179.2933438,-2.44238,-3.7269082,-1.2420717,29153.23
1690893179.3183217,-2.91597,-4.6610117,-1.9519418,35677.41
1690893179.3417664,-0.4288015,-4.1233187,1.3976542,30603.594
1690893179.365471,-1.9978483,-3.1763644,3.4779403,30766.746
1690893179.3883278,-2.7657154,-0.9239417,2.8455005,34851.848
1690893179.411606,-0.9487455,-0.030240243,-2.5958042,36529.883
1690893179.4361084,-2.7800138,0.38922158,2.7762496,33031.496
1690893179.4593875,-0.8412137,0.48266256,-1.9483385,28413.941
1690893179.4825318,0.7790551,-0.12825291,2.419723,35111.19
1690893179.5054889,-2.5179927,-1.3980126,-1.6792488,27666.633
1690893179.529107,-2.7361531,-1.7029129,-3.9202857,36611.33
1690893179.5522866,0.4303772,-3.36548,1.986636,36209.875
1690893179.575981,-3.065435,-4.408167,-2.7022479,31388.785
1690893179.5994473,-3.2587168,-3.9211829,1.7114022,27835.682
1690893179.6225846,-0.992145,-0.03370111,1.7467656,35041.336
1690893179.6449494,-2.3819838,0.019876923,-1.7553715,31443.814
1690893179.668148,-0.7358808,-1.7209156,3.0315332,31648.395
1690893179.690669,-0.05034695,-0.57611036,-3.6159444,36938.203
1690893179.7134058,-1.2786263,-3.9858215,-1.0140357,31300.223
1690893179.7364872,-1.5729667,-0.7026047,-3.2618835,35477.55
1690893179.761172,-0.8148383,-0.54858726,1.2618577,33586.91
1690893179.7842205,-3.3903692,-0.3308199,1.3821193,32946.203
1690893179.8088653,0.54003173,-5.542024,3.4271088,33463.844
1690893179.8315284,-3.3147645,-0.83212405,-0.9599872,34725.383
1690893179.8545244,-3.6551952,-5.416266,-0.40796378,29350.623
1690893179.8774354,-0.07083474,-2.2951794,-4.378708,28050.324
1690893179.900264,-2.805417,-5.2566133,-2.1797447,34128.973
1690893179.9222505,-2.9423635,-3.0407727,3.240854,31665.889
1690893179.9450402,-0.9346967,-5.1515565,0.8278211,28358.736
1690893179.9672344,-3.3420806,-2.6783004,-1.628034,30525.291
1690893179.989423,0.4241524,-0.5866852,-4.115277,36477.03
1690893180.011822,-3.3416924,0.41119912,4.295656,35882.887
1690893180.0342898,-2.1042309,-5.257324,1.3521496,34035.695
1690893180.056629,-2.0216682,-3.034798,-1.0706108,28222.871
1690893180.0799825,-1.7303784,-2.8456385,1.2458863,36151.29
1690893180.1024432,-2.9756012,-3.5648963,-4.354425,27741.13
1690893180.1256998,0.21469124,-3.9976501,3.9321764,28528.312
1690893180.1482382,-2.8428261,-3.0606415,0.6548241,33974.145
1690893180.1726613,-0.49868405,0.5549711,-4.1972294,35476.555
1690893180.1953745,-0.73628277,-4.9933724,-3.0654845,30474.527
1690893180.2183905,0.8744629,-2.689389,0.031290982,33337.516
1690893180.2407687,-2.2666106,-4.7799363,3.3484428,36558.453
1690893180.2642796,-2.9894915,-5.028726,1.8906119,32157.742
1690893180.2875564,-1.5267434,0.16654214,-2.4762046,29864.277
1690893180.3120658,0.564682,-0.939465,2.6150074,29741.043
1690893180.3350232,-0.8148775,-1.301422,1.7551607,30486.783
1690893180.357637,-2.5953252,-1.3418343,1.7733104,32331.906
1690893180.3804977,-0.6971526,-3.0122917,1.9498055,30422.404
1690893180.4034317,-2.7257237,-1.5273887,3.8201365,31445.107
1690893180.4264963,-3.1709666,-2.8708975,3.077744,29493.908
1690893180.4500153,-1.0961555,-2.8247569,-3.2898753,29768.523
1690893180.472277,-2.0419033,-2.2177596,2.6816256,27355.53
1690893180.4968584,-1.8009887,-4.6372266,2.6257489,28009.982
1690893180.5203197,-0.5527731,-1.728141,0.50922173,31457.662
1690893180.5452974,-1.3257082,-1.4411708,-0.29676363,33926.562
1690893180.5681734,-0.074907355,-1.5514381,-3.8424878,27657.943
1690893180.591675,-1.2917858,-1.3131405,-3.9495828,28884.012
1690893180.6141896,-1.6894243,-5.21873,-4.0506973,28550.014
1690893180.6366959,0.44124833,-1.2855514,-2.9832711,29571.764
1690893180.6594765,-3.361698,-4.5495496,-4.2935843,32995.64
1690893180.6820066,-0.33298385,-3.9130707,-2.0998538,28345.473
1690893180.704837,-2.804423,-2.4145398,-2.111639,34538.918
1690893180.727988,-3.7233255,0.09957483,-0.68310755,27874.908
1690893180.751062,-3.591181,-2.5200155,0.9696234,35965.582
1690893180.7740889,0.5661301,-3.4661555,-2.0465393,34160.355
1690893180.7969742,-1.555128,-0.28053683,-3.1656847,34011.184
1690893180.819904,-3.104577,-2.5901618,4.270722,32976.383
1690893180.8429859,0.43014705,-0.35730493,-2.6117425,29304.66
1690893180.8662927,0.38700265,-0.012327593,-3.5689764,30630.314
1690893180.8889003,-2.1984613,-0.4460852,-3.0242186,30588.92
1690893180.9116297,-1.4070306,-5.069168,2.8298945,28651.977
1690893180.935165,0.031469822,-5.5072803,-2.9191039,31014.395
1690893180.9579308,-2.018155,0.33426383,-0.17866662,31452.27
1690893180.9801872,-2.367092,-3.3105662,-0.85590094,29883.568
1690893181.0021827,-3.1035497,-3.7023923,-3.1748104,32257.723
1690893181.0258043,-3.621303,0.02732916,-2.9870152,30205.611
1690893181.0484831,-1.4505473,0.19613874,2.542354,27627.299
1690893181.0725448,-1.624522,0.52342325,-3.0395176,29394.48
1690893181.096227,-1.4821914,-2.750558,3.0471861,30832.088
1690893181.1184988,-1.1349387,-2.5537512,-0.4598191,28148.666
1690893181.1407351,-0.040112436,-0.77061516,0.956419,36146.25
1690893181.1635587,-1.6358522,-4.30003,-4.447871,31288.516
1690893181.185726,-3.4080856,-0.97856766,-4.402271,34809.918
1690893181.2082984,-1.2087497,-3.4768791,-3.2633722,33377.9
1690893181.2304838,-1.4066432,-2.553252,0.4215251,35951.207
1690893181.253641,-2.9808059,-0.19518478,3.737651,29642.898
1690893181.277156,-1.3013695,-4.434539,0.38896027,36801.793
1690893181.2999587,-0.78696,-4.3849797,2.9291978,35808.215
1690893181.3226728,-2.0962703,-5.1276064,-3.8129508,33356.63
1690893181.3456197,0.40275615,-2.9777677,-1.4737815,35941.277
1690893181.3680573,-0.12175425,-1.1122761,-3.8535593,35887.105
1690893181.3904524,-3.3108807,-4.82309,-1.2811222,27396.816
1690893181.4132555,-3.59189,-3.8075063,2.8192632,28095.248
1690893181.4364429,-1.0715227,-1.6111622,3.6771622,35217.605
1690893181.4594457,-1.5617145,-0.03882197,2.7225096,32649.475
1690893181.4826279,0.5012619,-0.93760175,1.2747192,33201.754
1690893181.5049357,-1.292637,-5.090363,1.5896393,28301.793
1690893181.5274034,-2.99013,-1.2507948,3.7623956,34347.703
1690893181.551836,0.66038775,-1.1561375,-4.625582,28020.383
1690893181.5753992,0.82899225,0.05393344,-1.7834697,34660.754
1690893181.5976279,-0.8587805,-4.752115,-4.1038094,30067.596
1690893181.6200268,-2.8866274,-3.8009725,-2.2102234,29239.754
1690893181.6434872,-3.4048193,-0.56214154,2.3005445,36745.867
1690893181.6664627,-0.4865502,-4.6935024,-1.3159484,35362.113
1690893181.689497,-1.9937952,-0.018582046,-0.0768826,28869.096
1690893181.712241,-0.045700133,-4.432774,-2.4256444,29321.666
1690893181.7347727,-1.379084,-4.3412976,3.457298,30202.11
1690893181.7581081,-2.1240041,-0.74382126,-2.6206458,28278.975
1690893181.7813954,-2.6852596,-2.3714318,-3.1642876,33192.16
1690893181.8037302,0.6429387,-4.962541,-0.4044686,28464.236
1690893181.8266025,0.7748848,-3.3094685,-3.877454,30361.354
1690893181.8487618,0.77121174,-4.6871195,-3.3785412,34011.81
1690893181.8714,-1.8832741,-4.319617,3.3191078,28138.94
1690893181.8940797,-2.8528605,0.6293867,4.4660063,32416.777
1690893181.918166,-2.5669055,-1.6901219,3.1499991,35153.016
1690893181.9406228,-3.520402,-0.9768306,-2.4137304,27422.297
1690893181.965327,-0.9705083,-0.5788657,-3.6404605,36651.86
1690893181.988311,-3.3038151,-2.563115,4.15852,29978.49
1690893182.0111556,-1.19436,-1.3171958,3.7644503,29353.521
1690893182.034962,-0.7007131,-4.3661547,2.2478092,30941.05
1690893182.058266,-1.5248699,-1.3820244,1.9663963,33131.637
1690893182.0824533,-1.2482904,-0.9484968,-4.1496396,30954.598
1690893182.1062384,-3.122664,-1.512025,4.4201074,35651.258
1690893182.128806,0.703651,-5.1526446,4.2894435,32755.598
1690893182.1528192,-1.1273457,-1.7310586,-3.4017384,32914.953
1690893182.1762521,0.67735535,-0.28379133,-2.2729588,27740.688
1690893182.1990695,-1.4617968,-4.921946,1.6868547,32851.066
1690893182.2211487,-2.9989886,-4.313966,0.69928867,29434.611
1690893182.2448797,0.760582,0.37159368,-2.7010484,27474.846
1690893182.2681859,0.06750844,-5.3523245,-1.6336795,28218.145
1690893182.2917507,0.33137658,-3.0794377,3.686296,36116.086
1690893182.3146462,-1.6833782,-2.0798001,-0.9880463,29111.486
1690893182.3370094,-0.98163897,-4.3527627,-3.327381,29688.379
1690893182.3606284,-2.1672082,-3.7484627,0.57677156,30151.191
1690893182.3835192,-2.2553551,-3.1368651,1.1835921,32156.156
1690893182.4067142,0.89803076,-4.212303,3.3957636,30533.803
1690893182.429163,0.86503655,-4.707693,-3.639468,34930.06
1690893182.4516072,-3.2337537,-4.125289,2.1865635,33259.117
1690893182.475126,0.32434565,-5.1685576,2.8224692,31771.363
1690893182.4976735,0.29921842,-2.2871344,2.8731632,30867.512
1690893182.520593,-3.2543926,-3.1426249,-1.5577947,34527.65
1690893182.5435107,0.222811,-2.778726,-1.5451058,35266.83
1690893182.568861,-1.5595765,-2.347258,-4.164359,34068.785
1690893182.5917966,-0.48781666,-4.9865227,-2.5680678,27545.268
1690893182.6141126,-0.48060933,0.40085086,0.72399807,32615.355
1690893182.6378493,-0.12988696,-0.4627523,1.1476319,33401.97
1690893182.66051,-3.1167579,-5.126499,-0.806182,28619.404
1690893182.683528,-3.1730382,-0.8602045,0.4000589,33472.227
1690893182.7059574,-1.2162249,-1.8745997,0.9064563,33138.7
1690893182.7290668,-0.59714967,-1.4098958,0.35528052,34747.68
1690893182.7522728,-1.8152885,-3.152216,0.04262917,35017.07
1690893182.7762396,-0.64118135,-4.4532704,3.6498005,36015.45
1690893182.8002527,-0.41379386,-0.55160016,2.228742,31971.074
1690893182.82293,-1.4840765,0.4536312,-0.45275763,29364.562
1690893182.8458161,-0.94889516,-2.710925,-3.6455922,33299.176
1690893182.8683312,0.4343811,-4.9591784,-3.2607,33624.754
1690893182.8911278,-2.487655,0.43203712,2.1926296,29159.031
1690893182.9135196,-1.0104554,-2.0468738,2.307124,29622.94
1690893182.936,-0.18609817,-1.1681739,-1.9720904,32960.93
1690893182.959009,-1.3730336,-0.7572757,3.398199,30692.318
1690893182.9810789,0.6999467,-1.272654,-3.7358074,36316.094
1690893183.0038817,-1.2637013,-4.6405244,3.1753118,33932.6
1690893183.0262036,-1.6485951,-4.5675445,-3.3443775,33615.133
1690893183.049818,-2.123437,-0.61651504,-4.504383,28197.506
1690893183.072503,0.44341955,-5.3229017,2.4232368,28495.973
1690893183.0953186,-1.4311523,-1.8720984,3.2330496,29404.936
1690893183.11876,-1.7571093,-0.8199409,-1.9975404,30606.154
1690893183.1413238,0.5913532,-2.1411984,-3.2195091,28940.527
1690893183.164778,-0.26987585,-1.7063735,0.40759775,33261.824
1690893183.187158,-1.1958463,-1.2008513,1.1355453,33425.42
1690893183.2100964,-1.7795329,-0.4006196,3.4494984,31487.902
1690893183.2339349,0.25271645,-4.464562,3.0730624,33654.164
1690893183.2563758,-3.1020281,-5.2578025,1.3233774,33705.004
1690893183.2791088,-3.5489447,-2.2084706,-1.9606136,34515.977
1690893183.3014598,-2.4567795,-3.942469,-1.0502341,33107.445
1690893183.3243258,-2.9289546,0.3615757,3.5512831,33944.95
1690893183.346526,0.84584737,-5.1059756,2.9438183,34924.695
1690893183.3689704,-0.54753214,-2.6311138,3.986698,36294.785
1690893183.3946495,-1.1542251,0.058336824,0.30534032,27837.816
1690893183.4172692,0.5669622,-4.597949,2.4856577,29860.92
1690893183.43945,0.21775056,-0.1013915,-4.3451514,34971.336
1690893183.4620056,0.11900471,-1.0848056,3.2044325,30056.969
1690893183.4855657,0.21782011,-5.052606,-2.890943,28036.771
1690893183.5091004,-0.65931225,-1.8838537,-1.300845,36111.34
1690893183.5329173,-0.7600793,-1.2808703,-1.476488,31825.686
1690893183.5554438,-0.54582167,-1.9944509,-1.2425711,32120.938
1690893183.5787575,-3.7276733,-5.1916804,-1.5969357,36255.133
1690893183.6008768,-1.4322611,-5.142407,3.459218,34392.9
1690893183.6241288,-0.4994712,-5.458739,-0.49887428,34508.16
1690893183.6469197,-2.5962873,-0.88664716,-0.39039052,36463.605
1690893183.6693685,0.24448901,-3.3327215,-1.2270349,33776.35
1690893183.692227,-0.54428184,-1.3215482,2.8578386,31231.668
1690893183.7146404,-1.0634173,-2.8056893,-4.2954288,29553.385
1690893183.7370393,-0.93354726,-1.0590762,-3.5292137,27286.299
1690893183.7611651,-0.9451398,-1.0906433,-3.9899096,29083.848
1690893183.7841086,-2.609951,-4.8910995,2.9420602,30291.941
1690893183.8072286,0.17809121,-4.7488775,-3.3385282,30444.982
1690893183.8296394,-0.06807297,-1.5952587,0.7643583,27539.268
1690893183.8523307,-3.5314403,-3.9784079,1.5392512,32454.86
1690893183.8762045,-2.0957463,-4.200282,-3.321338,29070.145
1690893183.8983738,-1.6934477,-0.597444,3.4592884,36616.17
1690893183.9204133,-1.6233635,-2.3184988,4.394974,36292.176
1690893183.9431427,-0.5873929,-1.8110623,-3.7199514,33963.645
1690893183.967853,-0.17022832,-0.9598364,3.5387034,36305.086
1690893183.9899414,-0.46131113,-1.5021036,-2.1155288,36483.504
1690893184.0126069,0.25155112,-0.45338145,-2.4890788,30329.068
