,0
0,40.870445467486796
1,0.0012106404745333595
2,3.769813561110691e-90
3,1.6257732603399176e-88
4,2.2624683447127767e-86
5,1.280111409592944e-87
6,1.4351347798564734e-86
7,1.67997023300747e-87
8,1.4507607937103667e-89
9,2.7324222290679835e-89
10,5.55518115499382e-88
11,7.02172961785012e-87
12,5.35225150387047e-88
13,5.754324081785877e-88
14,4.866977464928245e-89
15,6.317006029979287e-88
16,1.511262428519516e-85
17,1.2739859220951064e-88
18,9.414214864367053e-89
19,2.0359516161319557e-87
20,8.709285803283144e-88
21,2.528370794639104e-88
22,3.3252030786921236e-86
23,1.3457832178533132e-89
24,3.113644371039724e-89
25,1.0657345454207687e-85
26,8.20312103109963e-89
27,4.317538737707262e-89
28,3.1504265585882094e-86
29,2.6692224359566898e-83
30,1.3408739607034963e-81
31,2.2874852273415497e-88
32,1.77938759362487e-88
33,4.753699725436654e-87
34,1.1423990413683678e-88
35,8.000110144359612e-89
36,1.9755222747370586e-87
37,1.4150756449325034e-82
38,6.9416897312011295e-90
39,9.328111302149762e-88
40,1.8466940435923352e-89
41,2.1647205597639365e-87
42,1.319442502363511e-87
43,6.88575204549893e-88
44,2.7166434233457805e-88
45,1.3028427427811669e-85
46,3.327758811385158e-89
47,5.934492777944505e-88
48,3.844674668498574e-89
49,1.9380407869821322e-88
50,3.2912927583278814e-90
51,2.6339231886999095e-84
52,1.9756464425693484e-88
53,5.3069650170642e-90
54,3.961902250783303e-89
55,1.321944006059888e-88
56,1.786980770892408e-89
57,3.961210081086866e-88
58,5.60358249528101e-89
59,1.70215735029305e-86
60,2.902739979643662e-85
61,3.0106315412999157e-87
62,6.518288458296278e-87
63,6.997677933210821e-85
64,3.433767894602379e-90
65,2.4185893973819667e-89
66,1.2333805909645554e-89
67,2.0851264094246926e-88
68,7.616702601046399e-89
69,2.163936753325479e-89
70,7.425137103103728e-82
71,4.2814885667404173e-88
72,9.948927707166549e-88
73,8.256887332827925e-90
74,3.976959507657837e-90
75,3.78893435590041e-88
76,4.870381318468075e-88
77,5.506679655023959e-88
78,4.783302919389909e-90
79,5.600814106538724e-89
80,2.419777598575968e-88
81,3.1147205041146934e-89
82,3.734928571512012e-89
83,2.2326615988879837e-86
84,3.4469164336543505e-90
85,1.5095428280640677e-86
86,8.279032031832959e-90
87,1.7157751789322992e-89
88,8.352197575581585e-89
89,1.836374366000598e-88
90,1.8408900529094582e-90
91,1.3552100955177152e-90
92,4.89784381652985e-87
93,2.53783942934114e-88
94,1.7914213866699022e-87
95,4.606674083245036e-88
96,6.290765883599181e-88
97,9.763924266940702e-89
98,8.15074010690814e-90
99,1.2345413331952335e-87
100,5.000403062821138e-77
101,2.936148070130515e-89
102,8.952369022190213e-88
103,6.644922798289925e-89
104,2.47804564061953e-88
105,1.133354493158615e-83
106,3.3170793172549373e-84
107,2.4936503854925476e-88
108,5.5653731297761445e-87
109,8.766171130501745e-90
110,1.8298694210751132e-85
111,9.812901142335775e-87
112,4.0655085539446655e-88
113,7.868295058182474e-89
114,1.8007464738363078e-88
115,5.98844549310579e-89
116,5.7868642003838065e-89
117,1.7001208403780755e-87
118,1.6586538588495672e-86
119,7.008120780446178e-85
120,4.2220106040579965e-89
121,1.9116131548958672e-87
122,2.789042056953054e-88
123,7.566225846279758e-88
124,2.557223644509102e-90
125,1.087324233071541e-87
126,2.3467627246282273e-86
127,3.6763372820785066e-90
128,2.8697271185660095e-88
129,4.780970415405764e-87
130,3.673446357180594e-87
131,9.6481379518544e-89
132,6.600799724904948e-89
133,4.9574788871831096e-86
134,1.1879021197127797e-89
135,3.667782315388508e-87
136,5.013917416742272e-87
137,4.0662041235995557e-84
138,8.336769212396219e-89
139,2.2721268698741335e-89
140,6.226809419800055e-88
141,3.510053358714109e-89
142,9.047299045340582e-90
143,1.0609896925401154e-88
144,8.961968659240666e-88
145,2.1253465592027808e-89
146,5.3312201861539864e-89
147,2.2162228131554427e-88
148,4.0528640977132974e-89
149,2.2286173297611898e-89
150,4.137790812605464e-86
151,1.1388714714023443e-79
152,2.112293536997379e-87
