Time,Pos x,Pos y,Pos z,Vel x,Vel z,Quat x,Quat y,Quat z,Quat w,Ang vel x,Ang vel y,Ang vel z,Ang vel w,motor.m1,motor.m2,motor.m3,motor.m4,battery,goal pos x,goal pos y,goal pos z,goal vel x,goal vel z,goal quat x,goal quat y,goal quat z,goal quat w
1691503132.5377908,-0.7651398358584406,-5.0,5.0,-5.0,5.0,4.243861042734958,-5.0,-4.196775714368075,-5.0,5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503132.9454994,-0.7651136432077268,-5.0,5.0,0.011301683955977844,0.06088299704236645,4.266486435311298,-5.0,-4.207678597164238,-5.0,-0.009071076512342742,-0.004181796527186421,0.002000324633066913,0.0005463713329520493,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503132.9684038,-0.7651223740912981,-5.0,5.0,0.010626637128627617,0.06322526795251476,4.2805594919409575,-5.0,-4.207562456049806,-5.0,0.040313878827683836,-0.02536594476002993,0.004503875872219885,0.010261411050132906,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503132.9927583,-0.7651442013002262,-5.0,5.0,0.009886775578136782,0.060183803700640415,4.263395495230078,-5.0,-4.218850531163577,-5.0,-0.07395238930518278,0.03821934050766394,-0.03200892028412007,-0.018513024253163254,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503133.0170703,-0.7650787196734419,-5.0,5.0,0.015215247567730357,0.05809842340826859,4.266768813636793,-5.0,-4.211770129228265,-5.0,-0.001869888234328163,-0.009472578730155338,0.027025479830936366,0.002804442390162208,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503133.0404136,-0.7650394306973712,-5.0,5.0,0.013696072546948528,0.06271109277638412,4.25840635613566,-5.0,-4.205524830750113,-5.0,-0.04452955984515973,-0.00863909804685238,0.025030021165807267,0.0021541323852838226,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503133.0633748,-0.7650263343720143,-5.0,5.0,0.012058975485062528,0.06377535347596883,4.217145360108592,-5.0,-4.220569853829558,-5.0,-0.1694173418641862,-0.0012215581828198237,-0.04770870675870769,-0.0012451102404202042,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503133.0861247,-0.7651616630673687,-5.0,5.0,0.002365674881707314,0.05813520560374829,4.2289960778503835,-5.0,-4.2175547979359775,-5.0,0.031015836919899953,-0.023412464523553132,0.014515439649040559,0.009257383580020354,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503133.1090922,-0.765248971903081,-5.0,5.0,0.005517261806355302,0.056329312633961175,4.23894605966244,-5.0,-4.202385085973164,-5.0,0.023726705361414795,-0.0010390417432846214,0.05638687849784561,-0.0011272726692210066,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503133.131598,-0.7651398358584406,-5.0,5.0,0.018445286235132412,0.05994262186339108,4.265285107756529,-5.0,-4.19051060677461,-5.0,0.08737145518202476,0.024804980452885844,0.04576006782820738,-0.012250626859919895,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503133.155256,-0.7650525270227281,-5.0,5.0,0.01669981044919585,0.0586133998930123,4.256013848692277,-5.0,-4.1997982325996155,-5.0,-0.047625330951751726,-0.006302901881416235,-0.026816509462098154,0.0015306904301158252,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
1691503133.1787622,-0.7650787196734419,-5.0,5.0,0.009544053796937745,0.064087467224303,4.265224026612175,-5.0,-4.198104688919313,-5.0,0.020031426287332448,0.0028730088531455397,0.009782023189359269,-0.00253999019841193,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,5.0,-5.0,-0.20971061515518635,0.40689319597955215
