Time,Pos x,Pos y,Pos z,Vel x,Vel z,Quat x,Quat y,Quat z,Quat w,Ang vel x,Ang vel y,Ang vel z,Ang vel w,motor.m1,motor.m2,motor.m3,motor.m4,battery,goal pos x,goal pos y,goal pos z,goal vel x,goal vel z,goal quat x,goal quat y,goal quat z,goal quat w
1690896098.2469585,4.140608279207429,-5.0,5.0,0.4971410187644157,3.5463775709123313,0.4188436705735228,-2.459191139131613,2.530596579943594,3.343555865364793,0.03246695471240911,3.876089740098363,0.13951625051389255,1.136797472224776,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.667458,4.140669395392428,-5.0,5.0,5.0,5.0,0.4050687992108689,-2.4559193499888186,2.5270705574180625,3.3401868717155594,-0.011018854791861186,-0.00214582922955208,0.004753642881338536,0.0009081672869667768,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.6911843,4.140699953484927,-5.0,5.0,5.0,5.0,0.4202034578382454,-2.4562757413061584,2.5218235840800847,3.3407891499098357,0.042729548342575877,-0.0010609348128630155,0.02200249559043256,0.002782207080800107,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.714285,4.140682491717785,-5.0,5.0,5.0,5.0,0.4214380580291563,-2.45792332083878,2.5202041210638946,3.342550813628094,-0.00931846450934875,0.0066124096533512824,0.009503575644767838,0.0078086533652622575,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.7370977,4.140747973344569,-5.0,5.0,5.0,5.0,0.411634534360351,-2.458677000837745,2.5314779498961055,3.342964879886659,0.023062653926777657,0.0013991655479365108,0.04284073165581179,0.0019516302144064034,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.759575,4.1406257409745715,-5.0,5.0,5.0,5.0,0.4240817202098677,-2.4583615068846902,2.5302904884083626,3.3427126758928063,0.03451611658385214,-0.001234991723438751,0.00830780413021423,0.001257589300074643,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.782108,4.1405951828820715,-5.0,5.0,5.0,5.0,0.4584624034366607,-2.4534655081317225,2.4990713226766874,3.3386962331847245,0.11682533348014781,0.027184769293032256,0.11243691635599505,0.01838885009092445,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.80499,4.140669395392428,-5.0,5.0,5.0,5.0,0.39780677804523723,-2.4561881040969764,2.520200864770967,3.3406423445999804,0.214369659482735,0.013509817503047404,0.07668783757793592,0.008863812885135972,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.8273513,4.140612644649215,-5.0,5.0,5.0,5.0,0.4268609122779714,-2.4572806479714453,2.518808799544248,3.341937242717675,0.09898215567808107,0.0036977723156959115,0.009031743023506152,0.006112837047284112,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.850319,4.140603913765643,-5.0,5.0,5.0,5.0,0.4450445542899669,-2.4579116358775557,2.5200684421918944,3.3426411553572355,0.0548319861030689,0.0006572319132651692,0.00843943535111094,0.0032705985259877763,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.8731434,4.140695588043142,-5.0,5.0,5.0,5.0,0.40989108725601237,-2.45983965447956,2.515586697691996,3.3446324376370624,0.11812196936918018,0.008594752857472635,0.019458039673017576,0.009047133010715233,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.8954475,4.140669395392428,-5.0,5.0,5.0,5.0,0.4264612503494192,-2.455855082702085,2.5268865768676307,3.3402282783414154,0.050197968789220185,0.021937481500165945,0.043969542089249206,0.020493477803473197,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.917782,4.140682491717785,-5.0,5.0,5.0,5.0,0.3894960346120082,-2.456871674328596,2.5280610131836614,3.341090289006974,0.12945290683053193,0.0032044237860978904,0.008252904776342825,0.004090022036668861,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.9413664,4.1406257409745715,-5.0,5.0,5.0,5.0,0.4278270871843493,-2.45414323588273,2.5208526660720536,3.3386322411265827,0.12882184578123285,0.013364568996889287,0.02859326270901074,0.011054014262123522,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.964542,4.140695588043142,-5.0,5.0,5.0,5.0,0.4086691716477947,-2.454844333556186,2.519668460877239,3.3393173325725725,0.05612749478658971,0.000947497649209736,0.00804476509635901,0.003083135316562239,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896098.9872942,4.140651933625285,-5.0,5.0,5.0,5.0,0.43051192547195744,-2.4579057933969435,2.5041630793850977,3.343043928899658,0.06909504465925922,0.015766253651628214,0.05785170474338419,0.017051041349392906,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896099.0105693,4.1406257409745715,-5.0,5.0,5.0,5.0,0.4117792361767677,-2.457613669366337,2.507698328073925,3.342550813628094,0.056201750691342235,-0.0014530185236519611,0.016165146172111726,0.0022937173199462048,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896099.0341334,4.140603913765643,-5.0,5.0,5.0,5.0,0.4140188456118407,-2.455370156811278,2.5209671790400217,3.339848090231279,-0.005549154887791839,0.010329949813708975,0.048913320261971364,0.012072148875836462,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896099.0576007,4.140651933625285,-5.0,5.0,5.0,5.0,0.40285211959835693,-2.4548209636337375,2.517183909373178,3.3393361537661437,0.027359687627086418,7.378439117867922e-05,0.016839992344338257,0.0023475587242619634,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896099.0808473,4.140678126275999,-5.0,5.0,5.0,5.0,0.40493805043541486,-2.456830776964311,2.5366082394041634,3.340849377729263,-0.006169737605639961,0.008834379021180866,0.06926090036368966,0.0067500754583965485,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896099.1039944,4.140665029950642,-5.0,5.0,5.0,5.0,0.4014897954170957,-2.4593372011469166,2.530560218005898,3.3436273859003633,-0.0009371810542386159,0.01208807885932009,0.02475035672327431,0.01254272745016047,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896099.1270576,4.140638837299928,-5.0,5.0,5.0,5.0,0.4132651862524322,-2.4572222231653242,2.5260665337652637,3.341609753949537,0.030884571625519847,0.00989395249393221,0.019678976040739767,0.009271905281455606,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896099.1499262,4.140608279207429,-5.0,5.0,5.0,5.0,0.41384984794088064,-2.458180389985714,2.527571483813486,3.3425733990603796,-0.011674399251488247,0.0025458456650528857,0.00916993642709366,0.00434984844514471,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896099.1731174,4.140608279207429,-5.0,5.0,5.0,5.0,0.4136587986107768,-2.4572046957234877,2.5248340268920173,3.3416285751431083,-0.013117408840272599,0.0027376743821435805,0.013460250440902427,0.004327597291343687,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690896099.197912,4.140643202741714,-5.0,5.0,5.0,5.0,0.42909808237021874,-2.456135521771467,2.5211283655399574,3.3407063366581227,0.04020956804043059,0.002880534759761698,0.015940527815701922,0.00395424152770367,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,-0.4756364241854322,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
