Time,Roll,Pitch,Yawrate,Thrust
1691503079.9805567,-2.9852748,-1.2138547,-2.1796787,42357.336
1691503080.00433,-0.64048594,-4.191741,4.073477,37116.066
1691503080.027313,-2.625038,-3.243967,-0.078262426,35910.1
1691503080.0499613,-2.7771168,-4.5731454,3.7825863,38686.13
1691503080.073743,-1.757064,-1.4837391,2.1402977,36978.055
1691503080.0974758,-0.36594307,-5.4857197,-1.6567001,38358.09
1691503080.1202412,-0.7590695,-4.866733,-3.258812,40351.383
1691503080.1431377,-0.6392858,-4.318514,4.170811,42932.855
1691503080.1679158,-2.199022,0.43027467,0.7724186,39380.336
1691503080.190659,0.8822114,0.26874492,-0.1714129,39679.023
1691503080.2141402,-3.4221725,-5.5631886,-3.3373785,39611.953
1691503080.237032,-2.9966521,0.032775637,1.5569582,42336.21
1691503080.2597797,-1.170119,-5.1644926,-3.0024116,34532.348
1691503080.284409,-1.7383641,-4.065653,3.740873,39183.426
1691503080.307434,-3.0028305,-1.2921388,-2.3467138,37513.87
1691503080.3392043,-2.7700765,-3.4941552,1.3066983,42340.54
1691503080.3638875,-0.73637074,0.29445258,-2.0218709,35469.793
1691503080.3862333,-3.5388083,-5.305611,-0.60533714,42245.344
1691503080.4088304,-2.753261,-1.5385176,-2.8823335,41360.387
1691503080.431364,0.61103594,-4.3910775,-0.19302818,33376.562
1691503080.4558978,-2.916744,-2.90397,-0.018559022,36143.586
1691503080.4787934,0.109742805,-2.5926518,1.8001904,34821.957
1691503080.5028362,0.8932463,-2.787415,2.3660843,33399.78
1691503080.5286965,-3.4641776,-2.366711,-0.6265969,42919.355
1691503080.5514143,-3.3041375,-3.1278622,-0.44498572,40431.96
1691503080.5737555,-2.7041478,-1.1516644,1.806914,43239.258
1691503080.5964055,-0.8428642,-1.6696416,-0.17962645,35512.8
1691503080.6240284,-3.3854656,-3.7569728,0.9008196,37601.105
1691503080.646954,0.026448645,-1.5531932,-3.856548,36431.492
1691503080.6698372,-1.1062014,0.21033469,0.16019708,42803.152
1691503080.6929421,-0.84335726,-2.3336186,0.039296906,35822.03
1691503080.7154043,-2.727698,-0.4436064,-0.14491004,37258.26
1691503080.7380247,-0.17949806,-0.045431707,4.384537,35355.64
1691503080.7608461,-1.2332134,-1.2058831,0.43846616,34327.516
1691503080.7835095,-0.9364603,-2.0200984,-4.191173,32711.832
1691503080.8078825,-0.6399435,-2.106206,-2.7110853,42955.914
1691503080.831161,-0.061520066,-0.63684005,-2.865028,37109.586
1691503080.8538907,-3.6008842,-1.5316638,3.1478074,43750.367
1691503080.8769875,-1.3390814,-4.583231,-3.9885583,35390.516
1691503080.899789,-1.9940673,-2.7124934,4.1390605,39513.84
1691503080.9225566,0.8432213,-0.7187738,4.2668047,42056.56
1691503080.9448824,-0.82197595,-2.8624442,-1.6026702,37566.207
1691503080.9684896,-1.2554889,-1.2241346,-2.226772,39748.32
1691503080.9909291,-3.7007332,0.18562458,4.2328134,33176.17
1691503081.01389,-1.3922015,-5.021421,-0.05590189,36011.527
1691503081.0366957,-0.89475363,0.12633473,3.34825,38897.57
1691503081.0595102,0.55963624,-0.69799775,0.018395303,41659.242
1691503081.0836227,0.57259256,-3.529892,4.39013,42529.586
1691503081.1078212,-0.34823734,-2.592313,-3.8392465,36111.875
1691503081.1307166,-2.9467478,-0.2537801,2.8579094,36206.555
1691503081.1535294,-3.5587783,-0.26214275,-4.1307507,35484.145
1691503081.1779432,-3.237506,0.0029058561,3.5958161,35228.047
1691503081.2004516,-2.9107084,-4.883786,1.197743,34420.39
1691503081.2232478,-0.71890026,-3.090855,0.7575844,42821.438
1691503081.2471752,-0.42750373,-2.4075613,-3.128856,37236.848
1691503081.2699218,-0.37579596,-4.8987107,-4.616065,37602.01
1691503081.2945547,0.53897053,-2.7572486,-2.0747828,40866.984
1691503081.317306,0.43310583,-4.3428426,-2.7742047,43108.004
1691503081.3407285,0.39005247,-3.2566714,-2.0179932,37429.742
1691503081.363804,-0.018431291,-1.2329327,4.2805743,38190.43
1691503081.3862512,-1.5628893,-2.6914718,2.2883377,34261.023
1691503081.4088566,-1.859073,0.2837882,0.42971066,41788.402
1691503081.432328,-0.5407539,-5.161544,-2.1447163,36865.918
1691503081.4548502,-0.40996277,-2.7245538,3.3517919,43289.445
1691503081.4785538,0.74990726,-4.6028852,-2.1532762,35939.566
1691503081.5015266,-3.641381,-3.5597632,1.6342167,36108.55
1691503081.523936,-0.8717579,-2.1205363,3.7902367,41368.086
1691503081.5465217,-2.2155082,-2.8338146,1.5240986,39845.86
1691503081.569438,-0.48684564,-2.367251,-2.4198165,33415.215
1691503081.593296,0.95378655,-3.381781,-0.08074408,39683.957
1691503081.6177218,-2.6924229,-2.5190048,-2.4012299,39854.387
1691503081.6407034,-2.2573225,-0.22489408,-1.8264065,36646.098
1691503081.66326,-2.8485897,-0.42543197,1.0043374,43108.79
1691503081.686332,-0.33924887,-0.3363856,2.1600497,37672.215
1691503081.709324,-2.0818515,-3.0992758,-3.0350587,32920.855
1691503081.7322483,-1.1176151,-2.0243142,1.0508778,34078.344
1691503081.7548263,0.70523125,-2.8934894,-4.4933143,38139.24
1691503081.777954,-0.27487826,-4.0053377,4.1957126,33310.246
1691503081.8019028,-2.8130393,-0.51939076,2.3593488,43658.41
1691503081.8241677,-3.2931337,-4.5207167,-2.9787793,43185.566
1691503081.8470378,-3.5034177,-4.030393,4.3938637,39112.24
1691503081.8700798,0.8232922,-0.5020799,1.7141958,32846.324
1691503081.8936062,-1.6871309,-0.91899836,-0.25791955,34039.156
1691503081.9178047,-0.7959955,-3.874545,-2.0436492,38517.273
1691503081.9409714,-3.6182528,0.27338547,0.048962135,40189.062
1691503081.9633029,-1.9402658,-4.3100214,3.3582323,36737.86
1691503081.9866588,-0.24211717,-2.1346824,2.4504583,44245.32
1691503082.009562,-3.599506,-0.43224117,0.45435807,34616.336
1691503082.0326843,-3.3136034,-4.393598,-2.8430583,32825.57
1691503082.0558343,-2.9058123,-5.151396,-2.071115,32736.676
1691503082.0782108,-3.229987,-4.076464,-3.3064148,43158.977
1691503082.1018534,-0.16867882,-0.6606707,-3.7150612,42071.574
1691503082.124347,-0.2826152,-0.8014711,-4.2423387,34028.05
1691503082.1468205,0.37288088,-0.9625511,-1.733262,35689.812
1691503082.1697326,-0.50277036,-3.094979,-3.2298,40201.05
1691503082.1938388,-0.3810209,-1.0401769,1.876302,41157.277
1691503082.2162888,0.6091684,-3.8367538,-1.3503098,39940.45
1691503082.238745,0.87187535,0.44855586,-2.23216,33454.137
1691503082.2610407,0.49367994,-2.1099827,-2.8419151,43274.03
1691503082.2832482,0.91602194,-2.3393433,3.972799,40720.027
1691503082.3103538,-3.428634,-1.7200826,-1.5288309,34270.457
1691503082.3330534,0.7021196,-2.8881001,0.59701675,43084.55
1691503082.3556547,0.4810664,-3.7961655,2.2935264,33885.418
1691503082.3782854,0.8020296,-0.2723218,-2.4211373,35006.34
1691503082.4013376,-1.2985201,0.029779589,2.069774,44168.586
1691503082.4244452,-0.013969526,-3.538405,-1.9241809,33639.723
1691503082.4470432,-0.8373708,-4.7528915,0.76030535,32887.72
1691503082.471311,-0.91841096,-1.2923235,3.2001119,42244.18
1691503082.4947245,-1.2666051,-0.24139024,-3.344975,41084.5
1691503082.5188012,-1.1166929,-1.1107247,3.3970735,43795.1
1691503082.5413487,-2.6370046,-1.3811774,0.17758474,34865.62
1691503082.5636442,-0.4977034,-4.54892,1.7430441,43674.535
1691503082.5862467,0.49544865,-4.417145,2.3671272,42851.953
1691503082.6087594,-2.7586257,-2.326257,1.9992979,35244.09
1691503082.6316948,-0.1290987,-5.0879564,-1.6834217,40801.008
1691503082.6540952,-0.30222768,0.53812546,3.31595,42513.51
1691503082.6770542,0.5294284,-5.2617693,1.2973791,41369.195
1691503082.6996994,-2.5110896,-1.0988591,4.0180387,43804.01
1691503082.722889,0.5762746,-0.52338046,4.272343,36001.305
1691503082.7462974,0.57643276,-0.51307774,-4.1844535,34322.5
1691503082.7691483,-3.7884383,-3.9250093,3.5412657,40768.477
1691503082.7918277,-0.1316629,-0.94387233,-2.5526223,33701.38
1691503082.8141785,-2.63201,-1.1139215,3.4066021,39599.367
1691503082.838042,-2.6213126,-0.46094024,-3.3879774,33089.785
1691503082.8625636,-0.7245895,0.24087045,-4.5406647,37810.543
1691503082.885086,-2.741916,-1.3975228,0.9241519,35243.56
1691503082.9074175,0.718911,0.24068049,0.23930709,35583.21
1691503082.9308093,-2.7415724,-1.4526498,0.7615358,43331.957
1691503082.9549115,-1.422916,-1.0911285,0.34781805,36820.246
1691503082.9781053,-2.8418036,-0.9304915,-0.9387916,32923.043
1691503083.0012858,-1.9458401,-5.339531,-1.1393933,35094.773
1691503083.024403,-1.045036,-2.0962486,2.9765556,39413.234
1691503083.0472906,-3.4679034,-0.42585984,3.7670476,33982.016
1691503083.0703838,-2.8783283,-4.267186,-2.554164,40154.906
1691503083.0931776,-2.8182905,-1.3286794,3.9409816,41210.69
1691503083.1164787,0.43402466,-2.8947759,1.1825387,35431.605
1691503083.1389346,-2.1493347,0.18552923,2.6000555,32703.479
1691503083.1613631,-2.8855426,-2.726769,-2.8751543,39581.152
1691503083.184053,-0.4349415,-0.49711895,-1.7294765,43351.168
1691503083.2075074,0.81667715,-4.0427885,-0.03066386,44076.92
1691503083.230477,-1.9564846,-2.8184462,3.5658941,42889.24
1691503083.2537227,0.7461606,-0.29393378,-3.6058764,40070.414
1691503083.2769575,-3.524318,-0.6837962,-2.8273957,33639.82
1691503083.299996,-2.7394555,-4.707772,-2.4928656,39284.19
1691503083.3236628,-0.7973987,-4.041245,2.0374978,35329.41
1691503083.3460743,-1.6855394,-3.7854872,2.1579924,38873.668
1691503083.369096,-3.466343,-2.7184095,3.9382226,33829.656
1691503083.3916023,-3.5553353,-4.3621516,-3.4240565,43426.703
1691503083.4143465,-3.1035078,-2.1130393,-2.6999946,33446.832
1691503083.4367003,-1.7164651,-5.5279193,-1.6317717,38029.22
1691503083.4593024,-1.4956524,-4.4463415,-3.3110173,37238.047
1691503083.482197,-2.9866297,-1.9522922,2.179777,33407.25
1691503083.5057988,-2.954081,0.35204643,-0.032916732,35605.027
1691503083.528919,-0.98423606,-3.0736885,-4.106217,42515.76
1691503083.5514934,-3.4615414,-4.691528,-4.502136,40284.703
1691503083.5746102,-1.0412914,-2.4149747,0.5455844,42007.57
1691503083.597299,-1.5464641,-3.003043,3.893198,41000.992
1691503083.6207612,-0.81058,0.20117301,-4.0798264,34218.887
1691503083.6429665,-2.557894,-5.260035,-1.2356961,36850.875
1691503083.6656578,-2.0679116,-2.1604848,-4.637378,35338.473
1691503083.6888633,-0.19261411,-5.432085,4.056707,42922.89
1691503083.7112844,-1.2926384,0.03917265,-3.0190861,43900.36
1691503083.7338488,-1.0966015,-4.4398413,2.8840146,40189.848
1691503083.7581527,-1.950191,-1.9163073,-2.1070538,42535.96
1691503083.7807474,-0.6684801,-3.5409613,-0.69699925,33472.14
1691503083.8042824,-2.7335596,-1.1486433,0.24150485,42350.246
1691503083.826926,-1.242275,-0.021678297,-0.6457387,35684.164
1691503083.8493574,0.6287251,-4.66587,-0.98410136,35002.797
1691503083.8718817,0.5002778,-1.6221488,1.7563581,32863.902
1691503083.8958395,-0.13202375,0.07770402,-2.3103034,41901.703
1691503083.9187264,-1.9260582,-1.2999598,-4.0044327,37069.773
1691503083.941827,0.71435475,-1.5233945,-3.7097733,36122.67
1691503083.9657505,0.32962453,-4.101031,-3.542496,36229.473
1691503083.9883428,-0.7120343,-2.7682679,-3.4899452,42603.54
1691503084.01041,-0.875077,-4.133369,4.053681,39603.65
1691503084.0338,-0.42659017,-2.55838,-3.2900681,34540.156
1691503084.0559895,0.51018447,-5.49678,2.787543,43197.215
1691503084.079461,-1.4440007,-2.8837645,4.1580453,40174.223
1691503084.1021566,-1.7944713,-5.1272607,-2.535951,34990.914
1691503084.1247787,-3.3600454,-2.384347,2.3666303,39378.074
1691503084.147398,-1.6245358,-4.9239163,1.0661472,44073.824
1691503084.1699693,0.12113938,-0.46311748,2.4604902,43820.293
1691503084.1944182,-0.5240215,0.34441954,4.2501564,40165.574
1691503084.2172267,0.7218679,-1.9142456,2.3394406,34957.633
1691503084.240056,0.6540886,-4.177642,1.4354988,41593.055
1691503084.262841,0.85896015,0.14208618,1.389355,43484.69
1691503084.2860098,-0.16940677,-0.96626914,-0.10339963,34156.637
1691503084.3087173,0.59622306,0.3155266,-1.6272554,41027.93
1691503084.3320248,0.62657213,-4.2179213,4.1050806,42063.086
1691503084.3548234,-2.8256533,-3.9911485,-4.0001097,33800.582
1691503084.3777344,-1.3842078,-2.985528,1.0661641,43693.188
1691503084.4008963,-1.336464,-3.7904377,-3.9725518,42786.496
1691503084.4229474,-0.576747,-0.7209809,0.6012547,34851.812
1691503084.4464912,0.51074046,-1.9653957,4.1926646,34668.637
1691503084.4694326,-3.1503677,-2.356124,2.1166236,33270.65
1691503084.492493,-2.4469662,-2.523858,3.84419,40726.19
1691503084.5152504,0.11525327,0.52716196,3.3452537,36393.156
1691503084.5377638,-0.22871053,-2.7511072,1.0166441,34361.586
1691503084.562195,-1.4006681,-0.7827182,4.4264765,39011.94
1691503084.5852282,0.060213353,-0.27381122,-0.23004882,39093.32
1691503084.6112976,-1.6710114,-0.24846406,0.033224516,38924.082
1691503084.6344447,0.63884914,-1.5811237,-4.083443,35729.664
1691503084.6571681,0.818763,-0.5322193,4.3945475,32959.34
1691503084.6801877,0.9365473,-1.3036467,0.09425878,43615.754
1691503084.7028944,-2.7736742,-4.4197106,-0.8763642,41420.97
1691503084.7250001,0.41458982,-1.7277204,-4.426465,33768.78
1691503084.7472696,0.23958646,-5.358378,4.3937764,34626.7
1691503084.7705352,-0.50567377,-4.9328494,-3.9179153,43069.016
1691503084.793053,-1.3210644,-5.090646,0.9811789,44195.76
1691503084.817303,0.8610857,-0.80962884,-0.6307814,39079.21
1691503084.839918,-3.1859426,-0.8639066,-2.320501,39967.805
1691503084.863584,-2.900919,-0.058227044,-0.40668628,42798.977
1691503084.8863492,0.14318521,0.22561759,-3.5277698,37923.395
1691503084.9090092,-1.5991732,-2.5349784,-1.5183524,38996.11
1691503084.9335158,-3.6301367,-5.4667587,0.45286477,42826.28
1691503084.956668,-0.023514623,-4.2530065,3.0630827,43719.72
1691503084.9792743,0.0032774475,-4.6580973,3.9989738,43812.42
1691503085.0020957,-3.287439,-3.956308,-2.9128444,37773.754
1691503085.0263715,-2.2694986,-2.0314555,-4.418021,40392.406
1691503085.0486503,-2.1786444,-3.9497848,-0.5794762,35014.047
