Time,Pos x,Pos y,Pos z,Vel x,Vel z,Quat x,Quat y,Quat z,Quat w,Ang vel x,Ang vel y,Ang vel z,Ang vel w,motor.m1,motor.m2,motor.m3,motor.m4,battery,goal pos x,goal pos y,goal pos z,goal vel x,goal vel z,goal quat x,goal quat y,goal quat z,goal quat w
1690980175.0598743,-3.4818066792774944,-5.0,-1.9526857282045391,-5.0,-5.0,2.354944412005523,0.6704621353309519,2.619243185037922,-0.1524488444451819,1.3143563435258154,5.0,5.0,5.0,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690980175.5766237,-3.48188089178785,-5.0,-1.9526266459846717,-5.0,-5.0,2.318409593916267,0.6659809527014457,2.6142464035399113,-0.14686083207391076,-0.019899933081998125,-0.004455522135465013,0.003338124922088088,0.0011955539281850239,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690980175.5993843,-3.4818896226714213,-5.0,-1.9526744744483737,-5.0,-5.0,2.341188860238048,0.6686801787442511,2.602651287138805,-0.14974423892900923,0.07288252192983977,0.01356249870122712,-0.03621129766009512,-0.013081576780624157,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690980175.621947,-3.4818066792774944,-5.0,-1.9526772878874148,-5.0,-5.0,2.3572497373363186,0.669287796727913,2.6358226004808145,-0.15160377285383778,0.04738564134540908,0.0005481724976375982,0.11955456288307859,-0.008417967563285717,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690980175.6466367,-3.4818546991371364,-5.0,-1.9526885416435802,-5.0,-5.0,2.3596758833172684,0.6690132001391429,2.6269568002688573,-0.1509694986304904,-0.005325975975249617,-0.004813167131452099,-0.02429207444211285,0.002750009733511578,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690980175.6694071,-3.4819027189967784,-5.0,-1.9526997953997456,-5.0,-5.0,2.3545758760914257,0.6710872807564501,2.6083020407998547,-0.1528535001069614,-0.033570042927585586,0.009885632129409924,-0.06182878531221614,-0.008661575994865325,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690980175.6924744,-3.4819900278324907,-5.0,-1.9526857282045391,-5.0,-5.0,2.3635121889922894,0.6710171709891045,2.5929643583935045,-0.15224933979332783,0.018963168978862216,-0.0036595130651090827,-0.047305574118381474,0.002741884659678627,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690980175.7151585,-3.4819507388564204,-5.0,-1.9526744744483737,-5.0,-5.0,2.352901462389053,0.6697785650993322,2.5893173103141494,-0.15063448138492413,-0.0548350583855662,-0.01106476887201298,-0.008773330509398318,0.007566561309485638,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690980175.7384593,-3.4820162204832044,-5.0,-1.9526801013264563,-5.0,-5.0,2.357593050445599,0.6698311474248414,2.6039831109463556,-0.1512009993114154,0.003410898617179808,-0.002922783338101332,0.05331938325896166,-0.0024145830582355298,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
1690980175.7618299,-3.4819070844385642,-5.0,-1.9526491534970019,-5.0,-5.0,2.3473372970103488,0.6706490947105401,2.613806261279144,-0.15249966166782397,-0.05137429916960477,0.0016568685936135773,0.036931061560360474,-0.005618560417342461,-5.0,-5.0,-5.0,-5.0,5.0,3.1528362740207534,1.8960292598902548,1.738555994721973,0.01120652012194389,0.06055744369355465,2.5666,-4.343,-0.0419,0.08032
