,0
0,1.2619096874269912e-07
1,1.0795385754966178e-06
2,1.028089089794978e-06
3,9.702122269340331e-07
4,9.114393600884921e-07
5,1.0284263705148354e-06
6,9.827827428423186e-07
7,9.203654256912268e-07
8,9.837097391683657e-07
9,1.0856890395837683e-06
10,1.1120645404297773e-06
11,9.807850624006381e-07
12,9.928154120047938e-07
13,1.0474783039524704e-06
14,1.0999367773399098e-06
15,1.0783698378092583e-06
16,9.545942826217317e-07
17,8.960533905344887e-07
18,9.720984473928164e-07
19,1.0082424570951086e-06
20,9.662580234605232e-07
21,8.897974604620636e-07
22,1.0271206095469048e-06
23,1.045953979284684e-06
24,1.0985909991805891e-06
25,1.0360215329044773e-06
26,1.0082430640268428e-06
27,9.484779282730495e-07
28,1.0411047108822395e-06
29,1.0466163381455751e-06
30,9.835110617368733e-07
31,1.0622791684998193e-06
32,1.04778789238922e-06
33,9.795101747434116e-07
34,1.0115658796022694e-06
35,1.0516075872002948e-06
36,9.774921426567907e-07
37,9.565525309983821e-07
38,1.0716899021155595e-06
39,1.1078492008834411e-06
40,1.0556183842392966e-06
41,1.0549811272675484e-06
42,1.0965513268782476e-06
43,1.1067785796075325e-06
44,9.847273011485106e-07
45,9.743078741030167e-07
46,1.0697759520009073e-06
47,1.1055011296549574e-06
48,1.0639369907139753e-06
49,1.0651422918155207e-06
50,9.329023744124429e-07
51,1.068622731673592e-06
52,9.577827070564965e-07
53,9.487379311702066e-07
54,8.978604437927454e-07
55,9.349783790020839e-07
56,9.088427582829316e-07
57,9.016988495577056e-07
58,9.90705216405435e-07
59,9.61597541990946e-07
60,9.876637731631458e-07
61,1.0112507282382695e-06
62,9.13924046978872e-07
63,9.779076015153657e-07
64,1.0659022588717445e-06
65,1.1202054386934573e-06
66,1.0805506890537201e-06
67,9.763730675530353e-07
68,9.884234053154467e-07
69,9.93421209013092e-07
70,1.0012703120444099e-06
71,9.833439403455385e-07
72,1.017892051337126e-06
73,1.0073252920906488e-06
74,1.005692626510388e-06
75,9.792063172070973e-07
76,9.91130276244741e-07
77,9.847972349188995e-07
78,1.0625050764922161e-06
79,1.0764032570918633e-06
80,1.0742645734034777e-06
81,1.059796442971774e-06
82,1.0164982264714573e-06
83,9.884826521665878e-07
84,9.514508801677459e-07
85,9.609902638290286e-07
86,1.0473288715309295e-06
87,1.0461461726770584e-06
88,1.0164900949135591e-06
89,8.978805983936604e-07
90,1.0649694967756108e-06
91,1.1013600715414297e-06
92,1.0310902300037584e-06
93,1.090826703757591e-06
94,1.0442862072663465e-06
95,1.0535425661038843e-06
96,1.0867758134273478e-06
97,1.1028226090834052e-06
98,1.0563632178387469e-06
99,1.0564980225400513e-06
100,1.0365010527539726e-06
101,9.742121834274863e-07
102,9.75236175320624e-07
103,1.0419216071924915e-06
104,9.77423868983389e-07
105,1.03452487333377e-06
106,1.0059393175969556e-06
