Pos y,Vel x,Vel z,Quat w,Quat x,Quat y,Quat z,Ang vel w,Ang vel x,Ang vel y,Ang vel z,motor.m1,motor.m2,motor.m3,motor.m4
-1.538594440348449,0.3394880019790421,0.36606338299141516,-0.05200809104706821,-0.4733437626528164,0.6897561284262971,0.7529948714035827,0.1789217240456696,-0.10292262171638175,0.10007273712908077,0.11669101996348341,-1.0976978877708339,-0.9920748610445401,-0.9494795079322736,-0.9767890559317967
-1.5359371540553004,0.31875634092337324,0.36574469676503657,0.029079696543717753,-0.5270076703085202,0.7370960066325303,0.8016684426671639,-0.04860869830729664,0.03495454352609409,0.05010616334454173,-0.08092797672942348,-1.0848649444679452,-0.9820220732052084,-0.9734941013028953,-0.9759732377591155
-1.5392840769291016,0.28660356058305886,0.36224048414929727,-0.09103594428531683,-0.43904594255969476,0.7382126321743778,0.6915346491109892,-0.20444345944359033,0.4318463633992863,-0.5137481577243984,-0.5300470809818401,-1.0960937698579727,-1.0431430232683456,-0.9591997004870491,-0.9164185111533905
-1.527163198279771,0.3115460605562047,0.37710386022547493,-0.14878578844861237,-0.07533302596962764,0.251104629984647,0.37092293898080875,0.024601081195702038,0.1671058562277078,-0.1642208680779858,-0.21212456545782402,-0.9225816822834998,-0.9282396582647833,-0.7481190484397199,-0.6375106733680169
-1.5380714504469912,0.3661808421848728,0.3878736716084727,-0.06808282747605762,-0.2571552685622793,0.5725120779249272,0.5142726841446589,0.1299924557293328,-0.2839755194168258,0.48235580477590206,0.2979524282629,-0.8474554933645061,-0.8746582990811448,-0.8429385738514998,-0.6763640138419574
-1.5360336919615467,0.34593012287282504,0.3715834757798037,-0.030064609783583867,-0.36961543923468676,0.6992612496238918,0.6149521336509708,-0.033748076940190865,-0.09378718854403607,0.18607853823934048,0.07681638730638961,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.540333524541248,0.33311733071309857,0.36019495631172854,-0.09397775468359686,-0.3567913939724397,0.7488004961428262,0.5810096413182729,-0.08466285963575167,-0.07494605085480784,0.06287639687127435,0.09548801537690746,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.5405729066744123,0.3290059273165862,0.36137871945402855,-0.10145318861697684,-0.4521437134412005,0.7594849887544808,0.7004068291183686,-0.026747328091511136,-0.01229098913768946,-0.03799448087424771,0.03415200001355972,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.542136047507965,0.33163054990449115,0.3698290926831233,-0.11453168459152065,-0.37439195129080294,0.716000844395547,0.6163912431639788,0.07856967430701674,-0.014815612449205559,0.030900519966137924,0.006056112628209791,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.5372102532276903,0.33835096619746174,0.3645564073087466,-0.029256203480617835,-0.4666511712619399,0.788766981413926,0.7064380485984549,0.05916932788378586,-0.0984545986023019,0.026297616040154827,0.14742704575391172,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.5379909530029996,0.32903521490400645,0.3639379132184297,-0.05974479888088941,-0.4764779209933546,0.7410389572422035,0.7382195480054622,-0.025339637910120342,-0.02362659199521943,-0.028749422638805016,0.04938095927622213,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.5359651473919174,0.3416715923334209,0.36870629524286075,-0.04738763056509021,-0.4931067523632983,0.7658034980860198,0.7499280312278035,0.06838025534901357,-0.04449721274231719,0.01272674004094299,0.062210563669567884,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.5348008931593764,0.3038961000746683,0.3603453922936372,0.004009077657356567,-0.5239282570918339,0.756474441805848,0.7914456420812332,-0.07999876732518123,0.0968488227845,-0.06969287272357423,-0.13133851417949377,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.5406472948715104,0.2678180439463285,0.3709796405731676,-0.11397466667510958,-0.39553725537854156,0.7035884559549792,0.6483613637207536,-0.27109971490671747,0.3237522025752566,-0.12119866688390915,-0.48709364827031576,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.5500009355402122,0.33818916589785536,0.3727292021957605,-0.23089988407153864,-0.19512904323822058,0.6471994935503729,0.40621372323588356,0.013061923978279048,0.011224802497781653,0.031225829738448282,-0.03499180784622677,-1.096984946476229,-0.533265624057437,-0.42821035818108155,-0.9076484657970679
-1.5387310572753903,0.35418291434526816,0.36442679791288324,-0.09909826196258169,-0.38540940746591673,0.7341096795905702,0.6237660972540979,0.09245933195244346,-0.09487164840489776,0.05000464504628318,0.136686849338748,-0.7343651805078003,-0.8339445083318511,-0.8296924290954824,-0.5879497193776361
-1.5428018521230702,0.29905473821862494,0.36817963618134614,-0.14923224140669356,-0.28826418519101105,0.6928557745134676,0.5129476787839767,-0.03626658945004018,0.13714914685317464,-0.08559530273498515,-0.1945872739308863,-0.7343651805078003,-0.8339445083318511,-0.8296924290954824,-0.5879497193776361
-1.5450003103637926,0.33871069497381096,0.3626434406664502,-0.12860279368233196,-0.244618635200203,0.6566589357529999,0.4692248305376323,0.05609993674857478,-0.03090637225729785,0.024615202175307157,0.03791364846200034,-0.7343651805078003,-0.8339445083318511,-0.8296924290954824,-0.5879497193776361
-1.53962625378176,0.32242589980139974,0.36823500558463,-0.09544942294254243,-0.32406749619005587,0.7197938323706408,0.5494819654337822,-0.06427908494859498,0.12522556843725,0.009188469295685717,-0.21732394082092887,-0.7343651805078003,-0.8339445083318511,-0.8296924290954824,-0.5879497193776361
