Time,ID,Pos x,Pos y,Pos z,Rot 1,Rot 2,Rot 3,Rot 4
1688647791.4838734,10,3.2913262844085693,0.017688708379864693,2.5550119876861572,0.008421232923865318,-0.8201760053634644,-0.026971636340022087,-0.5714130997657776
1688647791.4922104,10,3.2913289070129395,0.0176872406154871,2.5550100803375244,0.008442776277661324,-0.8201577067375183,-0.0269316453486681,-0.5714408755302429
1688647791.5003605,10,3.291330337524414,0.017686357721686363,2.5550074577331543,0.008405672386288643,-0.8201346397399902,-0.026933930814266205,-0.571474552154541
1688647791.5088089,10,3.291327714920044,0.017682209610939026,2.555009365081787,0.008383904583752155,-0.8201600313186646,-0.026986071839928627,-0.5714360475540161
1688647791.5170221,10,3.2913269996643066,0.017685601487755775,2.5550131797790527,0.008367178030312061,-0.8201685547828674,-0.0269774217158556,-0.5714243054389954
1688647791.5255718,10,3.2913312911987305,0.017694611102342606,2.5550098419189453,0.008351486176252365,-0.8201736211776733,-0.026978403329849243,-0.5714173913002014
1688647791.533839,10,3.291330337524414,0.01768684573471546,2.5550098419189453,0.008361874148249626,-0.8201727271080017,-0.027029063552618027,-0.5714159607887268
1688647791.5419595,10,3.291327953338623,0.017686717212200165,2.5550124645233154,0.008351637981832027,-0.820186972618103,-0.02693602629005909,-0.5714000463485718
1688647791.5505567,10,3.2913284301757812,0.017689019441604614,2.55501389503479,0.008364851586520672,-0.8201611042022705,-0.027005089446902275,-0.5714337825775146
1688647791.5590522,10,3.2913272380828857,0.017688607797026634,2.555013418197632,0.008322754874825478,-0.8201698660850525,-0.02703138254582882,-0.5714206695556641
1688647791.5672443,10,3.2913269996643066,0.017686981707811356,2.5550131797790527,0.008312470279633999,-0.8201611638069153,-0.026966730132699013,-0.57143634557724
1688647791.5756063,10,3.291327476501465,0.01769169233739376,2.5550119876861572,0.008334288373589516,-0.8201773762702942,-0.026963064447045326,-0.5714129209518433
1688647791.583793,10,3.2913269996643066,0.017690353095531464,2.555013656616211,0.008300822228193283,-0.8201697468757629,-0.027005022391676903,-0.5714223384857178
1688647791.5921378,10,3.291327953338623,0.01768949255347252,2.555011749267578,0.008379091508686543,-0.8201684951782227,-0.02705616131424904,-0.5714205503463745
1688647791.6004484,10,3.2913296222686768,0.01768859289586544,2.555011749267578,0.008378383703529835,-0.8201605081558228,-0.027082860469818115,-0.5714308023452759
1688647791.6086602,10,3.2913296222686768,0.017688171938061714,2.5550100803375244,0.008335957303643227,-0.8201524615287781,-0.027070987969636917,-0.5714435577392578
1688647791.6170683,10,3.2912726402282715,0.01770474947988987,2.5549495220184326,0.0059039415791630745,-0.8199360370635986,-0.02711525931954384,-0.5717822313308716
1688647791.6255362,10,3.291290521621704,0.01770184189081192,2.5549681186676025,0.006641826126724482,-0.8199976086616516,-0.02703140676021576,-0.5716896653175354
1688647791.6337373,10,3.2913031578063965,0.017698984593153,2.554983139038086,0.007325947284698486,-0.8200592994689941,-0.02701774798333645,-0.5715935826301575
1688647791.6420343,10,3.2913131713867188,0.01769324392080307,2.55499267578125,0.007747475989162922,-0.8201122879981995,-0.027007566764950752,-0.5715124011039734
1688647791.6504035,10,3.29133939743042,0.017648970708251,2.5549299716949463,0.0087187634781003,-0.8198626637458801,-0.0263325534760952,-0.5718880295753479
1688647791.658825,10,3.291337490081787,0.01765369437634945,2.5549628734588623,0.008710246533155441,-0.8200005888938904,-0.026636948809027672,-0.5716762542724609
1688647791.6671493,10,3.291335105895996,0.017666084691882133,2.554978847503662,0.008590773679316044,-0.8200556635856628,-0.026742445304989815,-0.5715940594673157
1688647791.6757371,10,3.291335105895996,0.01767314039170742,2.5549912452697754,0.008602997288107872,-0.8200984597206116,-0.02681834250688553,-0.5715288519859314
1688647791.6838272,10,3.291330337524414,0.017674149945378304,2.555002212524414,0.008583959192037582,-0.82014000415802,-0.02686619758605957,-0.5714672207832336
1688647791.692235,10,3.291327476501465,0.01767774671316147,2.5550053119659424,0.008530843071639538,-0.8201817870140076,-0.026772618293762207,-0.5714125633239746
1688647791.7006357,10,3.291328191757202,0.01768048107624054,2.5550079345703125,0.008502448908984661,-0.8201779723167419,-0.026869848370552063,-0.5714139938354492
1688647791.7089012,10,3.2913289070129395,0.017683278769254684,2.555014133453369,0.008478597737848759,-0.8201941251754761,-0.026924598962068558,-0.5713886022567749
1688647791.7171884,10,3.2913289070129395,0.017678041011095047,2.5550174713134766,0.00860076304525137,-0.8201996684074402,-0.02700662612915039,-0.571374773979187
1688647791.7256749,10,3.2913262844085693,0.017680862918496132,2.555018901824951,0.008553841151297092,-0.8202042579650879,-0.026975568383932114,-0.5713703632354736
1688647791.73378,10,3.2913265228271484,0.01768132485449314,2.5550191402435303,0.008499136194586754,-0.8202164173126221,-0.02696039155125618,-0.5713543891906738
1688647791.7420497,10,3.2913286685943604,0.017680153250694275,2.5550177097320557,0.008452778682112694,-0.8202075362205505,-0.026995079591870308,-0.5713662505149841
1688647791.750446,10,3.291332244873047,0.017687927931547165,2.5550131797790527,0.008411663584411144,-0.8201786875724792,-0.027024483308196068,-0.571406900882721
1688647791.758754,10,3.291330337524414,0.01768595539033413,2.555013418197632,0.008344105444848537,-0.8201810121536255,-0.026958215981721878,-0.5714076161384583
1688647791.7671175,10,3.291330575942993,0.017688462510704994,2.55501651763916,0.008357802405953407,-0.8201762437820435,-0.027006428688764572,-0.5714120864868164
1688647791.7754416,10,3.2913315296173096,0.01768418960273266,2.555016040802002,0.008377368561923504,-0.8201926350593567,-0.027063682675361633,-0.5713856816291809
