Time,ID,Pos x,Pos y,Pos z,Quat w,Quat x,Quat y,Quat z
1688647833.7133293,10,3.291306495666504,0.017681406810879707,2.555020570755005,0.008540305308997631,-0.8201679587364197,-0.026993781328201294,-0.5714218616485596
1688647833.7214167,10,3.2913050651550293,0.017684418708086014,2.5550198554992676,0.00851339753717184,-0.8201799988746643,-0.026888690888881683,-0.571410059928894
1688647833.729837,10,3.291306495666504,0.01768374815583229,2.555018186569214,0.008479487150907516,-0.8202031254768372,-0.026883786544203758,-0.5713775157928467
1688647833.738157,10,3.291334867477417,0.01766235940158367,2.554992437362671,0.008540184237062931,-0.8200505375862122,-0.027790920808911324,-0.5715520977973938
1688647833.746495,10,3.291353702545166,0.017651448026299477,2.5549750328063965,0.008559155277907848,-0.8199165463447571,-0.028309321030974388,-0.5717187523841858
1688647833.7549372,10,3.2913389205932617,0.0176607146859169,2.5549910068511963,0.008588169701397419,-0.8200127482414246,-0.027907462790608406,-0.571600079536438
1688647833.7633212,10,3.2913312911987305,0.017666282132267952,2.554999589920044,0.00862507987767458,-0.8200666308403015,-0.0275809895247221,-0.5715380311012268
1688647833.7715127,10,3.2913241386413574,0.017672812566161156,2.5550098419189453,0.008611701428890228,-0.820120632648468,-0.027408627793192863,-0.5714689493179321
1688647833.779959,10,3.291316270828247,0.017674529924988747,2.5550124645233154,0.008580910973250866,-0.8201234340667725,-0.027287784963846207,-0.571471095085144
1688647833.7884085,10,3.291314125061035,0.01768084242939949,2.5550143718719482,0.00854315236210823,-0.8201417326927185,-0.027183035388588905,-0.5714504718780518
1688647833.7965817,10,3.2913129329681396,0.01768322102725506,2.5550172328948975,0.008554404601454735,-0.8201422095298767,-0.027149060741066933,-0.5714512467384338
1688647833.8048246,10,3.291311502456665,0.01768002286553383,2.555021047592163,0.008537455461919308,-0.8201713562011719,-0.027110662311315536,-0.5714114904403687
1688647833.813394,10,3.2913103103637695,0.017681928351521492,2.5550215244293213,0.008573472499847412,-0.820180356502533,-0.027072718366980553,-0.5713998675346375
1688647833.8215406,10,3.291309356689453,0.017680909484624863,2.5550217628479004,0.008585521019995213,-0.8201927542686462,-0.026984086260199547,-0.5713859796524048
1688647833.8299234,10,3.2913105487823486,0.017684655264019966,2.555018901824951,0.008504367433488369,-0.8201828598976135,-0.027107924222946167,-0.5713956356048584
1688647833.838138,10,3.2913122177124023,0.017682749778032303,2.5550167560577393,0.008518234826624393,-0.8201779127120972,-0.02710890956223011,-0.5714026093482971
1688647833.84673,10,3.2913119792938232,0.017684245482087135,2.5550177097320557,0.008625054731965065,-0.8201543688774109,-0.027152912691235542,-0.5714324712753296
1688647833.8548963,10,3.2913384437561035,0.017664652317762375,2.55499005317688,0.008601012639701366,-0.8200007677078247,-0.028016846626996994,-0.5716116428375244
1688647833.8632693,10,3.2913310527801514,0.01766727864742279,2.555000066757202,0.008578639477491379,-0.8200557827949524,-0.027721911668777466,-0.5715474486351013
1688647833.8716486,10,3.291350841522217,0.017652463167905807,2.554978370666504,0.008625457063317299,-0.8199511766433716,-0.02832191064953804,-0.571667492389679
1688647833.8797965,10,3.2913637161254883,0.0176431555300951,2.5549633502960205,0.008624531328678131,-0.8198649287223816,-0.028753157705068588,-0.5717695355415344
1688647833.8882248,10,3.29134202003479,0.01765413023531437,2.5549814701080322,0.008558787405490875,-0.8199498057365417,-0.028168367221951485,-0.5716779828071594
1688647833.8964894,10,3.291332721710205,0.01766710914671421,2.5549981594085693,0.008530265651643276,-0.8200280666351318,-0.027770807966589928,-0.5715856552124023
1688647833.9047875,10,3.291322946548462,0.017672792077064514,2.5550060272216797,0.008567050099372864,-0.820070743560791,-0.027448715642094612,-0.5715394616127014
1688647833.9132514,10,3.2913129329681396,0.01768033392727375,2.555011034011841,0.008556680753827095,-0.8201034665107727,-0.027241773903369904,-0.5715023875236511
1688647833.9220846,10,3.291334867477417,0.017660126090049744,2.5549871921539307,0.008592983707785606,-0.8199635744094849,-0.02802603505551815,-0.571664571762085
1688647833.9302125,10,3.2913506031036377,0.017653360962867737,2.55497145652771,0.008579273708164692,-0.8198768496513367,-0.02851881831884384,-0.5717648863792419
1688647833.9384177,10,3.291335105895996,0.01766650564968586,2.554988145828247,0.008626291528344154,-0.8199788928031921,-0.028064196929335594,-0.5716403722763062
1688647833.946883,10,3.29132342338562,0.01767299883067608,2.554999828338623,0.008585765026509762,-0.8200627565383911,-0.027694858610630035,-0.5715386271476746
1688647833.9552317,10,3.291316032409668,0.017677877098321915,2.555006504058838,0.00860499870032072,-0.8201277852058411,-0.027442408725619316,-0.5714572668075562
1688647833.9633937,10,3.291311264038086,0.017680402845144272,2.555011510848999,0.008647610433399677,-0.8201709389686584,-0.027188438922166824,-0.5714066624641418
1688647833.971603,10,3.2913081645965576,0.01768314279615879,2.5550153255462646,0.008577283471822739,-0.8201969861984253,-0.027026863768696785,-0.5713781118392944
1688647833.9797733,10,3.291337490081787,0.01766137219965458,2.5549867153167725,0.008580652065575123,-0.8200196623802185,-0.027845658361911774,-0.5715932250022888
1688647833.9882896,10,3.291323661804199,0.01766839809715748,2.5549991130828857,0.008587692864239216,-0.8200771808624268,-0.027575664222240448,-0.5715236663818359
1688647833.9965732,10,3.291317939758301,0.017675861716270447,2.5550057888031006,0.008572372607886791,-0.8201242089271545,-0.02735276147723198,-0.5714671611785889
1688647834.0045238,10,3.2913122177124023,0.01768225058913231,2.555008888244629,0.008546505123376846,-0.82015460729599,-0.02730378322303295,-0.5714262127876282
