Time,motor.m1,motor.m2,motor.m3,motor.m4,RB ID,Pos x,Pos y,Pos z,Quat 1,Quat 2,Quat 3,Quat 4
1687779542.7631562
1687779542.783363
1687779542.8035667
1687779542.8239532
1687779542.8444693
1687779542.8648872
1687779542.885292
1687779542.9058013
1687779542.9261854
1687779542.9465106
1687779542.9667811
1687779542.9871821
1687779543.007538
1687779543.028133
1687779543.0484529
1687779543.068988
1687779543.0897892
1687779543.110214
1687779543.1308813
1687779543.1518576
1687779543.174027
1687779543.1953843
1687779543.216735
1687779543.2375784
1687779543.258104
1687779543.2816765
1687779543.3025126
1687779543.3228223
1687779543.3430583
1687779543.3634984
1687779543.3837771
1687779543.4045205
1687779543.4259973
1687779543.4466643
1687779543.4671476
1687779543.487668
1687779543.5079825
1687779543.5283225
1687779543.5487597,0.0,0.0,0.0,0.0
1687779543.5693264,0.0,0.0,0.0,0.0
1687779543.5896769,0.0,0.0,0.0,0.0
1687779543.609959,0.0,0.0,0.0,0.0
1687779543.630238,0.0,0.0,0.0,0.0
1687779543.6505263,0.0,0.0,0.0,0.0
1687779543.6709735,0.0,0.0,0.0,0.0
1687779543.6913054,0.0,0.0,0.0,0.0
1687779543.711593,0.0,0.0,0.0,0.0
1687779543.7325287,0.0,0.0,0.0,0.0
1687779543.7529461,0.0,0.0,0.0,0.0
1687779543.7737503,0.0,0.0,0.0,0.0
1687779543.7949471,0.0,0.0,0.0,0.0
1687779543.8159928,0.0,0.0,0.0,0.0
1687779543.8366036,0.0,0.0,0.0,0.0
1687779543.8575578,0.0,0.0,0.0,0.0
1687779543.8780677,0.0,0.0,0.0,0.0
1687779543.8984864,0.0,0.0,0.0,0.0
1687779543.9189947,0.0,0.0,0.0,0.0
1687779543.9403596,0.0,0.0,0.0,0.0
1687779543.9607587,0.0,0.0,0.0,0.0
1687779543.9810708,0.0,0.0,0.0,0.0
1687779544.001275,0.0,0.0,0.0,0.0
1687779544.021672,0.0,0.0,0.0,0.0
1687779544.0418954,21478.0,20750.0,20044.0,20824.0
1687779544.062625,21321.0,20601.0,20363.0,20811.0
1687779544.0830796,21667.0,20873.0,19541.0,21015.0
1687779544.1034803,21300.0,20678.0,20412.0,20706.0
1687779544.1242046,21818.0,20438.0,19692.0,21148.0
1687779544.1450002,22886.0,21160.0,20066.0,21668.0
1687779544.1656218,22520.0,21824.0,20426.0,21010.0
1687779544.1867392,22455.0,21521.0,20349.0,21455.0
1687779544.2072344,22513.0,21429.0,19593.0,22245.0
1687779544.2284827,21307.0,21923.0,20001.0,22549.0
1687779544.248896,22646.0,21306.0,20098.0,21730.0
1687779544.2696364,22731.0,21593.0,20681.0,20775.0
1687779544.290214,23164.0,21214.0,20852.0,20550.0
1687779544.3106248,22344.0,21564.0,20622.0,21250.0
1687779544.3318543,22709.0,20979.0,19621.0,22471.0
1687779544.352239,22443.0,21485.0,20345.0,21507.0
1687779544.3735476,22747.0,21201.0,19743.0,22089.0
1687779544.3947222,22043.0,22237.0,20509.0,20991.0
1687779544.4159586,22293.0,21495.0,20093.0,21899.0
1687779544.4367685,22626.0,22146.0,21670.0,21122.0
1687779544.4578338,22646.0,22062.0,20914.0,21942.0
1687779544.4783826,23368.0,22342.0,19650.0,22204.0
1687779544.498656,22230.0,21702.0,20580.0,23052.0
1687779544.5188882,23209.0,21731.0,19783.0,22841.0
1687779544.5392034,27013.0,27879.0,25475.0,26849.0
1687779544.5595741,27797.0,27793.0,25063.0,26563.0
1687779544.5813804,27919.0,26511.0,24745.0,28041.0
1687779544.6026347,27715.0,26899.0,25065.0,27537.0
1687779544.6238723,28480.0,26098.0,24548.0,28090.0
1687779544.6444728,28930.0,24310.0,25432.0,28544.0
1687779544.664698,28096.0,25986.0,23168.0,29966.0
1687779544.6853747,28501.0,25957.0,23271.0,29487.0
1687779544.705936,26163.0,27229.0,25659.0,28165.0
1687779544.7271805,26866.0,27438.0,24000.0,28912.0
1687779544.7486818,27150.0,26808.0,25702.0,27556.0
1687779544.7696002,28621.0,26109.0,24149.0,28337.0
1687779544.7908213,28470.0,28126.0,23604.0,27016.0
1687779544.8115118,27491.0,25615.0,25963.0,28147.0
1687779544.8322294,28293.0,29461.0,25871.0,26275.0
1687779544.8533387,29277.0,26219.0,25291.0,29113.0
1687779544.8738453,29091.0,28025.0,25065.0,27719.0
1687779544.8948882,29492.0,29624.0,25380.0,25404.0
1687779544.915308,29681.0,27917.0,24843.0,27459.0
1687779544.9358835,30925.0,28743.0,25321.0,27591.0
1687779544.9570417,30712.0,28322.0,24128.0,29418.0
1687779544.9781277,29789.0,28357.0,25923.0,28511.0
1687779544.999262,28719.0,30413.0,26735.0,26713.0
1687779545.0203052,31185.0,29789.0,24301.0,27305.0
1687779545.0409398,30833.0,28845.0,24081.0,28821.0
