Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687269105.1528795
1687269105.2534926
1687269105.3539925
1687269105.4545193
1687269105.5548747
1687269105.6554193
1687269105.75593
1687269105.8564572
1687269105.956906
1687269106.0573707
1687269106.157876
